Wall time,Step,Value
1777036628.7772617,136,4.0
1777036640.6444368,301,8.0
1777036652.4520903,464,12.0
1777036662.8532953,607,16.0
1777036669.6798284,697,20.0
1777036679.5481095,833,24.0
1777036688.352292,953,28.0
1777036695.6842637,1045,32.0
1777036702.712287,1133,36.0
1777036709.4508917,1221,40.0
1777036724.7044163,1438,44.0
1777036734.804246,1574,48.0
1777036745.1443698,1711,52.0
1777036752.4443555,1803,56.0
1777036772.8723238,2096,60.0
1777036779.6724443,2186,64.0
1777036795.085328,2402,68.0
1777036802.2280724,2494,72.0
1777036809.3439229,2584,76.0
1777036816.3723881,2676,80.0
1777036823.3044097,2768,84.0
1777036830.1962717,2858,88.0
1777036843.2122724,3042,92.0
1777036863.6558137,3333,96.0
1777036877.0118227,3522,100.0
1777036883.9477978,3614,104.0
1777036891.2397225,3706,108.0
1777036900.1718047,3826,112.0
1777036907.3318226,3918,116.0
1777036914.3653724,4010,120.0
1777036921.163928,4100,124.0
1777036938.1397696,4340,128.0
1777036955.2343042,4580,132.0
1777036968.9239683,4769,136.0
1777036975.6718156,4857,140.0
1777036985.5397553,4993,144.0
1777036992.5067286,5081,148.0
1777036999.170319,5169,152.0
1777037008.1398234,5288,156.0
1777037015.3399959,5380,160.0
1777037025.4079313,5519,164.0
1777037032.484148,5609,168.0
1777037039.2999487,5699,172.0
1777037051.223617,5866,176.0
1777037058.107732,5956,180.0
1777037065.0398674,6048,184.0
1777037077.083846,6213,188.0
1777037083.8158302,6303,192.0
1777037090.5077164,6389,196.0
1777037102.7435384,6556,200.0
1777037109.6675732,6648,204.0
1777037121.7744067,6814,208.0
1777037128.8348951,6904,212.0
1777037135.714563,6994,216.0
1777037142.6649773,7084,220.0
1777037151.252362,7201,224.0
1777037158.3517256,7293,228.0
1777037165.4749806,7385,232.0
1777037172.3596556,7475,236.0
1777037185.627609,7658,240.0
1777037203.8835144,7920,244.0
1777037214.1115959,8056,248.0
1777037224.1592374,8194,252.0
