Wall time,Step,Value
1777036628.7773192,136,0.0
1777036640.644467,301,0.0
1777036652.4521198,464,0.0
1777036662.8533258,607,0.0
1777036669.6798582,697,0.0
1777036679.5481656,833,0.0
1777036688.3523223,953,0.0
1777036695.6843116,1045,0.0
1777036702.7123415,1133,0.0
1777036709.4509482,1221,0.0
1777036724.7044663,1438,0.0
1777036734.8043082,1574,0.0
1777036745.1444168,1711,0.0
1777036752.444424,1803,0.0
1777036772.8723705,2096,0.0
1777036779.6724968,2186,0.0
1777036795.0854108,2402,0.0
1777036802.2281032,2494,0.0
1777036809.3439534,2584,0.0
1777036816.372453,2676,0.0
1777036823.3044996,2768,0.0
1777036830.1963027,2858,0.0
1777036843.2123427,3042,0.0
1777036863.6558619,3333,0.0
1777036877.0118759,3522,0.0
1777036883.9478273,3614,0.0
1777036891.239784,3706,0.0
1777036900.1718347,3826,0.0
1777036907.331853,3918,0.0
1777036914.365437,4010,0.0
1777036921.163959,4100,0.0
1777036938.1398177,4340,0.0
1777036955.2343347,4580,0.0
1777036968.9239984,4769,0.0
1777036975.6718454,4857,0.0
1777036985.5398014,4993,0.0
1777036992.5067582,5081,0.0
1777036999.1703496,5169,0.0
1777037008.1398523,5288,0.0
1777037015.3400254,5380,0.0
1777037025.4079642,5519,0.0
1777037032.4842012,5609,0.0
1777037039.299992,5699,0.0
1777037051.223694,5866,0.0
1777037058.1077619,5956,0.0
1777037065.0398972,6048,0.0
1777037077.0838754,6213,0.0
1777037083.8159018,6303,0.0
1777037090.5077841,6389,0.0
1777037102.7436137,6556,0.0
1777037109.667603,6648,0.0
1777037121.7744563,6814,0.0
1777037128.8349326,6904,0.0
1777037135.7145917,6994,0.0
1777037142.6650069,7084,0.0
1777037151.2523913,7201,0.0
1777037158.3517902,7293,0.0
1777037165.4750102,7385,0.0
1777037172.359686,7475,0.0
1777037185.6276572,7658,0.0
1777037203.8835664,7920,0.0
1777037214.111666,8056,0.0
1777037224.1592672,8194,0.0
1777037234.751681,8335,0.0
1777037241.6196885,8425,0.0
1777037248.41982,8515,0.0
1777037255.3957348,8605,0.0
1777037270.2718737,8816,0.0
1777037285.419455,9032,0.0
1777037297.1114178,9196,0.0
1777037306.9796321,9332,0.0
1777037313.8353777,9420,0.0
1777037325.9032626,9583,0.0
1777037341.0636954,9799,0.0
1777037352.871435,9965,0.0
1777037359.5389826,10053,0.0
1777037366.686985,10145,0.0
1777037373.5688767,10237,0.0
1777037391.9390173,10501,0.0
1777037400.787045,10619,0.0
1777037410.7229066,10756,0.0
1777037418.0320208,10848,0.0
1777037425.0467584,10940,0.0
1777037434.122772,11058,0.0
