step,tag,value,wall_time
301,rollout/ep_len_mean,683.0,1777036640.644362
464,rollout/ep_len_mean,745.5,1777036652.4520218
607,rollout/ep_len_mean,840.3333129882812,1777036662.8532174
697,rollout/ep_len_mean,759.0,1777036669.6797438
833,rollout/ep_len_mean,759.0,1777036679.5479867
953,rollout/ep_len_mean,746.5999755859375,1777036688.352205
1045,rollout/ep_len_mean,727.5,1777036695.6841714
1133,rollout/ep_len_mean,699.1428833007812,1777036702.7122006
1221,rollout/ep_len_mean,677.125,1777036709.450804
1438,rollout/ep_len_mean,677.125,1777036724.7043316
1574,rollout/ep_len_mean,715.5555419921875,1777036734.8041615
1711,rollout/ep_len_mean,733.7999877929688,1777036745.1442342
1803,rollout/ep_len_mean,715.727294921875,1777036752.4442716
2096,rollout/ep_len_mean,768.25,1777036772.8722558
2186,rollout/ep_len_mean,768.25,1777036779.672357
2402,rollout/ep_len_mean,778.3846435546875,1777036795.0852387
2494,rollout/ep_len_mean,768.7857055664062,1777036802.2279327
2584,rollout/ep_len_mean,752.5333251953125,1777036809.3438272
2676,rollout/ep_len_mean,739.0625,1777036816.372249
2768,rollout/ep_len_mean,739.0625,1777036823.3043244
2858,rollout/ep_len_mean,726.058837890625,1777036830.1961772
3042,rollout/ep_len_mean,725.1666870117188,1777036843.212095
3333,rollout/ep_len_mean,755.9473876953125,1777036863.655715
3522,rollout/ep_len_mean,773.5499877929688,1777036877.0117412
3614,rollout/ep_len_mean,773.5499877929688,1777036883.9477103
3706,rollout/ep_len_mean,761.2380981445312,1777036891.23964
3826,rollout/ep_len_mean,751.227294921875,1777036900.1717134
3918,rollout/ep_len_mean,746.3478393554688,1777036907.3317385
4010,rollout/ep_len_mean,737.4583129882812,1777036914.3652878
4100,rollout/ep_len_mean,737.4583129882812,1777036921.1638563
4340,rollout/ep_len_mean,728.6400146484375,1777036938.1396875
4580,rollout/ep_len_mean,751.1153564453125,1777036955.2342088
4769,rollout/ep_len_mean,772.4815063476562,1777036968.9238207
4857,rollout/ep_len_mean,763.5,1777036975.6717284
4993,rollout/ep_len_mean,763.5,1777036985.539656
5081,rollout/ep_len_mean,761.2413940429688,1777036992.5065722
5169,rollout/ep_len_mean,752.9666748046875,1777036999.1702294
5288,rollout/ep_len_mean,748.6451416015625,1777037008.1397424
5380,rollout/ep_len_mean,741.9375,1777037015.3399282
5519,rollout/ep_len_mean,741.9375,1777037025.4077945
5609,rollout/ep_len_mean,741.3636474609375,1777037032.484063
5699,rollout/ep_len_mean,734.88232421875,1777037039.2998562
5866,rollout/ep_len_mean,728.4857177734375,1777037051.2235253
5956,rollout/ep_len_mean,731.0277709960938,1777037058.107604
6048,rollout/ep_len_mean,731.0277709960938,1777037065.03978
6213,rollout/ep_len_mean,725.4053955078125,1777037077.0837615
6303,rollout/ep_len_mean,727.8421020507812,1777037083.8157415
6389,rollout/ep_len_mean,721.8461303710938,1777037090.507629
6556,rollout/ep_len_mean,724.4500122070312,1777037102.7434368
6648,rollout/ep_len_mean,724.4500122070312,1777037109.6674845
6814,rollout/ep_len_mean,719.8780517578125,1777037121.7742162
6904,rollout/ep_len_mean,722.4761962890625,1777037128.834761
6994,rollout/ep_len_mean,717.7442016601562,1777037135.7144735
7084,rollout/ep_len_mean,713.1591186523438,1777037142.6649015
7201,rollout/ep_len_mean,713.1591186523438,1777037151.2522888
7293,rollout/ep_len_mean,711.2666625976562,1777037158.3516362
7385,rollout/ep_len_mean,707.3043212890625,1777037165.4748795
7475,rollout/ep_len_mean,703.3616943359375,1777037172.3595254
7658,rollout/ep_len_mean,707.25,1777037185.6274924
7920,rollout/ep_len_mean,707.25,1777037203.8834286
8056,rollout/ep_len_mean,717.5918579101562,1777037214.1115115
8194,rollout/ep_len_mean,717.5800170898438,1777037224.159134
8335,rollout/ep_len_mean,721.1961059570312,1777037234.751566
8425,rollout/ep_len_mean,717.6346435546875,1777037241.6195781
8515,rollout/ep_len_mean,717.6346435546875,1777037248.419652
8605,rollout/ep_len_mean,713.6792602539062,1777037255.3955698
8816,rollout/ep_len_mean,713.6851806640625,1777037270.2717378
9032,rollout/ep_len_mean,724.4545288085938,1777037285.4193134
