Wall time,Step,Value
1777036628.7773092,136,136.0
1777036640.6444576,301,301.0
1777036652.45211,464,464.0
1777036662.8533163,607,607.0
1777036669.6798487,697,697.0
1777036679.5481296,833,833.0
1777036688.3523123,953,953.0
1777036695.6842847,1045,1045.0
1777036702.712332,1133,1133.0
1777036709.450912,1221,1221.0
1777036724.704436,1438,1438.0
1777036734.8042798,1574,1574.0
1777036745.1444073,1711,1711.0
1777036752.4443972,1803,1803.0
1777036772.872361,2096,2096.0
1777036779.6724646,2186,2186.0
1777036795.0853834,2402,2402.0
1777036802.2280931,2494,2494.0
1777036809.3439438,2584,2584.0
1777036816.3724263,2676,2676.0
1777036823.304474,2768,2768.0
1777036830.1962926,2858,2858.0
1777036843.2122958,3042,3042.0
1777036863.655852,3333,3333.0
1777036877.0118427,3522,3522.0
1777036883.947818,3614,3614.0
1777036891.239774,3706,3706.0
1777036900.171825,3826,3826.0
1777036907.3318431,3918,3918.0
1777036914.3654099,4010,4010.0
1777036921.1639493,4100,4100.0
1777036938.1397905,4340,4340.0
1777036955.2343245,4580,4580.0
1777036968.9239886,4769,4769.0
1777036975.6718357,4857,4857.0
1777036985.5397913,4993,4993.0
1777036992.5067487,5081,5081.0
1777036999.1703398,5169,5169.0
1777037008.139843,5288,5288.0
1777037015.340016,5380,5380.0
1777037025.4079537,5519,5519.0
1777037032.484192,5609,5609.0
1777037039.2999825,5699,5699.0
1777037051.2236843,5866,5866.0
1777037058.107752,5956,5956.0
1777037065.0398872,6048,6048.0
1777037077.083866,6213,6213.0
1777037083.8158724,6303,6303.0
1777037090.5077577,6389,6389.0
1777037102.7436042,6556,6556.0
1777037109.6675935,6648,6648.0
1777037121.7744465,6814,6814.0
1777037128.834916,6904,6904.0
1777037135.7145822,6994,6994.0
1777037142.6649973,7084,7084.0
1777037151.252382,7201,7201.0
1777037158.3517625,7293,7293.0
1777037165.4750004,7385,7385.0
1777037172.359676,7475,7475.0
1777037185.6276474,7658,7658.0
1777037203.8835568,7920,7920.0
1777037214.1116326,8056,8056.0
1777037224.1592577,8194,8194.0
1777037234.751671,8335,8335.0
1777037241.619679,8425,8425.0
1777037248.4198105,8515,8515.0
1777037255.3957255,8605,8605.0
1777037270.2718637,8816,8816.0
1777037285.4194453,9032,9032.0
1777037297.1114085,9196,9196.0
1777037306.979623,9332,9332.0
1777037313.8353684,9420,9420.0
1777037325.9032528,9583,9583.0
1777037341.063667,9799,9799.0
1777037352.871397,9965,9965.0
1777037359.5389533,10053,10053.0
1777037366.686975,10145,10145.0
1777037373.568867,10237,10237.0
1777037391.9390073,10501,10501.0
1777037400.7870352,10619,10619.0
1777037410.7228966,10756,10756.0
1777037418.0319917,10848,10848.0
1777037425.0467486,10940,10940.0
1777037434.1227622,11058,11058.0
1777037443.1708593,11176,11176.0
1777037449.9708009,11266,11266.0
1777037460.35135,11404,11404.0
1777037470.678825,11542,11542.0
1777037477.5386944,11634,11634.0
1777037484.8453825,11726,11726.0
1777037494.6986482,11862,11862.0
1777037501.5147784,11952,11952.0
1777037508.3678071,12040,12040.0
1777037515.5599532,12132,12132.0
1777037524.528746,12250,12250.0
1777037534.251476,12384,12384.0
1777037541.1988492,12476,12476.0
1777037551.3487504,12617,12617.0
1777037558.3587384,12707,12707.0
1777037567.1303136,12825,12825.0
1777037578.9152062,12990,12990.0
1777037587.6733112,13108,13108.0
1777037596.6908045,13228,13228.0
1777037605.627773,13348,13348.0
1777037614.71462,13468,13468.0
1777037621.520301,13558,13558.0
1777037628.3147466,13646,13646.0
1777037643.3064647,13859,13859.0
1777037656.3825946,14044,14044.0
1777037665.3665779,14164,14164.0
1777037672.3045416,14256,14256.0
1777037679.2262723,14348,14348.0
1777037686.526458,14440,14440.0
1777037699.9662318,14626,14626.0
1777037716.5980446,14861,14861.0
1777037723.394326,14951,14951.0
1777037730.3945942,15041,15041.0
1777037737.3518016,15131,15131.0
1777037744.1183848,15221,15221.0
1777037751.2917385,15313,15313.0
