Wall time,Step,Value
1777036640.644362,301,683.0
1777036652.4520218,464,745.5
1777036662.8532174,607,840.3333129882812
1777036669.6797438,697,759.0
1777036679.5479867,833,759.0
1777036688.352205,953,746.5999755859375
1777036695.6841714,1045,727.5
1777036702.7122006,1133,699.1428833007812
1777036709.450804,1221,677.125
1777036724.7043316,1438,677.125
1777036734.8041615,1574,715.5555419921875
1777036745.1442342,1711,733.7999877929688
1777036752.4442716,1803,715.727294921875
1777036772.8722558,2096,768.25
1777036779.672357,2186,768.25
1777036795.0852387,2402,778.3846435546875
1777036802.2279327,2494,768.7857055664062
1777036809.3438272,2584,752.5333251953125
1777036816.372249,2676,739.0625
1777036823.3043244,2768,739.0625
1777036830.1961772,2858,726.058837890625
1777036843.212095,3042,725.1666870117188
1777036863.655715,3333,755.9473876953125
1777036877.0117412,3522,773.5499877929688
1777036883.9477103,3614,773.5499877929688
1777036891.23964,3706,761.2380981445312
1777036900.1717134,3826,751.227294921875
1777036907.3317385,3918,746.3478393554688
1777036914.3652878,4010,737.4583129882812
1777036921.1638563,4100,737.4583129882812
1777036938.1396875,4340,728.6400146484375
1777036955.2342088,4580,751.1153564453125
1777036968.9238207,4769,772.4815063476562
1777036975.6717284,4857,763.5
1777036985.539656,4993,763.5
1777036992.5065722,5081,761.2413940429688
1777036999.1702294,5169,752.9666748046875
1777037008.1397424,5288,748.6451416015625
1777037015.3399282,5380,741.9375
1777037025.4077945,5519,741.9375
1777037032.484063,5609,741.3636474609375
1777037039.2998562,5699,734.88232421875
1777037051.2235253,5866,728.4857177734375
1777037058.107604,5956,731.0277709960938
1777037065.03978,6048,731.0277709960938
1777037077.0837615,6213,725.4053955078125
1777037083.8157415,6303,727.8421020507812
1777037090.507629,6389,721.8461303710938
1777037102.7434368,6556,724.4500122070312
1777037109.6674845,6648,724.4500122070312
1777037121.7742162,6814,719.8780517578125
1777037128.834761,6904,722.4761962890625
1777037135.7144735,6994,717.7442016601562
1777037142.6649015,7084,713.1591186523438
1777037151.2522888,7201,713.1591186523438
