Wall_time,Step,Value
1774962038.7231898,286,3.0
1774962046.664396,370,2.0
1774962061.8578625,562,2.0
1774962072.4191418,689,2.0
1774962088.9503984,908,2.0
1774962101.7433765,1059,2.4000000953674316
1774962114.434709,1209,2.3333332538604736
1774962124.0860362,1316,2.4285714626312256
1774962131.9725537,1400,2.125
1774962143.4956973,1550,2.125
1774962151.1028264,1632,2.1111111640930176
1774962165.0249379,1799,2.0
1774962175.9983838,1925,2.0
1774962182.8519971,2005,1.8333333730697632
1774962199.2366278,2222,1.8333333730697632
1774962208.7872422,2332,1.923076868057251
1774962218.3691483,2442,1.9285714626312256
1774962226.2420795,2526,1.7999999523162842
1774962237.0215993,2650,1.75
1774962248.4487348,2798,1.75
1774962259.0426419,2923,1.7647058963775635
1774962268.7108345,3033,1.7222222089767456
1774962275.951632,3113,1.6842105388641357
1774962286.5515015,3236,1.649999976158142
1774962302.3547695,3445,1.649999976158142
1774962311.7794578,3555,1.7142857313156128
1774962324.7769017,3705,1.7727272510528564
1774962337.661911,3855,1.7826087474822998
1774962346.8172007,3963,1.75
1774962355.5126083,4073,1.75
1774962363.5721,4157,1.7200000286102295
1774962371.093685,4239,1.6538461446762085
1774962383.8597863,4388,1.6666666269302368
1774962391.8150802,4472,1.6071428060531616
1774962404.621878,4640,1.6071428060531616
1774962412.2549706,4720,1.6206896305084229
1774962419.5549092,4802,1.5666667222976685
1774962430.5330741,4925,1.548387050628662
1774962441.9890947,5054,1.53125
1774962448.8422697,5138,1.53125
1774962462.9279847,5308,1.4848484992980957
1774962473.691328,5435,1.529411792755127
1774962487.4914763,5606,1.5428571701049805
1774962504.690715,5830,1.6111111640930176
1774962516.2258453,5979,1.6111111640930176
1774962533.915052,6194,1.6486486196517944
1774962546.042315,6344,1.6842105388641357
1774962553.8882072,6428,1.6666666269302368
1774962566.6577318,6575,1.6749999523162842
1774962578.0926564,6724,1.6749999523162842
1774962588.7412,6851,1.6829267740249634
1774962601.7568958,7003,1.7142857313156128
1774962609.4389434,7083,1.674418568611145
1774962621.7248735,7233,1.6818181276321411
1774962631.583606,7359,1.6818181276321411
