Wall_time,Step,Value
1774962029.3556921,176,4.0
1774962038.723239,286,8.0
1774962046.6644452,370,12.0
1774962061.857926,562,16.0
1774962072.4192042,689,20.0
1774962088.950422,908,24.0
1774962101.7434375,1059,28.0
1774962114.4347727,1209,32.0
1774962124.0861535,1316,36.0
1774962131.972615,1400,40.0
1774962143.4957464,1550,44.0
1774962151.1028466,1632,48.0
1774962165.0249631,1799,52.0
1774962175.998446,1925,56.0
1774962182.8520284,2005,60.0
1774962199.2366989,2222,64.0
1774962208.787306,2332,68.0
1774962218.3691726,2442,72.0
1774962226.242104,2526,76.0
1774962237.0216217,2650,80.0
1774962248.448786,2798,84.0
1774962259.042699,2923,88.0
1774962268.710884,3033,92.0
1774962275.9516873,3113,96.0
1774962286.5515633,3236,100.0
1774962302.354832,3445,104.0
1774962311.7795184,3555,108.0
1774962324.7769253,3705,112.0
1774962337.6619728,3855,116.0
1774962346.8172648,3963,120.0
1774962355.5126328,4073,124.0
1774962363.572172,4157,128.0
1774962371.0937347,4239,132.0
1774962383.8598378,4388,136.0
1774962391.8151014,4472,140.0
1774962404.621903,4640,144.0
1774962412.255033,4720,148.0
1774962419.55497,4802,152.0
1774962430.5330985,4925,156.0
1774962441.9891558,5054,160.0
1774962448.842293,5138,164.0
1774962462.9280074,5308,168.0
1774962473.6913483,5435,172.0
1774962487.4914985,5606,176.0
1774962504.690741,5830,180.0
1774962516.2259085,5979,184.0
1774962533.9150746,6194,188.0
1774962546.042377,6344,192.0
1774962553.8882687,6428,196.0
1774962566.6577814,6575,200.0
1774962578.0927064,6724,204.0
1774962588.7412484,6851,208.0
1774962601.7569237,7003,212.0
1774962609.4389696,7083,216.0
1774962621.724938,7233,220.0
1774962631.5836878,7359,224.0
1774962642.3600404,7482,228.0
1774962656.5219615,7650,232.0
1774962667.4797742,7778,236.0
1774962681.725243,7954,240.0
1774962696.3643863,8148,244.0
1774962704.2354708,8226,248.0
1774962714.7032924,8350,252.0
1774962727.2049935,8499,256.0
1774962736.7605755,8609,260.0
