Wall_time,Step,Value
1774962029.3557415,176,0.0
1774962038.7232833,286,0.0
1774962046.664489,370,0.0
1774962061.857982,562,0.0
1774962072.419261,689,0.0
1774962088.9504418,908,0.0
1774962101.743493,1059,0.0
1774962114.4348307,1209,0.0
1774962124.0862238,1316,0.0
1774962131.9727457,1400,0.0
1774962143.495791,1550,0.0
1774962151.1028636,1632,0.0
1774962165.0249834,1799,0.0
1774962175.9985008,1925,0.0
1774962182.852054,2005,0.0
1774962199.2367542,2222,0.0
1774962208.787363,2332,0.0
1774962218.3691914,2442,0.0
1774962226.2421234,2526,0.0
1774962237.021642,2650,0.0
1774962248.4488325,2798,0.0
1774962259.0427423,2923,0.0
1774962268.7109299,3033,0.0
1774962275.9517326,3113,0.0
1774962286.551619,3236,0.0
1774962302.3548875,3445,0.0
1774962311.7795749,3555,0.0
1774962324.7769442,3705,0.0
1774962337.662028,3855,0.0
1774962346.8173218,3963,0.0
1774962355.5126517,4073,0.0
1774962363.5722387,4157,0.0
1774962371.0937796,4239,0.0
1774962383.8598816,4388,0.0
1774962391.815119,4472,0.0
1774962404.621922,4640,0.0
1774962412.2550888,4720,0.0
1774962419.5550256,4802,0.0
1774962430.5331178,4925,0.0
1774962441.9892116,5054,0.0
1774962448.8423119,5138,0.0
1774962462.9280262,5308,0.0
1774962473.6913645,5435,0.0
1774962487.4915156,5606,0.0
1774962504.6907601,5830,0.0
1774962516.2259643,5979,0.0
1774962533.915093,6194,0.0
1774962546.0424325,6344,0.0
1774962553.888325,6428,0.0
1774962566.6578267,6575,0.0
1774962578.0927503,6724,0.0
1774962588.7412925,6851,0.0
1774962601.7569437,7003,0.0
1774962609.4389894,7083,0.0
1774962621.7249951,7233,0.0
1774962631.5837467,7359,0.0
1774962642.3600605,7482,0.0
1774962656.5220175,7650,0.0
1774962667.47983,7778,0.0
1774962681.725299,7954,0.0
1774962696.3644323,8148,0.0
1774962704.235516,8226,0.0
1774962714.7033377,8350,0.0
1774962727.2050107,8499,0.0
1774962736.7605948,8609,0.0
1774962746.391141,8732,0.0
1774962759.4771562,8886,0.0
1774962770.0780156,9010,0.0
1774962785.2356005,9202,0.0
1774962793.1470041,9286,0.0
1774962804.670005,9436,0.0
1774962815.6519601,9563,0.0
1774962823.940114,9647,0.0
1774962834.4864745,9773,0.0
1774962842.05071,9855,0.0
1774962848.8804588,9939,0.0
1774962861.0903642,10088,0.0
1774962868.1213145,10168,0.0
1774962877.6189435,10276,0.0
1774962891.1828034,10443,0.0
1774962898.0367763,10527,0.0
1774962912.672675,10707,0.0
1774962932.5125346,10962,0.0
1774962943.3565376,11088,0.0
1774962957.3079555,11258,0.0
1774962968.6959612,11406,0.0
1774962976.4139092,11490,0.0
1774962990.6648362,11664,0.0
1774963004.688586,11833,0.0
1774963012.3594828,11915,0.0
1774963029.0307102,12135,0.0
1774963036.448867,12215,0.0
1774963047.3947685,12339,0.0
1774963058.1919527,12461,0.0
1774963067.9733517,12573,0.0
1774963077.6819994,12698,0.0
1774963089.8176403,12850,0.0
1774963112.448475,13141,0.0
1774963120.1234882,13223,0.0
1774963130.5327888,13347,0.0
1774963141.2299914,13485,0.0
1774963151.9926908,13611,0.0
1774963164.8314233,13762,0.0
1774963175.2322407,13888,0.0
1774963187.71314,14038,0.0
1774963197.6158478,14165,0.0
1774963205.2335966,14247,0.0
1774963217.5410256,14400,0.0
1774963242.5335772,14729,0.0
1774963250.6382945,14813,0.0
1774963259.1909065,14921,0.0
1774963266.507507,15003,0.0
1774963277.785889,15135,0.0
1774963290.4201012,15285,0.0
1774963300.1265786,15393,0.0
1774963309.7901142,15517,0.0
1774963317.0063643,15599,0.0
1774963324.733257,15683,0.0
1774963332.130382,15764,0.0
1774963343.151373,15888,0.0
1774963349.6966789,15968,0.0
1774963360.2968614,16092,0.0
1774963370.7124448,16216,0.0
1774963381.7121267,16347,0.0
1774963389.6420312,16429,0.0
1774963396.4475589,16513,0.0
1774963403.656422,16595,0.0
1774963419.6198065,16790,0.0
1774963432.118519,16944,0.0
1774963439.3627312,17026,0.0
1774963447.9032655,17134,0.0
1774963458.8230689,17259,0.0
1774963466.2096379,17341,0.0
1774963483.5815947,17561,0.0
1774963494.5728533,17687,0.0
1774963501.382184,17771,0.0
1774963508.4225755,17851,0.0
1774963522.9605947,18023,0.0
1774963533.2653403,18145,0.0
1774963540.2614317,18225,0.0
1774963551.6487749,18373,0.0
1774963562.578299,18497,0.0
1774963570.0224156,18578,0.0
1774963577.583944,18658,0.0
1774963590.2397735,18808,0.0
1774963600.7006085,18942,0.0
1774963608.310782,19026,0.0
1774963618.5237694,19150,0.0
1774963625.7580793,19234,0.0
1774963638.258341,19380,0.0
1774963647.7863548,19502,0.0
1774963655.667974,19586,0.0
1774963663.6109824,19670,0.0
1774963670.960901,19754,0.0
1774963682.3321564,19892,0.0
1774963692.169905,20018,0.0
1774963700.277396,20100,0.0
1774963717.3523927,20318,0.0
1774963726.736597,20423,0.0
1774963739.513416,20571,0.0
1774963746.1710846,20653,0.0
1774963754.0058668,20735,0.0
1774963764.4428012,20859,0.0
1774963780.3618813,21056,0.0
1774963792.4705226,21202,0.0
1774963799.2991107,21286,0.0
1774963810.1955872,21412,0.0
1774963824.6466358,21592,0.0
1774963843.3182528,21830,0.0
1774963857.0761728,22002,0.0
1774963866.9456592,22129,0.0
1774963882.0892375,22321,0.0
1774963896.1500351,22491,0.0
1774963903.4128838,22571,0.0
1774963917.4481947,22741,0.0
1774963927.0285847,22863,0.0
1774963934.815017,22945,0.0
1774963942.1249177,23027,0.0
1774963952.7629776,23155,0.0
1774963961.9933045,23259,0.0
1774963971.6966517,23383,0.0
1774963997.2026243,23712,0.0
1774964004.5792267,23794,0.0
1774964018.0595329,23963,0.0
1774964027.670981,24072,0.0
1774964039.1714933,24221,0.0
1774964053.499673,24396,0.0
1774964066.5335102,24546,0.0
1774964078.5748243,24697,0.0
1774964093.4993527,24873,0.0
1774964100.1786594,24955,0.0
1774964108.2287755,25035,0.0
1774964119.5873668,25171,0.0
1774964132.4516478,25323,0.0
1774964145.352837,25478,0.0
1774964162.3259358,25704,0.0
1774964179.547049,25920,0.0
1774964189.4623575,26026,0.0
1774964197.3721626,26108,0.0
1774964210.3489192,26260,0.0
1774964221.8940456,26410,0.0
1774964229.3799658,26490,0.0
1774964240.5250773,26619,0.0
1774964253.458429,26771,0.0
1774964262.6928585,26879,0.0
1774964271.262372,26987,0.0
1774964279.1591876,27071,0.0
1774964286.9831665,27155,0.0
1774964294.6965144,27237,0.0
1774964305.8250775,27373,0.0
1774964312.6445816,27457,0.0
1774964320.7806776,27539,0.0
1774964339.2773564,27776,0.0
1774964349.1588275,27886,0.0
1774964361.5537915,28039,0.0
1774964368.243822,28121,0.0
1774964383.990357,28314,0.0
1774964391.2161102,28396,0.0
1774964401.8205519,28522,0.0
1774964409.5671587,28606,0.0
1774964421.2568967,28758,0.0
1774964434.1071544,28906,0.0
1774964448.922952,29084,0.0
1774964459.928864,29208,0.0
1774964474.2835312,29383,0.0
1774964485.1352084,29523,0.0
1774964492.8358471,29606,0.0
1774964509.453902,29818,0.0
1774964522.2975302,29968,0.0
1774964532.963968,30092,0.0
1774964544.4848123,30242,0.0
1774964558.9501352,30422,0.0
1774964577.4812214,30662,0.0
1774964588.1195164,30786,0.0
1774964600.4510922,30936,0.0
1774964611.8517077,31084,0.0
1774964619.7760131,31166,0.0
1774964627.433912,31250,0.0
1774964638.453064,31374,0.0
1774964652.598873,31541,0.0
1774964664.2884364,31693,0.0
1774964673.6486855,31799,0.0
1774964681.2456386,31883,0.0
1774964699.483083,32119,0.0
1774964706.8964026,32197,0.0
1774964713.7151127,32281,0.0
1774964729.9953313,32486,0.0
1774964737.912489,32570,0.0
1774964747.8988342,32678,0.0
1774964755.5189347,32760,0.0
1774964767.179111,32912,0.0
1774964787.2973893,33167,0.0
1774964795.089706,33249,0.0
1774964805.7508974,33373,0.0
1774964818.914389,33525,0.0
1774964831.7320657,33693,0.0
1774964841.9056835,33805,0.0
1774964863.4630187,34085,0.0
1774964873.8381772,34211,0.0
1774964891.9513044,34432,0.0
1774964903.6098642,34584,0.0
1774964911.4271793,34668,0.0
1774964919.5731702,34752,0.0
1774964930.44014,34878,0.0
1774964941.6321988,35004,0.0
1774964948.4398794,35088,0.0
1774964956.3391976,35168,0.0
1774964964.3773813,35249,0.0
1774964978.382691,35422,0.0
1774964990.964011,35577,0.0
1774964997.6443794,35659,0.0
1774965005.6652405,35739,0.0
1774965019.8803766,35913,0.0
1774965031.13527,36040,0.0
1774965038.7904663,36122,0.0
1774965045.6220624,36206,0.0
1774965053.2145464,36290,0.0
1774965061.0955043,36374,0.0
1774965075.788032,36564,0.0
1774965085.087104,36669,0.0
1774965101.3335822,36885,0.0
1774965114.0207732,37037,0.0
1774965123.4875262,37145,0.0
1774965136.24064,37297,0.0
1774965145.6935654,37408,0.0
1774965155.2582676,37530,0.0
1774965167.3881326,37680,0.0
1774965178.356538,37808,0.0
1774965192.462195,37981,0.0
1774965201.906647,38087,0.0
1774965216.5878236,38281,0.0
1774965226.039097,38389,0.0
1774965243.296332,38607,0.0
1774965254.201951,38734,0.0
1774965267.179946,38888,0.0
1774965280.2658794,39059,0.0
1774965291.3938177,39182,0.0
1774965306.070925,39355,0.0
1774965319.3333511,39507,0.0
1774965335.2494848,39703,0.0
1774965341.8421552,39783,0.0
1774965354.729145,39935,0.0
1774965364.2661395,40043,0.0
1774965375.3348975,40169,0.0
1774965386.0233865,40295,0.0
1774965392.5466611,40375,0.0
1774965405.0805328,40523,0.0
1774965415.5630512,40648,0.0
1774965428.355412,40800,0.0
1774965437.2415736,40904,0.0
1774965446.9748921,41028,0.0
1774965461.069791,41199,0.0
1774965471.4950411,41324,0.0
1774965483.7124195,41476,0.0
1774965491.6847968,41556,0.0
1774965498.5032482,41640,0.0
1774965508.9601007,41766,0.0
1774965524.9745603,41961,0.0
1774965539.248723,42129,0.0
1774965547.0204706,42211,0.0
1774965555.6925797,42321,0.0
1774965568.6202772,42470,0.0
1774965579.704841,42595,0.0
1774965590.291126,42717,0.0
1774965597.457994,42798,0.0
1774965603.9944105,42878,0.0
1774965613.502504,42988,0.0
1774965628.9444563,43183,0.0
1774965636.7169626,43267,0.0
1774965650.2410889,43433,0.0
1774965656.995937,43516,0.0
1774965668.2174273,43640,0.0
1774965676.2402158,43722,0.0
1774965686.6025116,43844,0.0
1774965694.7915387,43924,0.0
1774965703.2977457,44031,0.0
1774965716.7797885,44198,0.0
1774965731.1181931,44368,0.0
1774965744.0981703,44521,0.0
1774965751.8079886,44605,0.0
1774965766.5194561,44799,0.0
