Wall_time,Step,Value
1774962029.355671,176,0.0
1774962038.7232232,286,3.0
1774962046.6644294,370,3.0
1774962061.8579056,562,3.0
1774962072.4191844,689,3.0
1774962088.9504144,908,3.0
1774962101.7434177,1059,4.0
1774962114.4347522,1209,4.0
1774962124.0860865,1316,4.0
1774962131.9725952,1400,4.0
1774962143.4957306,1550,4.0
1774962151.1028404,1632,4.0
1774962165.024955,1799,4.0
1774962175.9984262,1925,4.0
1774962182.8520184,2005,4.0
1774962199.2366788,2222,4.0
1774962208.7872853,2332,4.0
1774962218.3691635,2442,4.0
1774962226.2420964,2526,4.0
1774962237.0216146,2650,4.0
1774962248.4487698,2798,4.0
1774962259.0426834,2923,4.0
1774962268.7108681,3033,4.0
1774962275.9516718,3113,4.0
1774962286.5515435,3236,4.0
1774962302.354812,3445,4.0
1774962311.779499,3555,4.0
1774962324.7769177,3705,4.0
1774962337.6619527,3855,4.0
1774962346.8172448,3963,4.0
1774962355.5126252,4073,4.0
1774962363.5721483,4157,4.0
1774962371.0937188,4239,4.0
1774962383.859821,4388,4.0
1774962391.8150945,4472,4.0
1774962404.6218946,4640,4.0
1774962412.2550128,4720,4.0
1774962419.5549505,4802,4.0
1774962430.533091,4925,4.0
1774962441.9891367,5054,4.0
1774962448.8422859,5138,4.0
1774962462.9279997,5308,4.0
1774962473.6913419,5435,4.0
1774962487.491491,5606,4.0
1774962504.6907337,5830,4.0
1774962516.2258885,5979,4.0
1774962533.9150674,6194,4.0
1774962546.042357,6344,4.0
1774962553.8882492,6428,4.0
1774962566.6577654,6575,4.0
1774962578.092691,6724,4.0
1774962588.7412324,6851,4.0
1774962601.756916,7003,4.0
1774962609.4389613,7083,4.0
1774962621.7249174,7233,4.0
1774962631.583666,7359,4.0
1774962642.3600323,7482,4.0
1774962656.5219395,7650,4.0
1774962667.4797544,7778,4.0
1774962681.7252226,7954,4.0
1774962696.3643703,8148,4.0
1774962704.2354543,8226,4.0
1774962714.703275,8350,4.0
1774962727.2049868,8499,4.0
1774962736.7605672,8609,4.0
1774962746.3910637,8732,4.0
1774962759.4771278,8886,4.0
1774962770.0779884,9010,4.0
1774962785.2355697,9202,4.0
1774962793.146977,9286,4.0
1774962804.6699295,9436,4.0
1774962815.6519299,9563,4.0
1774962823.9400864,9647,4.0
1774962834.4864142,9773,4.0
1774962842.050686,9855,4.0
1774962848.880398,9939,4.0
1774962861.090336,10088,4.0
1774962868.1212397,10168,4.0
1774962877.618915,10276,4.0
1774962891.1827226,10443,4.0
1774962898.0367315,10527,4.0
1774962912.6725914,10707,4.0
1774962932.5124576,10962,6.0
1774962943.3565104,11088,6.0
1774962957.3079305,11258,6.0
1774962968.695898,11406,6.0
1774962976.4138844,11490,6.0
1774962990.6648083,11664,6.0
1774963004.6885092,11833,6.0
1774963012.359342,11915,6.0
1774963029.0306237,12135,6.0
1774963036.4487922,12215,6.0
1774963047.3946922,12339,6.0
1774963058.1918914,12461,6.0
1774963067.9733276,12573,6.0
1774963077.6819758,12698,6.0
1774963089.8176126,12850,6.0
1774963112.4484463,13141,6.0
1774963120.1234112,13223,6.0
1774963130.5327554,13347,6.0
1774963141.2299123,13485,6.0
1774963151.99261,13611,6.0
1774963164.8313625,13762,6.0
1774963175.2321644,13888,6.0
1774963187.713065,14038,6.0
