Wall_time,Step,Value
1774962029.3557258,176,176.0
1774962038.7232683,286,286.0
1774962046.6644747,370,370.0
1774962061.857964,562,562.0
1774962072.419243,689,689.0
1774962088.9504354,908,908.0
1774962101.743475,1059,1059.0
1774962114.4348114,1209,1209.0
1774962124.0862029,1316,1316.0
1774962131.9727135,1400,1400.0
1774962143.4957764,1550,1550.0
1774962151.102858,1632,1632.0
1774962165.0249767,1799,1799.0
1774962175.998483,1925,1925.0
1774962182.8520458,2005,2005.0
1774962199.2367358,2222,2222.0
1774962208.7873452,2332,2332.0
1774962218.3691854,2442,2442.0
1774962226.2421172,2526,2526.0
1774962237.0216348,2650,2650.0
1774962248.448818,2798,2798.0
1774962259.0427282,2923,2923.0
1774962268.7109146,3033,3033.0
1774962275.9517179,3113,3113.0
1774962286.551601,3236,3236.0
1774962302.3548687,3445,3445.0
1774962311.7795563,3555,3555.0
1774962324.7769382,3705,3705.0
1774962337.6620097,3855,3855.0
1774962346.817303,3963,3963.0
1774962355.512646,4073,4073.0
1774962363.5722167,4157,4157.0
1774962371.0937648,4239,4239.0
1774962383.859867,4388,4388.0
1774962391.8151138,4472,4472.0
1774962404.6219156,4640,4640.0
1774962412.2550707,4720,4720.0
1774962419.555007,4802,4802.0
1774962430.5331116,4925,4925.0
1774962441.9891932,5054,5054.0
1774962448.8423061,5138,5138.0
1774962462.9280202,5308,5308.0
1774962473.6913593,5435,5435.0
1774962487.49151,5606,5606.0
1774962504.690754,5830,5830.0
1774962516.2259462,5979,5979.0
1774962533.9150872,6194,6194.0
1774962546.0424147,6344,6344.0
1774962553.8883066,6428,6428.0
1774962566.6578116,6575,6575.0
1774962578.0927362,6724,6724.0
1774962588.741278,6851,6851.0
1774962601.756937,7003,7003.0
1774962609.4389832,7083,7083.0
1774962621.7249773,7233,7233.0
1774962631.5837278,7359,7359.0
1774962642.360054,7482,7482.0
1774962656.521999,7650,7650.0
1774962667.4798121,7778,7778.0
1774962681.7252808,7954,7954.0
1774962696.3644168,8148,8148.0
1774962704.2355013,8226,8226.0
1774962714.703323,8350,8350.0
1774962727.2050052,8499,8499.0
1774962736.7605886,8609,8609.0
1774962746.3911226,8732,8732.0
1774962759.4771497,8886,8886.0
1774962770.0780091,9010,9010.0
1774962785.2355936,9202,9202.0
1774962793.1469977,9286,9286.0
1774962804.6699867,9436,9436.0
1774962815.651953,9563,9563.0
1774962823.9401073,9647,9647.0
1774962834.4864597,9773,9773.0
1774962842.0507047,9855,9855.0
1774962848.8804448,9939,9939.0
1774962861.0903578,10088,10088.0
1774962868.1212964,10168,10168.0
1774962877.6189368,10276,10276.0
1774962891.1827846,10443,10443.0
1774962898.03677,10527,10527.0
1774962912.6726494,10707,10707.0
1774962932.512516,10962,10962.0
1774962943.3565311,11088,11088.0
1774962957.3079498,11258,11258.0
1774962968.6959462,11406,11406.0
1774962976.4139037,11490,11490.0
1774962990.6648297,11664,11664.0
1774963004.6885676,11833,11833.0
1774963012.3594763,11915,11915.0
1774963029.0306916,12135,12135.0
1774963036.4488494,12215,12215.0
1774963047.39475,12339,12339.0
1774963058.1919377,12461,12461.0
1774963067.9733462,12573,12573.0
1774963077.681994,12698,12698.0
1774963089.8176339,12850,12850.0
1774963112.448468,13141,13141.0
1774963120.1234698,13223,13223.0
1774963130.532782,13347,13347.0
1774963141.2299728,13485,13485.0
1774963151.9926727,13611,13611.0
1774963164.8314085,13762,13762.0
1774963175.2322226,13888,13888.0
1774963187.7131221,14038,14038.0
1774963197.6158419,14165,14165.0
1774963205.2335784,14247,14247.0
1774963217.5410209,14400,14400.0
1774963242.5335705,14729,14729.0
1774963250.6382766,14813,14813.0
1774963259.190889,14921,14921.0
1774963266.5074885,15003,15003.0
1774963277.7858708,15135,15135.0
1774963290.420083,15285,15285.0
1774963300.1265607,15393,15393.0
1774963309.7900994,15517,15517.0
1774963317.0063493,15599,15599.0
1774963324.733242,15683,15683.0
1774963332.1303675,15764,15764.0
1774963343.1513546,15888,15888.0
1774963349.6966512,15968,15968.0
1774963360.2968552,16092,16092.0
1774963370.7124267,16216,16216.0
1774963381.7121084,16347,16347.0
1774963389.6420166,16429,16429.0
1774963396.4475436,16513,16513.0
1774963403.656407,16595,16595.0
1774963419.6197875,16790,16790.0
1774963432.118501,16944,16944.0
1774963439.362713,17026,17026.0
1774963447.903247,17134,17134.0
1774963458.823063,17259,17259.0
1774963466.2096317,17341,17341.0
1774963483.5815883,17561,17561.0
1774963494.5728383,17687,17687.0
1774963501.3821695,17771,17771.0
1774963508.422559,17851,17851.0
1774963522.9605806,18023,18023.0
1774963533.2653348,18145,18145.0
1774963540.2614248,18225,18225.0
1774963551.6487687,18373,18373.0
1774963562.5782812,18497,18497.0
1774963570.0223973,18578,18578.0
1774963577.5839255,18658,18658.0
1774963590.2397556,18808,18808.0
1774963600.7005854,18942,18942.0
1774963608.310764,19026,19026.0
1774963618.5237548,19150,19150.0
1774963625.758074,19234,19234.0
1774963638.258327,19380,19380.0
1774963647.7863364,19502,19502.0
1774963655.6679673,19586,19586.0
1774963663.6109762,19670,19670.0
1774963670.960895,19754,19754.0
1774963682.3321385,19892,19892.0
1774963692.1698868,20018,20018.0
1774963700.2773898,20100,20100.0
1774963717.3523736,20318,20318.0
1774963726.7365792,20423,20423.0
1774963739.5134013,20571,20571.0
1774963746.1710794,20653,20653.0
1774963754.0058527,20735,20735.0
1774963764.4427872,20859,20859.0
1774963780.3618634,21056,21056.0
1774963792.470505,21202,21202.0
1774963799.2990928,21286,21286.0
1774963810.1955686,21412,21412.0
1774963824.6466298,21592,21592.0
1774963843.3182347,21830,21830.0
1774963857.076155,22002,22002.0
1774963866.9456391,22129,22129.0
1774963882.0892224,22321,22321.0
1774963896.1500208,22491,22491.0
1774963903.412866,22571,22571.0
1774963917.4481757,22741,22741.0
1774963927.028579,22863,22863.0
1774963934.8149993,22945,22945.0
1774963942.1248996,23027,23027.0
1774963952.7629592,23155,23155.0
1774963961.993285,23259,23259.0
1774963971.6966367,23383,23383.0
1774963997.2026103,23712,23712.0
1774964004.5792117,23794,23794.0
1774964018.059527,23963,23963.0
1774964027.670963,24072,24072.0
1774964039.1714864,24221,24221.0
1774964053.499649,24396,24396.0
1774964066.5334923,24546,24546.0
1774964078.5748065,24697,24697.0
1774964093.4993384,24873,24873.0
1774964100.1786401,24955,24955.0
1774964108.2287617,25035,25035.0
1774964119.587348,25171,25171.0
1774964132.4516299,25323,25323.0
1774964145.352831,25478,25478.0
1774964162.3259299,25704,25704.0
1774964179.54703,25920,25920.0
1774964189.4623437,26026,26026.0
1774964197.3721483,26108,26108.0
1774964210.3489041,26260,26260.0
1774964221.8940399,26410,26410.0
1774964229.3799481,26490,26490.0
1774964240.5250711,26619,26619.0
1774964253.4584234,26771,26771.0
1774964262.6928396,26879,26879.0
1774964271.2623534,26987,26987.0
1774964279.1591816,27071,27071.0
1774964286.9831486,27155,27155.0
1774964294.6965003,27237,27237.0
1774964305.8250632,27373,27373.0
1774964312.6445634,27457,27457.0
1774964320.7806628,27539,27539.0
1774964339.2773383,27776,27776.0
1774964349.1588213,27886,27886.0
1774964361.553774,28039,28039.0
1774964368.2438047,28121,28121.0
1774964383.990352,28314,28314.0
1774964391.2160957,28396,28396.0
1774964401.8205335,28522,28522.0
1774964409.5671413,28606,28606.0
1774964421.2568798,28758,28758.0
1774964434.1071486,28906,28906.0
1774964448.9229374,29084,29084.0
1774964459.9288487,29208,29208.0
1774964474.2835135,29383,29383.0
1774964485.1351907,29523,29523.0
1774964492.8358412,29606,29606.0
1774964509.4538834,29818,29818.0
1774964522.2975125,29968,29968.0
1774964532.9639628,30092,30092.0
1774964544.484808,30242,30242.0
1774964558.9501295,30422,30422.0
1774964577.4812152,30662,30662.0
1774964588.119499,30786,30786.0
1774964600.4510868,30936,30936.0
1774964611.8516934,31084,31084.0
1774964619.7760074,31166,31166.0
1774964627.4338934,31250,31250.0
1774964638.4530578,31374,31374.0
1774964652.598855,31541,31541.0
1774964664.288431,31693,31693.0
1774964673.6486707,31799,31799.0
1774964681.2456245,31883,31883.0
1774964699.4830687,32119,32119.0
1774964706.8963878,32197,32197.0
1774964713.7150948,32281,32281.0
1774964729.9953132,32486,32486.0
1774964737.91247,32570,32570.0
1774964747.8988156,32678,32678.0
1774964755.5189168,32760,32760.0
1774964767.1790938,32912,32912.0
1774964787.2973843,33167,33167.0
1774964795.0897007,33249,33249.0
1774964805.7508826,33373,33373.0
1774964818.9143713,33525,33525.0
1774964831.7320476,33693,33693.0
1774964841.9056644,33805,33805.0
1774964863.4630127,34085,34085.0
1774964873.8381715,34211,34211.0
1774964891.95129,34432,34432.0
1774964903.60985,34584,34584.0
1774964911.427165,34668,34668.0
1774964919.5731523,34752,34752.0
1774964930.4401338,34878,34878.0
1774964941.6321926,35004,35004.0
1774964948.4398618,35088,35088.0
1774964956.3391767,35168,35168.0
1774964964.3773632,35249,35249.0
1774964978.3826723,35422,35422.0
1774964990.9639935,35577,35577.0
1774964997.644365,35659,35659.0
1774965005.6652262,35739,35739.0
1774965019.880362,35913,35913.0
1774965031.135252,36040,36040.0
1774965038.7904484,36122,36122.0
1774965045.6220562,36206,36206.0
1774965053.214528,36290,36290.0
1774965061.0954864,36374,36374.0
1774965075.7880259,36564,36564.0
1774965085.0870981,36669,36669.0
1774965101.333563,36885,36885.0
1774965114.020768,37037,37037.0
1774965123.4875119,37145,37145.0
1774965136.2406254,37297,37297.0
1774965145.6935601,37408,37408.0
1774965155.2582614,37530,37530.0
1774965167.3881073,37680,37680.0
1774965178.3565204,37808,37808.0
1774965192.4621773,37981,37981.0
1774965201.9066415,38087,38087.0
1774965216.587817,38281,38281.0
1774965226.0390909,38389,38389.0
1774965243.2963266,38607,38607.0
1774965254.201937,38734,38734.0
1774965267.1799407,38888,38888.0
1774965280.2658617,39059,39059.0
1774965291.3938,39182,39182.0
1774965306.070907,39355,39355.0
1774965319.3333447,39507,39507.0
1774965335.2494788,39703,39703.0
1774965341.842149,39783,39783.0
1774965354.729139,39935,39935.0
1774965364.2661211,40043,40043.0
1774965375.3348827,40169,40169.0
1774965386.0233717,40295,40295.0
1774965392.5466409,40375,40375.0
1774965405.0805185,40523,40523.0
1774965415.5630324,40648,40648.0
1774965428.3553941,40800,40800.0
1774965437.2415679,40904,40904.0
1774965446.9748735,41028,41028.0
1774965461.0697732,41199,41199.0
1774965471.495035,41324,41324.0
1774965483.7124014,41476,41476.0
1774965491.6847792,41556,41556.0
1774965498.5032427,41640,41640.0
1774965508.9600859,41766,41766.0
1774965524.974546,41961,41961.0
1774965539.248705,42129,42129.0
1774965547.0204537,42211,42211.0
1774965555.6925619,42321,42321.0
1774965568.6202588,42470,42470.0
1774965579.704823,42595,42595.0
1774965590.2911036,42717,42717.0
1774965597.4579883,42798,42798.0
1774965603.994393,42878,42878.0
1774965613.5024989,42988,42988.0
1774965628.9444413,43183,43183.0
1774965636.7169433,43267,43267.0
1774965650.2410648,43433,43433.0
1774965656.995919,43516,43516.0
1774965668.2174091,43640,43640.0
1774965676.2401977,43722,43722.0
1774965686.6024942,43844,43844.0
1774965694.7915204,43924,43924.0
1774965703.2977316,44031,44031.0
1774965716.7797744,44198,44198.0
1774965731.1181784,44368,44368.0
1774965744.0981524,44521,44521.0
1774965751.807983,44605,44605.0
1774965766.5194507,44799,44799.0
1774965781.3129578,44978,44978.0
1774965788.906378,45062,45062.0
1774965796.7452712,45144,45144.0
1774965813.9796674,45364,45364.0
1774965825.5158246,45514,45514.0
1774965838.8204477,45678,45678.0
1774965846.8590908,45762,45762.0
1774965859.1600664,45912,45912.0
1774965871.9182336,46060,46060.0
1774965881.7624583,46186,46186.0
1774965891.1761618,46294,46294.0
1774965899.2547338,46376,46376.0
1774965907.2004213,46456,46456.0
1774965917.5624974,46583,46583.0
1774965924.2168167,46664,46664.0
1774965935.1192005,46788,46788.0
1774965960.156611,47112,47112.0
1774965971.1294005,47236,47236.0
1774965985.4261177,47407,47407.0
1774966000.030367,47599,47599.0
1774966007.843418,47681,47681.0
1774966015.3919678,47765,47765.0
1774966032.7559612,47980,47980.0
1774966045.3130825,48132,48132.0
1774966060.0235462,48326,48326.0
1774966067.6779177,48406,48406.0
1774966075.3318963,48488,48488.0
1774966092.2449677,48703,48703.0
1774966103.234377,48825,48825.0
1774966111.9624848,48935,48935.0
1774966124.736533,49087,49087.0
1774966135.4059997,49211,49211.0
