Wall_time,Step,Value
1777035539.7252924,126,4.0
1777035554.3066301,301,8.0
1777035565.2398727,423,12.0
1777035573.2112293,507,16.0
1777035585.2241848,656,20.0
1777035591.9251034,733,24.0
1777035602.0926764,856,28.0
1777035615.056882,1005,32.0
1777035622.8817933,1089,36.0
1777035637.4725106,1262,40.0
1777035644.625871,1346,44.0
1777035652.2286932,1424,48.0
1777035661.8176582,1528,52.0
1777035669.2431695,1606,56.0
1777035678.5667446,1713,60.0
1777035685.7158825,1796,64.0
1777035694.721084,1899,68.0
1777035707.329024,2051,72.0
1777035718.047059,2173,76.0
1777035729.0124593,2299,80.0
1777035746.0937216,2521,84.0
1777035755.7857707,2631,88.0
1777035771.0086384,2818,92.0
1777035778.613074,2899,96.0
1777035788.8418157,3020,100.0
1777035795.739614,3100,104.0
1777035806.975168,3225,108.0
1777035819.3978152,3375,112.0
1777035826.628261,3452,116.0
1777035838.669121,3596,120.0
1777035845.4057453,3674,124.0
1777035856.0910604,3797,128.0
1777035872.0640833,3987,132.0
1777035882.7906609,4111,136.0
1777035889.8430915,4189,140.0
1777035904.6955504,4380,144.0
1777035921.060214,4577,148.0
1777035928.9341574,4657,152.0
1777035936.368979,4737,156.0
1777035953.0011873,4944,160.0
1777035961.395871,5045,164.0
1777035981.5885506,5291,168.0
1777035996.9598844,5481,172.0
1777036011.2531083,5654,176.0
1777036022.257353,5780,180.0
1777036032.171229,5902,184.0
1777036049.4880025,6113,188.0
1777036063.0366123,6283,192.0
1777036073.3042629,6405,196.0
1777036085.835473,6554,200.0
1777036097.3881335,6699,204.0
1777036105.116193,6780,208.0
1777036113.4058127,6864,212.0
1777036125.5673163,7012,216.0
1777036133.8010242,7093,220.0
1777036140.9811301,7177,224.0
1777036154.0595562,7328,228.0
1777036167.0076294,7478,232.0
1777036179.0825496,7626,236.0
1777036186.6751032,7707,240.0
1777036195.5794547,7815,244.0
1777036206.9545045,7941,248.0
1777036216.278731,8050,252.0
1777036228.7086856,8196,256.0
1777036235.7323549,8273,260.0
1777036242.6703172,8354,264.0
1777036249.862391,8431,268.0
1777036258.7596207,8537,272.0
1777036275.5484087,8752,276.0
1777036290.9618459,8946,280.0
1777036302.8692534,9097,284.0
1777036314.0277412,9222,288.0
1777036322.549398,9306,292.0
1777036337.9182057,9496,296.0
1777036345.2255208,9578,300.0
1777036355.414617,9704,304.0
1777036363.571511,9788,308.0
1777036374.040284,9912,312.0
1777036389.6356273,10105,316.0
1777036400.4006083,10233,320.0
1777036407.5028293,10316,324.0
1777036415.2867143,10397,328.0
1777036427.226097,10543,332.0
1777036436.9321837,10646,336.0
1777036444.2482855,10724,340.0
1777036454.2049851,10847,344.0
1777036464.8588688,10966,348.0
1777036472.5558,11046,352.0
1777036480.1476648,11130,356.0
1777036491.0431817,11255,360.0
1777036497.9582543,11336,364.0
1777036508.573587,11457,368.0
1777036519.7622516,11579,372.0
1777036527.9731658,11663,376.0
1777036539.8586822,11806,380.0
1777036549.8001213,11929,384.0
1777036557.265145,12012,388.0
1777036569.5542028,12160,392.0
1777036581.7133212,12307,396.0
1777036591.861641,12427,400.0
1777036598.5804574,12505,404.0
1777036606.0354686,12582,408.0
1777036618.360806,12729,412.0
1777036637.0315368,12965,416.0
1777036644.7654357,13045,420.0
1777036654.8958404,13171,424.0
1777036670.5879478,13367,428.0
1777036678.1038654,13448,432.0
1777036689.1106036,13579,436.0
1777036698.8150234,13686,440.0
1777036710.3958752,13831,444.0
1777036722.3056152,13979,448.0
1777036729.9285007,14057,452.0
1777036737.4482203,14141,456.0
1777036745.0135164,14224,460.0
1777036751.9239497,14305,464.0
1777036764.4793658,14453,468.0
1777036772.489743,14534,472.0
1777036787.8368366,14723,476.0
1777036800.6034021,14870,480.0
1777036818.7327943,15106,484.0
1777036826.1623712,15186,488.0
1777036843.3504329,15401,492.0
1777036851.0647974,15485,496.0
1777036861.8386655,15605,500.0
1777036870.38731,15709,504.0
1777036880.9477484,15834,508.0
1777036892.3940904,15966,512.0
1777036902.8470645,16088,516.0
1777036910.4993365,16172,520.0
1777036922.0587134,16316,524.0
1777036932.9557679,16442,528.0
1777036946.4761999,16609,532.0
1777036956.5283587,16729,536.0
1777036966.4330826,16835,540.0
1777036978.1859963,16983,544.0
1777036990.6120636,17128,548.0
1777036998.2912593,17212,552.0
1777037008.9534957,17335,556.0
1777037019.797148,17460,560.0
1777037026.6699874,17540,564.0
1777037041.1323938,17714,568.0
1777037054.8479316,17881,572.0
1777037067.686691,18033,576.0
1777037075.4891164,18114,580.0
1777037082.1803398,18192,584.0
1777037092.8341792,18315,588.0
1777037105.8270755,18477,592.0
1777037113.1056747,18558,596.0
1777037120.5124943,18636,600.0
1777037127.437519,18716,604.0
1777037139.5249379,18861,608.0
1777037147.499263,18942,612.0
1777037155.1853497,19025,616.0
1777037167.584139,19177,620.0
1777037174.4571805,19257,624.0
1777037194.1436265,19499,628.0
1777037204.4540374,19623,632.0
1777037215.3982337,19747,636.0
1777037226.193363,19870,640.0
1777037232.8846402,19948,644.0
1777037241.9988058,20051,648.0
1777037262.3187144,20311,652.0
1777037282.4721582,20562,656.0
1777037293.1647654,20681,660.0
1777037303.3034549,20807,664.0
1777037311.0706575,20888,668.0
1777037319.0119977,20965,672.0
1777037326.300675,21045,676.0
1777037335.4060915,21151,680.0
1777037342.1368527,21229,684.0
1777037352.8049037,21352,688.0
1777037365.4128637,21500,692.0
1777037376.1966753,21623,696.0
1777037391.1416676,21802,700.0
1777037399.6362402,21905,704.0
1777037407.579668,21986,708.0
1777037419.395227,22131,712.0
1777037432.6688826,22283,716.0
1777037446.5669777,22455,720.0
1777037453.5134416,22536,724.0
