Wall time,Step,Value
1781071073.4453254,136,895.0
1781071073.5421762,301,1209.0
1781071073.6392515,464,1341.0
1781071073.718932,607,1425.0
1781071073.7736714,697,1450.0
1781071073.848001,833,1501.0
1781071073.9195971,953,1522.0
1781071074.0234184,1045,1431.0
1781071074.0811224,1133,1438.0
1781071074.1345866,1221,1451.0
1781071074.250277,1438,1502.0
1781071074.3277614,1574,1521.0
1781071074.4108148,1711,1531.0
1781071074.4662821,1803,1536.0
1781071074.6288588,2096,1569.0
1781071074.683071,2186,1572.0
1781071074.803927,2402,1590.0
1781071074.8598838,2494,1591.0
1781071074.91888,2584,1589.0
1781071074.9733407,2676,1592.0
1781071075.0285726,2768,1595.0
1781071075.08696,2858,1593.0
1781071075.1980608,3042,1597.0
1781071075.3610148,3333,1611.0
1781071075.4702518,3522,1617.0
1781071075.5223894,3614,1621.0
1781071075.5853455,3706,1616.0
1781071075.6563923,3826,1619.0
1781071075.7192101,3918,1615.0
1781071075.7839818,4010,1609.0
1781071075.8413248,4100,1609.0
1781071075.9883015,4340,1610.0
1781071076.1340475,4580,1612.0
1781071076.2505786,4769,1612.0
1781071076.3075578,4857,1611.0
1781071076.3867214,4993,1614.0
1781071076.4499567,5081,1609.0
1781071076.502199,5169,1610.0
1781071076.5789998,5288,1609.0
1781071076.6409378,5380,1607.0
1781071076.717313,5519,1611.0
1781071076.776409,5609,1610.0
1781071076.8325868,5699,1610.0
1781071076.9340713,5866,1611.0
1781071076.9939308,5956,1609.0
1781071077.04637,6048,1611.0
1781071077.1451464,6213,1612.0
1781071077.2031877,6303,1612.0
1781071077.2555492,6389,1612.0
1781071077.358787,6556,1612.0
1781071077.4147797,6648,1613.0
1781071077.5099022,6814,1615.0
1781071077.5695152,6904,1614.0
1781071077.629702,6994,1612.0
1781071077.6879876,7084,1611.0
1781071077.7573647,7201,1613.0
1781071077.8177059,7293,1611.0
1781071077.8795388,7385,1610.0
1781071077.9328773,7475,1611.0
1781071078.0426543,7658,1612.0
1781071078.1969554,7920,1615.0
1781071078.2827413,8056,1614.0
1781071078.3681927,8194,1614.0
1781071078.455105,8335,1614.0
1781071078.5133398,8425,1613.0
1781071078.5634513,8515,1615.0
1781071078.6232944,8605,1614.0
1781071078.7526083,8816,1614.0
1781071078.8724365,9032,1618.0
1781071078.9739792,9196,1618.0
1781071079.0565479,9332,1619.0
1781071079.1118708,9420,1618.0
1781071079.2110438,9583,1619.0
1781071079.33948,9799,1620.0
1781071079.4330676,9965,1623.0
1781071079.4858897,10053,1623.0
1781071079.550625,10145,1621.0
1781071079.6127822,10237,1619.0
1781071079.7680612,10501,1621.0
1781071079.8361733,10619,1622.0
1781071079.920451,10756,1623.0
1781071079.984646,10848,1621.0
1781071080.043545,10940,1620.0
1781071080.1180472,11058,1620.0
1781071080.1930673,11176,1619.0
1781071080.2466364,11266,1620.0
1781071080.3415263,11404,1618.0
1781071080.4267893,11542,1617.0
1781071080.4820004,11634,1618.0
1781071080.539233,11726,1618.0
1781071080.6136487,11862,1620.0
1781071080.6684072,11952,1620.0
1781071080.7224011,12040,1620.0
1781071080.7842736,12132,1619.0
1781071080.855957,12250,1619.0
1781071080.93568,12384,1620.0
1781071080.9900236,12476,1620.0
1781071081.0730343,12617,1621.0
1781071081.129907,12707,1621.0
1781071081.2004352,12825,1621.0
1781071081.2902348,12990,1624.0
1781071081.3628218,13108,1624.0
1781071081.4330988,13228,1625.0
1781071081.5025396,13348,1625.0
1781071081.572775,13468,1626.0
1781071081.6242151,13558,1627.0
1781071081.681222,13646,1626.0
1781071081.802542,13859,1628.0
1781071081.9060144,14044,1630.0
1781071081.979559,14164,1630.0
1781071082.035513,14256,1630.0
1781071082.0951498,14348,1630.0
1781071082.1513085,14440,1630.0
1781071082.2602997,14626,1631.0
1781071082.3908176,14861,1633.0
1781071082.4445362,14951,1633.0
1781071082.5026474,15041,1633.0
1781071082.5606613,15131,1632.0
1781071082.614187,15221,1632.0
1781071082.6692448,15313,1633.0
1781071082.74273,15449,1634.0
1781071082.8301594,15596,1635.0
1781071082.8873508,15688,1635.0
1781071082.9676907,15827,1635.0
1781071083.0271325,15919,1635.0
1781071083.1423101,16107,1635.0
1781071083.2186527,16225,1634.0
1781071083.2816312,16315,1633.0
1781071083.3706532,16451,1632.0
1781071083.4338155,16541,1631.0
1781071083.6310668,16879,1632.0
1781071083.770749,17112,1633.0
1781071083.824719,17202,1633.0
1781071083.9034514,17336,1633.0
1781071083.9633336,17428,1633.0
1781071084.0547612,17595,1635.0
1781071084.2390406,17907,1635.0
1781071084.2945836,17999,1636.0
1781071084.3489347,18089,1636.0
1781071084.4029431,18177,1636.0
1781071084.4830735,18325,1637.0
1781071084.59799,18536,1639.0
1781071084.6517682,18626,1639.0
1781071084.7233863,18746,1640.0
1781071084.779822,18838,1640.0
