step,tag,value,wall_time
25000,eval/mean_ep_length,957.5999755859375,1781071088.8034277
50000,eval/mean_ep_length,638.4000244140625,1781071104.488567
75000,eval/mean_ep_length,614.0,1781071118.8073597
100000,eval/mean_ep_length,1063.199951171875,1781071134.5614924
125000,eval/mean_ep_length,762.0,1781071183.9950464
150000,eval/mean_ep_length,923.2000122070312,1781071236.1087837
175000,eval/mean_ep_length,785.4000244140625,1781071288.2139876
200000,eval/mean_ep_length,859.0,1781071340.7131848
225000,eval/mean_ep_length,996.0,1781071386.3885765
250000,eval/mean_ep_length,1122.199951171875,1781071427.911167
275000,eval/mean_ep_length,1030.5999755859375,1781071474.076025
300000,eval/mean_ep_length,939.2000122070312,1781071529.9622462
325000,eval/mean_ep_length,1516.0,1781071587.6873465
350000,eval/mean_ep_length,1416.199951171875,1781071644.9259217
375000,eval/mean_ep_length,1594.4000244140625,1781071685.9533331
400000,eval/mean_ep_length,1230.0,1781071730.4184508
425000,eval/mean_ep_length,1479.0,1781071788.5709136
450000,eval/mean_ep_length,1629.800048828125,1781071846.2880318
475000,eval/mean_ep_length,1791.199951171875,1781071904.1690392
500000,eval/mean_ep_length,2046.0,1781071960.1178184
525000,eval/mean_ep_length,1490.199951171875,1781072015.7056773
550000,eval/mean_ep_length,1767.5999755859375,1781072072.6895056
575000,eval/mean_ep_length,2250.39990234375,1781072130.519245
600000,eval/mean_ep_length,1793.199951171875,1781072190.9326224
625000,eval/mean_ep_length,2530.800048828125,1781072252.003952
650000,eval/mean_ep_length,2212.199951171875,1781072313.881706
675000,eval/mean_ep_length,2967.60009765625,1781072376.9231026
700000,eval/mean_ep_length,2396.0,1781072440.249329
725000,eval/mean_ep_length,3018.800048828125,1781072501.675028
750000,eval/mean_ep_length,3049.199951171875,1781072550.2732027
775000,eval/mean_ep_length,2960.39990234375,1781072603.751351
800000,eval/mean_ep_length,4029.60009765625,1781072658.4800632
825000,eval/mean_ep_length,3341.800048828125,1781072712.1738293
850000,eval/mean_ep_length,4589.39990234375,1781072780.0111475
875000,eval/mean_ep_length,4539.39990234375,1781072853.2223456
900000,eval/mean_ep_length,4519.39990234375,1781072924.7885675
925000,eval/mean_ep_length,4950.0,1781073000.9716723
950000,eval/mean_ep_length,5600.2001953125,1781073080.32569
975000,eval/mean_ep_length,5326.2001953125,1781073154.8942645
1000000,eval/mean_ep_length,5909.0,1781073233.5286946
1025000,eval/mean_ep_length,5672.2001953125,1781073311.1379557
1050000,eval/mean_ep_length,5841.2001953125,1781073389.4340649
1075000,eval/mean_ep_length,4694.39990234375,1781073467.7738528
1100000,eval/mean_ep_length,6744.7998046875,1781073553.0431466
1125000,eval/mean_ep_length,5423.2001953125,1781073628.7628355
1150000,eval/mean_ep_length,4061.800048828125,1781073701.333504
1175000,eval/mean_ep_length,5527.7998046875,1781073784.5068915
1200000,eval/mean_ep_length,4897.0,1781073857.8154962
1225000,eval/mean_ep_length,5785.2001953125,1781073930.9626145
1250000,eval/mean_ep_length,5614.60009765625,1781074007.99347
1275000,eval/mean_ep_length,6027.7998046875,1781074087.0885987
1300000,eval/mean_ep_length,5495.7998046875,1781074163.790386
1325000,eval/mean_ep_length,5725.7998046875,1781074241.8356156
1350000,eval/mean_ep_length,4762.39990234375,1781074317.6417246
1375000,eval/mean_ep_length,5204.2001953125,1781074394.7059834
1400000,eval/mean_ep_length,5471.2001953125,1781074466.6911538
1425000,eval/mean_ep_length,5659.0,1781074543.9054623
1450000,eval/mean_ep_length,5289.60009765625,1781074621.8663664
1475000,eval/mean_ep_length,6203.60009765625,1781074692.3250432
1500000,eval/mean_ep_length,5254.7998046875,1781074763.7355661
1525000,eval/mean_ep_length,6021.60009765625,1781074843.4676347
1550000,eval/mean_ep_length,5222.7998046875,1781074919.745334
1575000,eval/mean_ep_length,4949.60009765625,1781074998.7077916
1600000,eval/mean_ep_length,5515.39990234375,1781075072.5861442
1625000,eval/mean_ep_length,5830.60009765625,1781075149.930088
1650000,eval/mean_ep_length,6394.60009765625,1781075229.2490964
1675000,eval/mean_ep_length,5993.39990234375,1781075301.0433257
1700000,eval/mean_ep_length,5347.60009765625,1781075378.1687229
1725000,eval/mean_ep_length,4154.7998046875,1781075451.942927
1750000,eval/mean_ep_length,5651.2001953125,1781075526.267014
1775000,eval/mean_ep_length,5928.7998046875,1781075610.3065758
1800000,eval/mean_ep_length,6801.2001953125,1781075696.9357705
1825000,eval/mean_ep_length,4976.0,1781075777.9558792
1850000,eval/mean_ep_length,5897.60009765625,1781075861.4235296
1875000,eval/mean_ep_length,5911.2001953125,1781075945.1358948
1900000,eval/mean_ep_length,5732.39990234375,1781076027.858978
1925000,eval/mean_ep_length,5364.0,1781076100.398012
1950000,eval/mean_ep_length,5958.39990234375,1781076163.0238914
1975000,eval/mean_ep_length,6251.60009765625,1781076242.617498
2000000,eval/mean_ep_length,6438.0,1781076322.5614378
2025000,eval/mean_ep_length,5524.60009765625,1781076400.4138978
2050000,eval/mean_ep_length,6042.39990234375,1781076478.7669206
2075000,eval/mean_ep_length,7213.0,1781076545.7998455
2100000,eval/mean_ep_length,6187.39990234375,1781076617.7636008
2125000,eval/mean_ep_length,6166.0,1781076703.1646354
2150000,eval/mean_ep_length,7148.0,1781076790.531768
2175000,eval/mean_ep_length,5851.7998046875,1781076875.2283974
2200000,eval/mean_ep_length,4556.39990234375,1781076958.2846944
2225000,eval/mean_ep_length,5854.0,1781077043.2945337
2250000,eval/mean_ep_length,6204.60009765625,1781077129.1320736
2275000,eval/mean_ep_length,6310.2001953125,1781077209.1083105
2300000,eval/mean_ep_length,6130.39990234375,1781077280.564578
2325000,eval/mean_ep_length,6047.7998046875,1781077351.0631607
2350000,eval/mean_ep_length,6587.60009765625,1781077430.1651516
2375000,eval/mean_ep_length,5795.7998046875,1781077507.491816
2400000,eval/mean_ep_length,6351.7998046875,1781077586.7270658
2425000,eval/mean_ep_length,5819.2001953125,1781077664.3257263
2450000,eval/mean_ep_length,6903.60009765625,1781077746.5107024
2475000,eval/mean_ep_length,6123.2001953125,1781077824.564232
2500000,eval/mean_ep_length,7058.0,1781077906.2601843
2525000,eval/mean_ep_length,5771.2001953125,1781077983.4885125
2550000,eval/mean_ep_length,5659.0,1781078060.319696
2575000,eval/mean_ep_length,6603.7998046875,1781078139.986705
2600000,eval/mean_ep_length,4478.0,1781078215.187704
2625000,eval/mean_ep_length,6368.7998046875,1781078278.3748693
2650000,eval/mean_ep_length,4640.60009765625,1781078334.9649732
2675000,eval/mean_ep_length,6954.2001953125,1781078399.7478771
2700000,eval/mean_ep_length,4561.0,1781078478.049181
2725000,eval/mean_ep_length,5982.7998046875,1781078563.7741063
2750000,eval/mean_ep_length,6160.7998046875,1781078649.1731908
2775000,eval/mean_ep_length,7060.60009765625,1781078737.7237103
2800000,eval/mean_ep_length,5981.60009765625,1781078825.9698207
2825000,eval/mean_ep_length,5058.2001953125,1781078909.93546
2850000,eval/mean_ep_length,5167.0,1781078985.1916616
2875000,eval/mean_ep_length,6715.0,1781079048.652623
2900000,eval/mean_ep_length,6036.7998046875,1781079110.9828527
2925000,eval/mean_ep_length,6101.39990234375,1781079185.673287
2950000,eval/mean_ep_length,6741.60009765625,1781079253.1838493
2975000,eval/mean_ep_length,6584.0,1781079334.8283484
3000000,eval/mean_ep_length,6973.2001953125,1781079420.37132
3025000,eval/mean_ep_length,5236.39990234375,1781079501.48291
3050000,eval/mean_ep_length,6303.2001953125,1781079586.8945105
3075000,eval/mean_ep_length,5701.0,1781079669.678941
3100000,eval/mean_ep_length,6039.39990234375,1781079753.7972503
3125000,eval/mean_ep_length,5782.7998046875,1781079837.638053
3150000,eval/mean_ep_length,10660.7998046875,1781079933.2815182
3175000,eval/mean_ep_length,5530.0,1781080015.3073971
3200000,eval/mean_ep_length,5775.7998046875,1781080097.7951307
3225000,eval/mean_ep_length,5848.39990234375,1781080177.5050075
3250000,eval/mean_ep_length,7134.2001953125,1781080246.1130679
3275000,eval/mean_ep_length,6391.60009765625,1781080325.1041722
3300000,eval/mean_ep_length,5541.2001953125,1781080406.7597766
3325000,eval/mean_ep_length,6752.0,1781080492.3596792
3350000,eval/mean_ep_length,6386.39990234375,1781080576.7121649
3375000,eval/mean_ep_length,6543.39990234375,1781080662.539412
3400000,eval/mean_ep_length,5937.2001953125,1781080738.128913
3425000,eval/mean_ep_length,6279.2001953125,1781080799.2270882
3450000,eval/mean_ep_length,7075.60009765625,1781080880.0371158
3475000,eval/mean_ep_length,6198.2001953125,1781080957.584182
3500000,eval/mean_ep_length,6276.7998046875,1781081036.6903954
3525000,eval/mean_ep_length,7393.0,1781081117.9253402
3550000,eval/mean_ep_length,7107.0,1781081198.347826
3575000,eval/mean_ep_length,6967.0,1781081277.9128554
3600000,eval/mean_ep_length,6554.2001953125,1781081356.358725
3625000,eval/mean_ep_length,5812.2001953125,1781081432.5467927
3650000,eval/mean_ep_length,6758.39990234375,1781081511.7749093
3675000,eval/mean_ep_length,6065.7998046875,1781081589.8581157
3700000,eval/mean_ep_length,7237.60009765625,1781081670.088743
3725000,eval/mean_ep_length,7211.39990234375,1781081749.0115323
3750000,eval/mean_ep_length,6529.39990234375,1781081826.9948676
3775000,eval/mean_ep_length,7219.60009765625,1781081905.6573942
3800000,eval/mean_ep_length,5829.60009765625,1781081983.506646
3825000,eval/mean_ep_length,6368.2001953125,1781082066.346242
3850000,eval/mean_ep_length,5609.7998046875,1781082148.468364
3875000,eval/mean_ep_length,5240.2001953125,1781082228.5087793
3900000,eval/mean_ep_length,6294.0,1781082311.418228
3925000,eval/mean_ep_length,6066.7998046875,1781082396.3379047
3950000,eval/mean_ep_length,6079.39990234375,1781082478.8214436
3975000,eval/mean_ep_length,6192.2001953125,1781082561.4947681
4000000,eval/mean_ep_length,6064.60009765625,1781082645.0672798
4025000,eval/mean_ep_length,5194.7998046875,1781082725.5305982
4050000,eval/mean_ep_length,5248.60009765625,1781082806.9443707
4075000,eval/mean_ep_length,6050.60009765625,1781082889.280763
4100000,eval/mean_ep_length,6159.60009765625,1781082972.9208155
4125000,eval/mean_ep_length,6662.39990234375,1781083056.3682015
4150000,eval/mean_ep_length,5990.0,1781083138.0932746
4175000,eval/mean_ep_length,3394.800048828125,1781083214.516587
4200000,eval/mean_ep_length,5190.2001953125,1781083293.956115
4225000,eval/mean_ep_length,5626.60009765625,1781083376.2327461
4250000,eval/mean_ep_length,5181.39990234375,1781083455.8442104
4275000,eval/mean_ep_length,6824.7998046875,1781083517.76627
4300000,eval/mean_ep_length,6001.60009765625,1781083592.8019981
4325000,eval/mean_ep_length,6731.60009765625,1781083672.668389
4350000,eval/mean_ep_length,6262.0,1781083751.836318
4375000,eval/mean_ep_length,6233.39990234375,1781083817.5850124
4400000,eval/mean_ep_length,6095.7998046875,1781083892.5698018
4425000,eval/mean_ep_length,6523.60009765625,1781083959.5724773
4450000,eval/mean_ep_length,5754.60009765625,1781084039.0591998
4475000,eval/mean_ep_length,6269.39990234375,1781084122.079983
4500000,eval/mean_ep_length,6618.0,1781084206.386072
4525000,eval/mean_ep_length,4848.39990234375,1781084283.0342448
4550000,eval/mean_ep_length,5832.7998046875,1781084363.2249315
4575000,eval/mean_ep_length,6158.0,1781084441.4914284
4600000,eval/mean_ep_length,6356.7998046875,1781084521.4324393
4625000,eval/mean_ep_length,8704.2001953125,1781084604.748693
4650000,eval/mean_ep_length,6291.2001953125,1781084682.2093713
4675000,eval/mean_ep_length,5696.60009765625,1781084759.780444
4700000,eval/mean_ep_length,6060.39990234375,1781084837.5521207
4725000,eval/mean_ep_length,6168.60009765625,1781084916.0902803
4750000,eval/mean_ep_length,5414.0,1781084993.1185472
4775000,eval/mean_ep_length,4861.60009765625,1781085068.2247472
4800000,eval/mean_ep_length,5673.0,1781085144.606478
4825000,eval/mean_ep_length,5388.2001953125,1781085219.6499703
4850000,eval/mean_ep_length,5979.0,1781085296.8674297
4875000,eval/mean_ep_length,4354.2001953125,1781085372.1100245
4900000,eval/mean_ep_length,6583.0,1781085450.0941224
4925000,eval/mean_ep_length,7415.2001953125,1781085519.839167
4950000,eval/mean_ep_length,5441.2001953125,1781085582.5111916
4975000,eval/mean_ep_length,5749.60009765625,1781085659.951408
5000000,eval/mean_ep_length,5494.60009765625,1781085737.8303146
5025000,eval/mean_ep_length,5768.0,1781085816.3808038
5050000,eval/mean_ep_length,6333.39990234375,1781085895.2597811
5075000,eval/mean_ep_length,6381.7998046875,1781085962.5740535
5100000,eval/mean_ep_length,7242.39990234375,1781086038.1086686
5125000,eval/mean_ep_length,6205.2001953125,1781086120.7136796
5150000,eval/mean_ep_length,6538.39990234375,1781086199.663459
5175000,eval/mean_ep_length,6057.60009765625,1781086265.8853905
5200000,eval/mean_ep_length,4409.39990234375,1781086333.5188062
5225000,eval/mean_ep_length,5624.7998046875,1781086410.6527014
5250000,eval/mean_ep_length,6015.0,1781086487.7445848
5275000,eval/mean_ep_length,6378.39990234375,1781086566.2756586
5300000,eval/mean_ep_length,6610.0,1781086632.166535
5325000,eval/mean_ep_length,4850.0,1781086696.3997707
5350000,eval/mean_ep_length,6262.7998046875,1781086780.008832
5375000,eval/mean_ep_length,6411.39990234375,1781086864.3247378
5400000,eval/mean_ep_length,7000.7998046875,1781086950.6388593
5425000,eval/mean_ep_length,6598.39990234375,1781087033.4921093
5450000,eval/mean_ep_length,6816.2001953125,1781087117.9304667
5475000,eval/mean_ep_length,5934.0,1781087199.417278
5500000,eval/mean_ep_length,6311.39990234375,1781087271.0855782
5525000,eval/mean_ep_length,6905.7998046875,1781087351.7237957
5550000,eval/mean_ep_length,5619.2001953125,1781087429.3219268
5575000,eval/mean_ep_length,7061.0,1781087510.9401162
5600000,eval/mean_ep_length,5815.0,1781087572.3391678
5625000,eval/mean_ep_length,6807.2001953125,1781087657.715884
5650000,eval/mean_ep_length,6911.0,1781087743.8569252
5675000,eval/mean_ep_length,5427.2001953125,1781087824.819229
5700000,eval/mean_ep_length,5323.2001953125,1781087906.2402422
5725000,eval/mean_ep_length,6163.0,1781087989.5004716
5750000,eval/mean_ep_length,6869.39990234375,1781088072.4814534
5775000,eval/mean_ep_length,5207.0,1781088133.581522
5800000,eval/mean_ep_length,6289.0,1781088217.6799664
5825000,eval/mean_ep_length,5987.0,1781088301.2848759
5850000,eval/mean_ep_length,7657.0,1781088383.285021
5875000,eval/mean_ep_length,5300.7998046875,1781088440.87355
5900000,eval/mean_ep_length,7213.0,1781088521.8702703
5925000,eval/mean_ep_length,6557.0,1781088600.4404628
5950000,eval/mean_ep_length,6880.0,1781088679.2940621
5975000,eval/mean_ep_length,7218.2001953125,1781088760.27183
6000000,eval/mean_ep_length,6622.60009765625,1781088838.7789924
6025000,eval/mean_ep_length,6323.7998046875,1781088916.3376522
6050000,eval/mean_ep_length,7517.2001953125,1781088983.779211
6075000,eval/mean_ep_length,1980.800048828125,1781089038.6659353
6100000,eval/mean_ep_length,5911.60009765625,1781089103.9122167
6125000,eval/mean_ep_length,3428.800048828125,1781089167.601348
6150000,eval/mean_ep_length,6722.0,1781089248.4871893
6175000,eval/mean_ep_length,6601.39990234375,1781089327.8200972
6200000,eval/mean_ep_length,7429.60009765625,1781089408.5635536
