#{"t_start": 1781071071.864104, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,683,1.592953
2.0,808,1.70258
3.0,1030,1.836728
0.0,515,1.904434
1.0,697,1.995303
1.0,632,2.080115
0.0,529,2.197864
0.0,523,2.2651
3.0,1023,2.397534
2.0,898,2.51231
0.0,535,2.582644
5.0,1346,2.759166
2.0,900,2.88275
1.0,644,2.963327
0.0,525,3.035179
0.0,537,3.10371
0.0,518,3.175776
1.0,710,3.273698
7.0,1310,3.450258
3.0,1108,3.601353
0.0,515,3.671117
0.0,541,3.747044
1.0,639,3.832601
0.0,533,3.913513
0.0,517,3.9898
4.0,1313,4.179646
5.0,1328,4.364635
0.0,521,4.438038
1.0,698,4.537481
0.0,513,4.608751
1.0,619,4.693799
0.0,534,4.77015
1.0,723,4.866032
0.0,521,4.937746
0.0,511,5.007424
2.0,820,5.123547
0.0,523,5.194892
2.0,818,5.304846
0.0,494,5.373045
2.0,826,5.48763
0.0,537,5.562823
2.0,829,5.673299
0.0,519,5.745108
0.0,516,5.818304
1.0,628,5.904877
0.0,529,5.98072
0.0,522,6.05063
2.0,890,6.171587
4.0,1214,6.345855
1.0,717,6.446445
2.0,902,6.568837
0.0,536,6.643676
0.0,508,6.71066
1.0,714,6.813054
5.0,1306,6.991085
2.0,804,7.10401
1.0,693,7.205689
0.0,508,7.27169
5.0,1331,7.458174
2.0,814,7.563838
0.0,498,7.634502
0.0,532,7.714297
4.0,1205,7.883344
1.0,621,7.965514
1.0,710,8.069451
0.0,542,8.145314
1.0,630,8.231684
1.0,646,8.322193
1.0,720,8.424103
1.0,724,8.531318
0.0,539,8.599991
0.0,515,8.668274
1.0,717,8.761778
0.0,498,8.826303
0.0,528,8.898517
1.0,639,8.984885
1.0,705,9.083338
0.0,520,9.1499
1.0,704,9.245306
1.0,636,9.330811
2.0,810,9.437427
2.0,749,9.537603
1.0,643,9.619902
1.0,641,9.702446
0.0,527,9.771277
0.0,504,9.843328
4.0,1200,9.999269
2.0,812,10.109448
0.0,528,10.184289
0.0,519,10.255384
2.0,917,10.374426
3.0,1108,10.52052
0.0,519,10.59192
0.0,516,10.664897
0.0,520,10.732437
0.0,517,10.798755
1.0,709,10.890431
2.0,736,10.990409
1.0,720,11.085075
0.0,528,11.15662
3.0,1021,11.308921
0.0,516,11.380179
1.0,716,11.483325
0.0,528,11.563611
21.0,1955,11.840819
1.0,643,11.929802
1.0,695,12.019681
0.0,517,12.09397
3.0,1016,12.228298
4.0,1214,12.398867
0.0,524,12.466892
0.0,510,12.532823
3.0,942,12.653089
2.0,826,12.757531
1.0,637,12.839531
0.0,521,12.909227
3.0,941,13.030316
0.0,536,13.103899
7.0,1718,13.333154
0.0,522,13.402153
0.0,519,13.47072
3.0,935,13.596811
0.0,509,13.668967
3.0,950,13.795433
3.0,1013,13.926208
1.0,713,14.019559
4.0,1210,14.180859
0.0,523,14.251897
0.0,537,14.32971
2.0,880,14.453784
0.0,516,14.527302
1.0,719,13.755694
0.0,520,13.83446
3.0,950,13.97312
2.0,900,14.093353
2.0,814,14.203545
1.0,618,14.287515
0.0,513,14.362451
0.0,521,14.441823
0.0,513,14.526526
2.0,822,14.646224
3.0,1020,14.788863
2.0,813,14.905498
1.0,705,15.002404
1.0,704,15.102689
3.0,1115,15.263642
0.0,524,15.339577
0.0,499,15.413521
1.0,627,15.506224
0.0,532,15.582755
2.0,840,15.702574
1.0,688,15.796086
2.0,818,17.06409
2.0,802,17.171434
1.0,636,17.263855
0.0,523,17.342337
4.0,1160,17.50114
3.0,942,17.623853
0.0,527,17.692677
0.0,518,17.762385
2.0,822,17.879903
1.0,694,17.981528
1.0,627,18.068203
0.0,517,18.147072
2.0,896,18.271629
5.0,1318,18.465502
0.0,533,18.546439
5.0,1412,18.746355
2.0,901,18.87041
1.0,619,18.962126
4.0,1209,19.129603
2.0,826,19.242849
3.0,1002,19.412523
5.0,1234,19.607737
5.0,1406,19.818714
3.0,1096,19.983061
0.0,511,20.06459
0.0,529,20.14749
1.0,631,20.242516
1.0,728,20.344873
0.0,523,20.426001
2.0,826,20.550612
0.0,520,20.630986
4.0,1212,20.811518
5.0,1407,21.003846
0.0,507,21.071373
9.0,1536,21.287897
1.0,717,21.385196
2.0,897,21.50263
2.0,817,21.612909
1.0,702,21.713124
2.0,821,21.819564
3.0,1016,21.962279
2.0,912,22.091533
1.0,721,22.186129
1.0,612,22.27048
1.0,714,22.363304
2.0,907,22.488819
1.0,631,22.570149
3.0,949,22.700853
2.0,841,22.811224
0.0,529,22.882402
2.0,826,22.990735
1.0,716,23.091467
0.0,535,23.162594
1.0,647,23.245778
0.0,529,23.318699
6.0,1442,23.505317
7.0,1340,23.691494
2.0,784,23.79907
0.0,532,23.869429
1.0,627,23.957103
2.0,818,24.064319
0.0,510,24.13276
0.0,531,24.201259
1.0,632,24.290979
3.0,986,24.419797
0.0,537,24.490045
1.0,645,24.578345
3.0,967,24.708997
1.0,714,24.805069
3.0,1078,24.946844
2.0,735,25.044084
0.0,517,25.114527
0.0,543,25.184397
3.0,939,25.308034
0.0,523,25.3744
2.0,731,25.470754
2.0,809,25.584898
1.0,692,25.677479
0.0,533,25.753359
3.0,1082,25.902586
1.0,637,25.99496
0.0,533,26.069744
1.0,727,26.174357
4.0,1204,26.336221
6.0,1573,26.548838
2.0,928,26.67227
2.0,837,26.791669
0.0,535,26.861521
0.0,535,26.931839
2.0,908,27.054417
1.0,704,27.152375
0.0,511,27.22484
0.0,517,27.299405
2.0,811,27.413441
3.0,1028,27.554252
0.0,513,27.630885
1.0,622,27.722818
2.0,823,27.831752
0.0,539,27.901669
0.0,519,27.972888
0.0,532,28.043599
2.0,886,28.169962
3.0,1004,28.303813
1.0,655,28.399694
6.0,1293,28.576381
0.0,528,28.649791
1.0,648,28.743493
1.0,714,28.845287
1.0,629,28.933585
0.0,524,29.010611
2.0,901,29.137175
3.0,1112,29.279627
2.0,822,29.391515
2.0,822,29.501274
2.0,834,29.619988
0.0,513,29.690644
2.0,905,29.812762
0.0,515,29.887888
2.0,907,30.012307
0.0,525,30.082275
2.0,817,30.199404
0.0,508,30.272885
1.0,706,30.367358
0.0,520,30.44085
0.0,515,30.514964
4.0,1198,30.676736
2.0,814,30.790721
0.0,495,30.861826
0.0,532,30.935121
0.0,493,31.008061
2.0,888,31.128794
1.0,711,31.221778
0.0,508,31.288319
0.0,520,31.35583
0.0,507,31.42179
0.0,514,31.487747
1.0,707,31.578498
2.0,810,31.683543
0.0,514,31.752552
0.0,511,31.821213
3.0,1106,31.97413
1.0,699,32.065386
2.0,799,32.629308
0.0,530,32.696626
0.0,537,32.767946
1.0,708,32.859028
0.0,527,32.930961
1.0,716,33.021564
2.0,813,33.131906
0.0,525,33.204229
0.0,520,33.276367
0.0,533,33.349219
0.0,512,33.415128
0.0,509,33.486782
2.0,888,33.60146
8.0,1509,33.796382
1.0,708,33.897326
0.0,509,33.962097
3.0,947,34.09009
3.0,947,34.213358
0.0,533,34.289336
3.0,1106,34.429945
0.0,517,34.496481
0.0,527,34.563671
5.0,1400,34.742704
0.0,516,34.809254
2.0,826,34.918486
0.0,512,34.985456
2.0,920,35.103436
1.0,705,35.193808
0.0,516,35.26045
3.0,1016,35.388958
8.0,1430,35.578543
2.0,828,35.685376
0.0,521,35.752721
1.0,653,35.835295
0.0,521,35.903065
3.0,1086,36.043721
0.0,541,36.113436
0.0,531,36.182383
2.0,906,36.299337
1.0,663,36.385845
0.0,520,36.454381
0.0,509,36.52127
0.0,508,36.590496
1.0,633,36.678552
0.0,528,36.74727
3.0,1104,36.887311
1.0,628,36.968272
0.0,533,37.036809
1.0,700,37.129989
3.0,1008,37.26562
1.0,626,37.353245
0.0,529,37.420977
0.0,533,37.494279
0.0,533,37.566849
2.0,898,37.68947
5.0,1434,37.886324
2.0,802,37.990779
3.0,984,38.123258
0.0,525,38.198318
1.0,706,38.299574
1.0,696,38.3963
3.0,950,38.530134
1.0,715,38.625849
2.0,760,38.733105
0.0,517,38.801353
0.0,520,38.87458
3.0,1000,39.008843
2.0,806,39.122235
2.0,822,39.228206
0.0,514,39.295013
1.0,649,39.390643
1.0,647,39.479727
2.0,830,39.587051
0.0,514,39.659039
0.0,508,39.734881
3.0,1089,39.874513
3.0,1092,40.018844
0.0,516,40.091849
3.0,1028,40.227129
0.0,515,40.299143
5.0,1331,40.480463
2.0,739,40.574152
0.0,516,40.648969
1.0,697,40.748153
2.0,891,40.872721
0.0,501,40.942713
1.0,707,41.043129
1.0,640,41.127747
0.0,528,41.197639
7.0,1738,41.430496
0.0,512,41.499553
1.0,640,41.582663
1.0,637,41.667132
0.0,516,41.739582
0.0,513,41.809867
0.0,519,41.883552
