Wall time,Step,Value
1777036628.7772474,136,0.0
1777036640.644421,301,1.0
1777036652.452079,464,2.0
1777036662.8532844,607,3.0
1777036669.6798174,697,3.0
1777036679.548099,833,3.0
1777036688.3522813,953,3.0
1777036695.6842294,1045,3.0
1777036702.7122762,1133,3.0
1777036709.450881,1221,3.0
1777036724.7044055,1438,3.0
1777036734.804235,1574,3.0
1777036745.14434,1711,3.0
1777036752.4443445,1803,3.0
1777036772.872313,2096,5.0
1777036779.6724336,2186,5.0
1777036795.0853176,2402,5.0
1777036802.2280421,2494,5.0
1777036809.3439076,2584,5.0
1777036816.3723774,2676,5.0
1777036823.3043804,2768,5.0
1777036830.1962602,2858,5.0
1777036843.2122593,3042,5.0
1777036863.6558022,3333,7.0
1777036877.0118117,3522,7.0
1777036883.9477868,3614,7.0
1777036891.239695,3706,7.0
1777036900.171769,3826,7.0
1777036907.3318114,3918,7.0
1777036914.3653617,4010,7.0
1777036921.1639113,4100,7.0
1777036938.1397426,4340,7.0
1777036955.234266,4580,7.0
1777036968.9239573,4769,7.0
1777036975.6718047,4857,7.0
1777036985.5397267,4993,7.0
1777036992.5067003,5081,7.0
1777036999.1703079,5169,7.0
1777037008.139813,5288,7.0
1777037015.3399854,5380,7.0
1777037025.4079003,5519,7.0
1777037032.4841373,5609,7.0
1777037039.2999377,5699,7.0
1777037051.2236063,5866,7.0
1777037058.1077209,5956,7.0
1777037065.0398567,6048,7.0
1777037077.083835,6213,7.0
1777037083.8158193,6303,7.0
1777037090.5077055,6389,7.0
1777037102.7435281,6556,7.0
1777037109.6675625,6648,7.0
1777037121.7743952,6814,7.0
1777037128.8348436,6904,7.0
1777037135.7145522,6994,7.0
1777037142.6649666,7084,7.0
1777037151.252351,7201,7.0
1777037158.3517148,7293,7.0
1777037165.474943,7385,7.0
1777037172.3596256,7475,7.0
1777037185.6275742,7658,7.0
1777037203.8835037,7920,7.0
1777037214.1115851,8056,7.0
1777037224.1592016,8194,7.0
1777037234.75164,8335,7.0
1777037241.6196482,8425,7.0
1777037248.4197538,8515,7.0
1777037255.3956685,8605,7.0
1777037270.2718308,8816,7.0
1777037285.4194143,9032,7.0
1777037297.1113784,9196,7.0
1777037306.979573,9332,7.0
1777037313.8352957,9420,7.0
1777037325.9031541,9583,7.0
1777037341.0636163,9799,7.0
1777037352.8713658,9965,7.0
1777037359.5388958,10053,7.0
1777037366.6868947,10145,7.0
1777037373.5688353,10237,7.0
1777037391.9389086,10501,7.0
1777037400.7870033,10619,7.0
1777037410.7228653,10756,7.0
1777037418.0319338,10848,7.0
1777037425.0466821,10940,7.0
1777037434.1227312,11058,7.0
1777037443.1708286,11176,7.0
1777037449.9707706,11266,7.0
1777037460.3512795,11404,7.0
