step,value,wall_time
215,703.0,1766320145.8654459
294,575.5,1766320160.356541
411,585.6666870117188,1766320181.9055476
485,549.75,1766320196.3154106
561,549.75,1766320210.1090183
634,530.2000122070312,1766320225.181151
779,517.5,1766320250.6662362
909,547.4285888671875,1766320273.1384072
1013,574.875,1766320292.7068837
1088,574.875,1766320306.4304888
1208,561.6666870117188,1766320328.1112459
1312,568.2000122070312,1766320347.1809433
1390,567.4545288085938,1766320363.1111531
1505,572.25,1766320383.9056244
1692,572.25,1766320414.7546904
1795,597.2307739257812,1766320433.1282563
1872,594.2142944335938,1766320447.4656112
1975,590.7333374023438,1766320467.0277104
2051,582.9375,1766320481.5615819
2123,582.9375,1766320494.7161186
2238,574.058837890625,1766320515.6713176
2318,576.0555419921875,1766320531.3775542
2479,569.9473876953125,1766320559.0543847
2581,585.7000122070312,1766320577.0438342
2657,585.7000122070312,1766320590.8342524
2765,578.6666870117188,1766320610.8562942
2988,598.5,1766320648.663056
3108,599.478271484375,1766320669.9131253
3269,614.5833129882812,1766320698.2144163
3429,614.5833129882812,1766320724.934443
3549,621.760009765625,1766320746.6531255
3625,622.076904296875,1766320761.5085084
3765,625.2963256835938,1766320785.8032947
3951,634.5714111328125,1766320817.6344118
4018,634.5714111328125,1766320830.0247293
4122,627.0344848632812,1766320848.9906282
4393,643.7999877929688,1766320893.3599331
4473,644.741943359375,1766320908.1294708
4683,655.46875,1766320943.532518
4788,655.46875,1766320961.61202
4868,652.6060791015625,1766320977.7082727
4945,647.6470336914062,1766320991.9238071
5063,646.1714477539062,1766321012.5826652
5192,646.4166870117188,1766321035.2432609
5333,646.4166870117188,1766321058.9723518
5440,651.3783569335938,1766321078.6132042
5581,653.1842041015625,1766321103.5051782
5654,647.7179565429688,1766321117.6584697
5730,642.8250122070312,1766321133.1849992
5887,642.8250122070312,1766321159.451193
6029,646.268310546875,1766321184.5052068
6108,648.1190185546875,1766321199.7332213
6185,643.8372192382812,1766321213.8221483
6262,639.3181762695312,1766321229.2202022
6341,639.3181762695312,1766321243.444772
6468,635.5111083984375,1766321265.2934077
6701,643.6956787109375,1766321303.958014
6776,645.1063842773438,1766321317.9544346
6851,640.3541870117188,1766321332.3543746
7077,640.3541870117188,1766321369.1784904
7154,648.3265380859375,1766321384.2987688
7410,658.97998046875,1766321426.9433796
7485,654.9019775390625,1766321441.5641565
7646,657.423095703125,1766321469.4483075
7806,657.423095703125,1766321496.1671216
7951,664.9056396484375,1766321521.0733993
8030,661.2036743164062,1766321536.667985
8131,659.3818359375,1766321555.4186032
8210,655.9821166992188,1766321570.5844283
8392,655.9821166992188,1766321600.7642837
8496,659.6666870117188,1766321619.695917
8597,659.6896362304688,1766321638.980716
8667,656.2373046875,1766321652.5704136
8807,656.6666870117188,1766321677.0865936
8972,656.6666870117188,1766321704.508979
9052,659.11474609375,1766321719.6801836
9126,655.725830078125,1766321734.1073442
9269,656.4444580078125,1766321759.0509439
9411,657.1875,1766321784.031712
9555,657.1875,1766321808.2935677
9634,658.1692504882812,1766321824.098652
9752,657.7879028320312,1766321845.364788
9829,654.8656616210938,1766321859.8624992
9949,654.36767578125,1766321881.9081538
10050,654.36767578125,1766321899.5613995
10254,653.0289916992188,1766321934.2015228
10413,659.7857055664062,1766321961.6659224
10628,666.8450927734375,1766321997.0549605
10733,665.375,1766322016.7940626
10875,665.375,1766322040.7105758
10955,666.1643676757812,1766322056.2935407
11029,663.3783569335938,1766322069.9557488
11255,666.2133178710938,1766322106.8280432
11334,665.48681640625,1766322122.212342
11452,665.48681640625,1766322142.4264433
11532,664.93505859375,1766322158.064155
11674,662.4359130859375,1766322183.2173693
11749,663.0379638671875,1766322198.308109
11864,662.3875122070312,1766322219.3512094
12003,662.3875122070312,1766322242.8080878
12077,662.888916015625,1766322257.0441375
12155,660.0975341796875,1766322271.9463215
12282,660.0963745117188,1766322294.3653073
12356,657.3928833007812,1766322309.3283002
12472,657.3928833007812,1766322329.2387857
12589,658.9293823242188,1766322350.435733
12707,658.3255615234375,1766322372.089416
12810,657.3677978515625,1766322390.5720458
12955,658.125,1766322416.5472226
13056,658.125,1766322434.2471626
13135,657.05615234375,1766322449.6458385
13293,656.6777954101562,1766322477.4162507
13397,656.4285888671875,1766322496.9973764
13477,655.521728515625,1766322511.9528282
13596,655.521728515625,1766322532.3660393
13763,656.2042846679688,1766322560.7289565
13882,658.5531616210938,1766322582.4764197
14068,661.010498046875,1766322614.3813007
14145,659.03125,1766322628.8355062
14264,659.03125,1766322649.1690793
14342,658.5670166015625,1766322664.202898
14419,656.5,1766322679.6150403
14617,654.5050659179688,1766322713.329725
14733,659.1599731445312,1766322734.7587578
14809,659.1599731445312,1766322748.5684881
14887,656.7100219726562,1766322763.977193
15052,659.3599853515625,1766322793.2731807
15168,658.8599853515625,1766322814.6656663
15311,663.3400268554688,1766322840.2324553
15495,663.3400268554688,1766322870.585932
15570,667.72998046875,1766322886.0868626
15649,667.8099975585938,1766322901.3491905
15725,665.010009765625,1766322915.709065
15838,663.25,1766322936.6570356
15915,663.25,1766322950.5774267
15993,663.3699951171875,1766322964.4856389
16222,663.1699829101562,1766323002.866457
16361,669.1199951171875,1766323027.1588497
16476,668.8499755859375,1766323048.3197587
16554,668.8499755859375,1766323062.4332693
16630,664.5,1766323077.402187
16707,663.5399780273438,1766323092.4485166
16867,664.3900146484375,1766323120.2742226
16986,667.5900268554688,1766323141.8124168
17125,667.5900268554688,1766323165.3202634
17412,670.4600219726562,1766323212.983368
17512,677.3200073242188,1766323230.7919674
17670,681.4099731445312,1766323257.7823436
17812,679.6400146484375,1766323283.4783154
17952,679.6400146484375,1766323307.1115253
18049,683.3300170898438,1766323324.6528096
18152,677.5800170898438,1766323344.2813673
18269,678.6400146484375,1766323365.3529537
18369,674.5499877929688,1766323383.7274916
18445,674.5499877929688,1766323397.600456
18547,671.0999755859375,1766323416.7971883
18622,670.3699951171875,1766323431.5897927
18725,667.8599853515625,1766323451.3351786
18802,664.6799926757812,1766323466.2265108
18962,664.6799926757812,1766323492.845257
19131,668.3300170898438,1766323521.892531
19272,665.3099975585938,1766323545.6963425
19351,665.6400146484375,1766323561.421373
19532,664.5800170898438,1766323592.5194988
19608,664.5800170898438,1766323606.3402264
19806,666.8200073242188,1766323639.5953803
19908,668.989990234375,1766323658.4128704
20062,669.0700073242188,1766323685.1812265
20139,668.719970703125,1766323699.6453588
20217,668.719970703125,1766323713.7506251
20364,664.9600219726562,1766323739.9751172
20441,665.1199951171875,1766323754.7529733
20558,666.8200073242188,1766323775.2162213
20661,667.8099975585938,1766323793.809936
20789,667.8099975585938,1766323815.6255822
20866,666.3400268554688,1766323830.770634
20945,663.8099975585938,1766323846.102649
21104,665.3499755859375,1766323873.1346097
21247,669.7000122070312,1766323898.9459195
21319,669.7000122070312,1766323912.1626341
21397,669.530029296875,1766323927.3770936
21538,664.0,1766323951.95651
21617,664.0499877929688,1766323966.678626
21694,664.3499755859375,1766323981.6203427
21809,664.3499755859375,1766324001.4223175
21884,660.0900268554688,1766324016.7056177
21957,652.6500244140625,1766324031.2348866
22101,655.4000244140625,1766324055.7854128
22180,652.0700073242188,1766324070.4591348
22284,652.0700073242188,1766324088.5776472
22427,647.010009765625,1766324113.4840071
22609,652.1699829101562,1766324144.8403015
22728,654.469970703125,1766324165.6137094
22911,658.5,1766324196.8719616
23030,658.5,1766324217.3490546
23103,656.02001953125,1766324230.9746623
23206,653.739990234375,1766324250.1244879
23283,654.72998046875,1766324264.057747
23381,653.22998046875,1766324281.94406
23461,653.22998046875,1766324296.3816938
23540,649.8099975585938,1766324310.953543
23618,649.8800048828125,1766324326.039928
23692,647.280029296875,1766324341.209396
23936,651.5599975585938,1766324381.8632944
24011,651.5599975585938,1766324395.4709544
24088,648.8699951171875,1766324411.1030617
24231,647.22998046875,1766324436.4593813
24307,649.77001953125,1766324450.2873828
24386,648.030029296875,1766324465.6880565
24485,648.030029296875,1766324483.0723898
24560,647.7899780273438,1766324497.8037536
24721,642.8200073242188,1766324525.1109014
24799,637.3200073242188,1766324540.8266423
24980,640.530029296875,1766324572.1141076
25181,640.530029296875,1766324605.0467422
25296,642.8900146484375,1766324625.7456417
25375,644.3699951171875,1766324640.5056484
25477,641.0399780273438,1766324658.841258
25553,639.3599853515625,1766324673.8980508
25630,639.3599853515625,1766324687.8059633
25748,637.780029296875,1766324709.3939135
25930,642.5399780273438,1766324740.7244067
26048,642.52001953125,1766324761.1236985
26128,641.0,1766324776.1981878
26267,641.0,1766324799.6724665
26429,644.4600219726562,1766324827.358826
26503,644.4500122070312,1766324841.8213806
26641,644.9000244140625,1766324866.7785878
26714,645.0399780273438,1766324882.193008
26791,645.0399780273438,1766324896.1994092
26950,643.4600219726562,1766324923.55791
27025,643.6400146484375,1766324938.0583503
27248,648.1300048828125,1766324974.946223
27362,646.8800048828125,1766324994.7725809
27510,646.8800048828125,1766325019.6682696
27589,648.6099853515625,1766325034.1962597
27689,647.8599853515625,1766325052.3205376
27766,645.9600219726562,1766325067.228848
27845,644.97998046875,1766325081.4346197
27989,644.97998046875,1766325105.6143434
28068,644.9099731445312,1766325120.970652
28295,642.4199829101562,1766325159.4663894
28368,642.3599853515625,1766325174.3475177
28510,644.8200073242188,1766325200.1170835
28587,644.8200073242188,1766325214.104467
28666,643.3800048828125,1766325229.9724414
28805,646.02001953125,1766325255.1475139
28965,649.4299926757812,1766325282.1891286
29041,642.6300048828125,1766325297.165665
29215,642.6300048828125,1766325325.9633148
29372,648.02001953125,1766325353.313733
29492,647.1599731445312,1766325375.105328
29743,652.22998046875,1766325416.958489
29819,650.5599975585938,1766325432.121845
29895,650.5599975585938,1766325445.9760838
29970,646.2899780273438,1766325460.391574
30087,646.010009765625,1766325481.258028
30221,650.3699951171875,1766325504.8055508
30334,650.0999755859375,1766325525.6784837
30436,650.0999755859375,1766325543.4122105
30513,651.030029296875,1766325557.9641917
30591,649.4000244140625,1766325573.1307495
30730,645.0399780273438,1766325597.783793
30842,645.0499877929688,1766325617.0829582
30957,645.0499877929688,1766325636.8681
31073,646.3900146484375,1766325657.5050838
31214,649.510009765625,1766325681.735278
31358,651.3800048828125,1766325707.3624644
31476,649.739990234375,1766325728.4324782
31544,649.739990234375,1766325741.0295048
31713,646.75,1766325770.422307
31792,642.0900268554688,1766325785.90619
31894,638.0700073242188,1766325804.3774474
32009,638.0399780273438,1766325825.246351
32086,638.0399780273438,1766325839.184719
32201,636.0499877929688,1766325860.3042445
32279,636.3200073242188,1766325874.7658396
32420,633.5499877929688,1766325898.8560197
32539,636.6900024414062,1766325920.7871692
32679,636.6900024414062,1766325944.457807
32910,640.260009765625,1766325983.7039244
33031,646.3400268554688,1766326005.7277389
33190,649.5700073242188,1766326033.3684683
33266,648.489990234375,1766326048.4570189
33342,648.489990234375,1766326062.3723822
33471,645.1400146484375,1766326085.8988283
33543,643.4600219726562,1766326099.6438496
33661,642.510009765625,1766326120.3629258
33736,638.02001953125,1766326134.7631454
33848,638.02001953125,1766326154.082247
34029,635.9600219726562,1766326185.018621
34147,639.3800048828125,1766326205.405667
34265,639.3499755859375,1766326226.2180939
34393,639.6900024414062,1766326249.5535588
34579,639.6900024414062,1766326280.2734916
34736,644.0700073242188,1766326307.5660527
34853,646.1500244140625,1766326328.7566576
35013,646.2000122070312,1766326355.9427667
35112,647.6699829101562,1766326374.4148886
35227,647.6699829101562,1766326394.2221317
35370,647.3699951171875,1766326418.9065363
35501,651.8099975585938,1766326441.7874079
35574,649.9199829101562,1766326456.7057729
35841,653.4199829101562,1766326500.2287307
35942,653.4199829101562,1766326518.0860393
36017,654.280029296875,1766326532.6630626
36134,654.0800170898438,1766326553.2458787
36255,653.0900268554688,1766326574.382587
36394,657.2100219726562,1766326599.3442066
36577,657.2100219726562,1766326629.6849475
36656,660.0800170898438,1766326644.2177894
36732,660.1900024414062,1766326658.4235966
36847,657.2000122070312,1766326679.152778
36946,659.6900024414062,1766326697.2347612
37064,659.6900024414062,1766326717.7193146
37182,660.3800048828125,1766326738.2263894
37342,660.0499877929688,1766326765.6591012
37461,658.1799926757812,1766326786.790867
37536,653.7999877929688,1766326801.5193312
37643,653.7999877929688,1766326820.1607916
37786,654.97998046875,1766326845.736777
37895,656.2100219726562,1766326865.488444
38011,658.0700073242188,1766326886.9182053
38127,658.8900146484375,1766326908.4148147
38335,658.8900146484375,1766326942.491433
38437,664.0399780273438,1766326961.6835394
38578,667.5999755859375,1766326986.3899605
38652,667.7000122070312,1766327000.4476788
38822,664.5499877929688,1766327029.7263923
38901,664.5499877929688,1766327044.1150029
38977,664.7999877929688,1766327059.2071564
39053,664.6900024414062,1766327073.8793008
39170,663.5900268554688,1766327094.0707874
39248,663.5499877929688,1766327109.4641142
39364,663.5499877929688,1766327129.3970895
39469,664.3499755859375,1766327149.0138035
39571,663.72998046875,1766327168.1001258
39647,663.1500244140625,1766327182.8717642
39724,658.9199829101562,1766327197.1565115
39932,658.9199829101562,1766327231.2392888
40032,659.9400024414062,1766327249.0570135
40212,659.7899780273438,1766327279.3867548
40338,663.4600219726562,1766327301.7501755
40541,668.6400146484375,1766327336.0825098
40659,668.6400146484375,1766327356.334715
40820,670.1799926757812,1766327384.1562896
40918,669.469970703125,1766327402.5292892
41092,671.1500244140625,1766327432.5896502
41234,673.3599853515625,1766327456.6280925
41378,673.3599853515625,1766327480.8963993
41455,669.97998046875,1766327496.2822535
41533,670.280029296875,1766327511.595544
41674,667.75,1766327536.6236455
41752,670.530029296875,1766327552.350801
41909,670.530029296875,1766327578.5601592
41983,672.0999755859375,1766327592.8965378
42170,672.8300170898438,1766327624.802323
42243,668.7000122070312,1766327638.7249534
42346,668.22998046875,1766327657.8263288
42475,668.22998046875,1766327679.7001529
42553,667.6199951171875,1766327694.821235
42628,666.5800170898438,1766327708.6430364
42731,667.7000122070312,1766327727.8478823
42830,668.489990234375,1766327745.8885221
42907,668.489990234375,1766327759.8210642
42984,665.7899780273438,1766327774.981367
43102,665.72998046875,1766327795.9911187
43180,661.4000244140625,1766327810.9855082
43298,660.2899780273438,1766327832.035931
43440,660.2899780273438,1766327855.933893
43580,662.6500244140625,1766327880.6963692
43742,664.1099853515625,1766327908.5697923
43864,664.2000122070312,1766327930.028384
43979,665.8699951171875,1766327951.147977
44126,665.8699951171875,1766327975.8056183
44205,663.2999877929688,1766327990.7885146
44280,661.5800170898438,1766328005.517338
44399,657.260009765625,1766328027.3965132
44518,656.3800048828125,1766328048.4374135
44632,656.3800048828125,1766328068.0202243
44736,657.7899780273438,1766328086.6982627
44837,659.030029296875,1766328105.6794858
44937,656.6300048828125,1766328123.7418022
45015,655.5499877929688,1766328138.3985052
45131,655.5499877929688,1766328158.3951447
45207,655.989990234375,1766328172.6772528
45348,658.530029296875,1766328197.2664797
45531,660.1400146484375,1766328228.098907
45647,660.239990234375,1766328249.271247
45827,660.239990234375,1766328279.0144687
45969,662.969970703125,1766328304.2763584
46043,662.260009765625,1766328318.4183707
46161,660.3099975585938,1766328340.0621617
46298,661.1599731445312,1766328364.5474083
46444,661.1599731445312,1766328389.180837
46628,665.9600219726562,1766328420.1293583
46748,666.5499877929688,1766328441.6334972
46824,666.469970703125,1766328455.5760045
46941,665.5,1766328475.70264
47042,665.5,1766328493.3193965
47157,664.72998046875,1766328513.5514638
47232,666.030029296875,1766328528.235867
47416,670.2899780273438,1766328560.4235415
47555,668.8200073242188,1766328584.1497738
47633,668.8200073242188,1766328598.3073237
47886,665.2999877929688,1766328639.8789072
48007,666.8200073242188,1766328661.5698738
48084,663.52001953125,1766328676.9019153
48224,666.0700073242188,1766328701.504646
48300,666.0700073242188,1766328715.3582854
48379,666.0499877929688,1766328730.0845997
48458,664.0499877929688,1766328744.8819418
48534,662.3300170898438,1766328758.8985865
48694,665.72998046875,1766328786.0943344
48768,665.72998046875,1766328799.5553718
48846,664.2899780273438,1766328815.3336399
48920,658.469970703125,1766328830.070192
48996,656.9000244140625,1766328844.6702616
49095,655.8200073242188,1766328862.5548542
49171,655.8200073242188,1766328876.3895588
49247,651.3099975585938,1766328890.8967881
49407,647.9500122070312,1766328919.0845377
49590,652.3200073242188,1766328950.277318
49749,653.239990234375,1766328977.9932463
49828,653.239990234375,1766328992.2412455
49902,651.8200073242188,1766329007.2699003
49978,647.1900024414062,1766329021.1407783
50085,648.8699951171875,1766329040.7937942
50204,642.4299926757812,1766329061.420765
50343,642.4299926757812,1766329084.8716397
50444,645.0499877929688,1766329104.1966546
50511,645.2000122070312,1766329117.722519
50652,645.780029296875,1766329142.4077811
50730,641.760009765625,1766329156.943791
50890,641.760009765625,1766329183.7896862
51009,642.219970703125,1766329205.83136
51126,644.0700073242188,1766329227.0383618
51284,645.969970703125,1766329253.51413
51363,645.0900268554688,1766329268.1020827
51439,645.0900268554688,1766329281.9076397
51557,643.27001953125,1766329302.9260814
51738,643.1799926757812,1766329332.5911603
51817,642.5499877929688,1766329347.3964648
51924,643.9299926757812,1766329367.6580908
51983,643.9299926757812,1766329379.0648267
52059,640.5399780273438,1766329394.6761453
52221,639.5399780273438,1766329423.0062845
52297,640.1900024414062,1766329437.5926714
52372,638.4099731445312,1766329452.1389263
52449,638.4099731445312,1766329466.117466
52525,633.1799926757812,1766329480.2488046
52599,629.4500122070312,1766329494.5630672
52679,629.4000244140625,1766329510.3139043
52754,625.7899780273438,1766329524.1507444
52858,625.7899780273438,1766329542.137369
52935,626.489990234375,1766329556.9529855
53014,626.47998046875,1766329572.301298
53090,625.02001953125,1766329587.1748204
53206,626.8099975585938,1766329608.2998605
53280,626.8099975585938,1766329621.8759224
53354,625.0599975585938,1766329636.2289724
53495,626.3900146484375,1766329660.5903912
53570,625.3099975585938,1766329675.8407912
53713,627.969970703125,1766329700.9503496
53873,627.969970703125,1766329727.7366269
53948,625.280029296875,1766329743.261102
54064,623.8900146484375,1766329764.8588243
54294,627.2000122070312,1766329803.279833
54374,622.3400268554688,1766329818.8124373
54450,622.3400268554688,1766329832.6050413
54527,620.5599975585938,1766329847.6725252
54686,618.02001953125,1766329874.942106
54763,615.3200073242188,1766329889.6689003
54965,618.0999755859375,1766329922.942983
55175,618.0999755859375,1766329957.3416698
55241,620.7899780273438,1766329970.9447486
