step,value,wall_time
140,0.0,1766320132.1780095
215,2.0,1766320145.8655274
294,2.0,1766320160.356621
411,2.0,1766320181.9055896
485,2.0,1766320196.3155053
561,2.0,1766320210.1090996
634,2.0,1766320225.1812315
779,2.0,1766320250.666359
909,2.0,1766320273.138477
1013,3.0,1766320292.7069566
1088,3.0,1766320306.430534
1208,3.0,1766320328.1113074
1312,3.0,1766320347.1810176
1390,3.0,1766320363.1111953
1505,3.0,1766320383.905668
1692,3.0,1766320414.7547615
1795,3.0,1766320433.128307
1872,3.0,1766320447.4657252
1975,3.0,1766320467.027756
2051,3.0,1766320481.5616314
2123,3.0,1766320494.716165
2238,3.0,1766320515.6713974
2318,3.0,1766320531.3776188
2479,3.0,1766320559.0544636
2581,3.0,1766320577.0438757
2657,3.0,1766320590.8343568
2765,3.0,1766320610.856339
2988,4.0,1766320648.663152
3108,4.0,1766320669.9132106
3269,4.0,1766320698.2144575
3429,4.0,1766320724.9345248
3549,4.0,1766320746.6532052
3625,4.0,1766320761.508588
3765,4.0,1766320785.8033412
3951,4.0,1766320817.6344547
4018,4.0,1766320830.0247934
4122,4.0,1766320848.990672
4393,8.0,1766320893.360019
4473,8.0,1766320908.1295543
4683,8.0,1766320943.532562
4788,8.0,1766320961.6120937
4868,8.0,1766320977.708318
4945,8.0,1766320991.9238527
5063,8.0,1766321012.5827448
5192,8.0,1766321035.243341
5333,8.0,1766321058.972424
5440,8.0,1766321078.6132805
5581,8.0,1766321103.5052204
5654,8.0,1766321117.6585572
5730,8.0,1766321133.1850855
5887,8.0,1766321159.4512396
6029,8.0,1766321184.5053139
6108,8.0,1766321199.7333019
6185,8.0,1766321213.8222265
6262,8.0,1766321229.2203372
6341,8.0,1766321243.4448583
6468,8.0,1766321265.2934535
6701,8.0,1766321303.958082
6776,8.0,1766321317.954503
6851,8.0,1766321332.3544202
7077,8.0,1766321369.178573
7154,8.0,1766321384.2988453
7410,8.0,1766321426.9434214
7485,8.0,1766321441.5642357
7646,8.0,1766321469.4483778
7806,8.0,1766321496.1671658
7951,8.0,1766321521.0734699
8030,8.0,1766321536.6680317
8131,8.0,1766321555.4186816
8210,8.0,1766321570.5845125
8392,8.0,1766321600.764327
8496,8.0,1766321619.695963
8597,8.0,1766321638.9807982
8667,8.0,1766321652.5704575
8807,8.0,1766321677.086635
8972,8.0,1766321704.5090504
9052,8.0,1766321719.6802282
9126,8.0,1766321734.107459
9269,8.0,1766321759.0509906
9411,8.0,1766321784.0317526
9555,8.0,1766321808.2936409
9634,8.0,1766321824.0987296
9752,8.0,1766321845.3648672
9829,8.0,1766321859.862586
