step,value,wall_time
140,4.0,1766320132.1780195
215,8.0,1766320145.865546
294,12.0,1766320160.35664
411,16.0,1766320181.905595
485,20.0,1766320196.3155215
561,24.0,1766320210.109118
634,28.0,1766320225.1812506
779,32.0,1766320250.6663673
909,36.0,1766320273.1384926
1013,40.0,1766320292.7069633
1088,44.0,1766320306.430541
1208,48.0,1766320328.111315
1312,52.0,1766320347.1810355
1390,56.0,1766320363.1112018
1505,60.0,1766320383.905676
1692,64.0,1766320414.7547693
1795,68.0,1766320433.128314
1872,72.0,1766320447.4657474
1975,76.0,1766320467.027763
2051,80.0,1766320481.561638
2123,84.0,1766320494.7161725
2238,88.0,1766320515.6714156
2318,92.0,1766320531.3776257
2479,96.0,1766320559.054482
2581,100.0,1766320577.043882
2657,104.0,1766320590.8343644
2765,108.0,1766320610.856346
2988,112.0,1766320648.6631756
3108,116.0,1766320669.913229
3269,120.0,1766320698.2144642
3429,124.0,1766320724.9345431
3549,128.0,1766320746.653224
3625,132.0,1766320761.5086062
3765,136.0,1766320785.8033485
3951,140.0,1766320817.6344614
4018,144.0,1766320830.0248003
4122,148.0,1766320848.9906793
4393,152.0,1766320893.3600376
4473,156.0,1766320908.1295738
4683,160.0,1766320943.5325696
4788,164.0,1766320961.6121097
4868,168.0,1766320977.7083247
4945,172.0,1766320991.9238594
5063,176.0,1766321012.5827627
5192,180.0,1766321035.2433572
5333,184.0,1766321058.9724398
5440,188.0,1766321078.6132963
5581,192.0,1766321103.505227
5654,196.0,1766321117.6585758
5730,200.0,1766321133.1851048
5887,204.0,1766321159.4512472
6029,208.0,1766321184.505354
6108,212.0,1766321199.7333176
6185,216.0,1766321213.8222444
6262,220.0,1766321229.2203557
6341,224.0,1766321243.4448779
6468,228.0,1766321265.2934604
6701,232.0,1766321303.958098
6776,236.0,1766321317.954519
6851,240.0,1766321332.3544278
7077,244.0,1766321369.1785917
7154,248.0,1766321384.2988524
7410,252.0,1766321426.943428
7485,256.0,1766321441.5642538
7646,260.0,1766321469.4483857
