step,value,wall_time
140,25.05888557434082,1766320132.1780276
215,24.876300811767578,1766320145.8655636
294,25.57070541381836,1766320160.3566575
411,21.05759620666504,1766320181.9056
485,25.900819778442383,1766320196.315537
561,25.678791046142578,1766320210.1091356
634,25.442697525024414,1766320225.1812742
779,25.409912109375,1766320250.6663737
909,25.186485290527344,1766320273.1385076
1013,25.70461654663086,1766320292.7069688
1088,25.20730972290039,1766320306.4305482
1208,25.583772659301758,1766320328.1113224
1312,25.515029907226562,1766320347.1810532
1390,21.242918014526367,1766320363.1112084
1505,25.352825164794922,1766320383.9056823
1692,25.620805740356445,1766320414.7547765
1795,25.710811614990234,1766320433.128321
1872,25.316625595092773,1766320447.465769
1975,21.32621955871582,1766320467.027769
2051,25.556121826171875,1766320481.5616446
2123,25.629587173461914,1766320494.7161794
2238,25.935848236083984,1766320515.6714327
2318,25.66535758972168,1766320531.377633
2479,24.80799102783203,1766320559.0544999
2581,25.561691284179688,1766320577.0438888
2657,25.24823570251465,1766320590.8343716
2765,25.8367977142334,1766320610.856353
2988,25.67113494873047,1766320648.6631844
3108,24.85289192199707,1766320669.9132473
3269,25.821352005004883,1766320698.214478
3429,25.654972076416016,1766320724.9345608
3549,25.54469108581543,1766320746.6532414
3625,25.17669105529785,1766320761.508624
3765,22.055601119995117,1766320785.8033555
3951,25.86414909362793,1766320817.6344678
4018,25.706886291503906,1766320830.024807
4122,25.512842178344727,1766320848.990686
4393,25.69268226623535,1766320893.3600554
4473,24.78451919555664,1766320908.1295922
4683,25.936660766601562,1766320943.5325766
4788,25.755956649780273,1766320961.6121256
4868,25.813404083251953,1766320977.7083316
4945,24.97237777709961,1766320991.923866
5063,22.456689834594727,1766321012.5827804
5192,25.77939224243164,1766321035.2433722
5333,26.144067764282227,1766321058.9724555
5440,25.455568313598633,1766321078.6133115
5581,25.47890281677246,1766321103.505234
5654,23.449777603149414,1766321117.658594
5730,25.46463394165039,1766321133.1851237
5887,25.90532684326172,1766321159.4512541
6029,25.382400512695312,1766321184.5053644
6108,25.65394401550293,1766321199.7333326
6185,25.526540756225586,1766321213.822262
6262,25.513071060180664,1766321229.2203646
6341,25.607297897338867,1766321243.444897
6468,25.559476852416992,1766321265.2934678
6701,25.92032814025879,1766321303.9581127
6776,21.36737632751465,1766321317.9545343
6851,25.45273208618164,1766321332.3544383
7077,25.980453491210938,1766321369.1786091
7154,25.44565773010254,1766321384.29886
7410,25.521188735961914,1766321426.9434342
7485,21.14676284790039,1766321441.5642765
7646,25.593700408935547,1766321469.4483926
7806,25.8330078125,1766321496.1671793
7951,25.988924026489258,1766321521.0735013
8030,25.968210220336914,1766321536.6680455
8131,22.489681243896484,1766321555.4187179
8210,25.297780990600586,1766321570.5845504
8392,25.808536529541016,1766321600.7643404
8496,25.74252700805664,1766321619.695976
8597,25.203720092773438,1766321638.9808342
8667,22.625900268554688,1766321652.5704706
8807,25.517976760864258,1766321677.086648
8972,25.951549530029297,1766321704.5090811
9052,25.30907440185547,1766321719.6802425
9126,25.350460052490234,1766321734.1074739
9269,21.06755828857422,1766321759.051004
9411,25.617048263549805,1766321784.0317657
9555,25.950117111206055,1766321808.2936745
9634,25.060239791870117,1766321824.0987659
9752,26.182453155517578,1766321845.3649035
9829,22.894798278808594,1766321859.8626251
9949,25.83962059020996,1766321881.9082131
10050,25.109888076782227,1766321899.5615122
10254,25.988080978393555,1766321934.2016273
10413,26.05999183654785,1766321961.6660469
10628,23.31846809387207,1766321997.055076
10733,25.31940460205078,1766322016.7941215
10875,25.602956771850586,1766322040.7106926
10955,25.105121612548828,1766322056.293642
11029,25.24619483947754,1766322069.95581
11255,25.02173614501953,1766322106.828103
11334,25.81183433532715,1766322122.2124453
11452,25.359638214111328,1766322142.426498
11532,25.612648010253906,1766322158.0642483
11674,25.623600006103516,1766322183.2174292
11749,21.079404830932617,1766322198.3081641
11864,25.334379196166992,1766322219.3512783
12003,25.53534698486328,1766322242.8082075
12077,24.9395751953125,1766322257.0441918
12155,25.320938110351562,1766322271.9464228
12282,21.310379028320312,1766322294.3653681
12356,25.016536712646484,1766322309.3283978
12472,25.88473892211914,1766322329.2388437
12589,25.424978256225586,1766322350.435839
12707,25.131690979003906,1766322372.0894718
12810,24.570499420166016,1766322390.57215
12955,25.15623664855957,1766322416.54731
13056,25.40637969970703,1766322434.2473152
13135,25.37409210205078,1766322449.6459522
13293,25.681922912597656,1766322477.4163141
13397,23.463632583618164,1766322496.9974315
13477,25.605628967285156,1766322511.952886
13596,26.006128311157227,1766322532.3661594
13763,25.346797943115234,1766322560.729013
13882,25.52737808227539,1766322582.4764693
14068,24.178024291992188,1766322614.3814065
14145,25.671245574951172,1766322628.835567
14264,25.691617965698242,1766322649.169134
14342,25.651721954345703,1766322664.203048
14419,25.617250442504883,1766322679.615187
14617,25.549806594848633,1766322713.329825
14733,25.304147720336914,1766322734.7588155
14809,25.64226531982422,1766322748.5686033
14887,25.35961151123047,1766322763.9772544
15052,25.369407653808594,1766322793.2732413
15168,24.117599487304688,1766322814.6658041
15311,25.78594207763672,1766322840.2325537
15495,25.828336715698242,1766322870.5859885
15570,25.017757415771484,1766322886.0869186
15649,25.960588455200195,1766322901.349245
15725,22.247032165527344,1766322915.7091837
15838,25.6251163482666,1766322936.6570914
15915,25.947965621948242,1766322950.5774841
15993,25.650463104248047,1766322964.4857523
16222,24.956388473510742,1766323002.8665125
16361,20.882667541503906,1766323027.158968
16476,25.32373809814453,1766323048.3198516
16554,25.318477630615234,1766323062.4333875
16630,25.396072387695312,1766323077.402291
16707,25.613571166992188,1766323092.4486146
16867,23.976360321044922,1766323120.2743444
16986,25.735069274902344,1766323141.812492
17125,25.878690719604492,1766323165.3203235
17412,24.850828170776367,1766323212.9834185
17512,25.01150894165039,1766323230.7920768
17670,22.958003997802734,1766323257.7824638
17812,25.467018127441406,1766323283.4784272
17952,25.34433364868164,1766323307.1115808
18049,25.4475154876709,1766323324.6529062
18152,25.609079360961914,1766323344.281481
18269,23.192834854125977,1766323365.3530664
18369,25.626224517822266,1766323383.7276034
18445,25.768938064575195,1766323397.6005192
18547,24.961685180664062,1766323416.797275
18622,25.5792293548584,1766323431.5898442
18725,23.232803344726562,1766323451.3353322
18802,25.667705535888672,1766323466.226625
18962,25.626144409179688,1766323492.8453174
19131,26.093582153320312,1766323521.892586
19272,25.930057525634766,1766323545.6964548
19351,21.288816452026367,1766323561.421431
19532,25.098764419555664,1766323592.5195572
19608,25.87274169921875,1766323606.3402863
19806,25.95551109313965,1766323639.5954924
19908,25.468032836914062,1766323658.412989
20062,24.663789749145508,1766323685.1813478
20139,25.540029525756836,1766323699.6454375
20217,25.55169677734375,1766323713.7506816
20364,25.739704132080078,1766323739.9751694
20441,25.149398803710938,1766323754.7530725
20558,22.931766510009766,1766323775.2163386
20661,25.504928588867188,1766323793.8099892
20789,25.527372360229492,1766323815.6256962
20866,25.588655471801758,1766323830.770691
20945,25.771677017211914,1766323846.1027057
21104,24.89832305908203,1766323873.134707
21247,25.454002380371094,1766323898.9459765
21319,25.460128784179688,1766323912.1627474
21397,25.63027572631836,1766323927.377205
21538,25.88788414001465,1766323951.956626
