step,value,wall_time
140,140.0,1766320132.1780345
215,215.0,1766320145.8655808
294,294.0,1766320160.3566756
411,411.0,1766320181.905606
485,485.0,1766320196.3155522
561,561.0,1766320210.109153
634,634.0,1766320225.1812925
779,779.0,1766320250.66638
909,909.0,1766320273.1385221
1013,1013.0,1766320292.7069747
1088,1088.0,1766320306.4305546
1208,1208.0,1766320328.1113293
1312,1312.0,1766320347.1810706
1390,1390.0,1766320363.1112144
1505,1505.0,1766320383.9056888
1692,1692.0,1766320414.7547932
1795,1795.0,1766320433.1283274
1872,1872.0,1766320447.465789
1975,1975.0,1766320467.027775
2051,2051.0,1766320481.5616503
2123,2123.0,1766320494.7161858
2238,2238.0,1766320515.67145
2318,2318.0,1766320531.377639
2479,2479.0,1766320559.0545175
2581,2581.0,1766320577.0438948
2657,2657.0,1766320590.8343778
2765,2765.0,1766320610.8563595
2988,2988.0,1766320648.6631906
3108,3108.0,1766320669.9132707
3269,3269.0,1766320698.2144837
3429,3429.0,1766320724.9345782
3549,3549.0,1766320746.653259
3625,3625.0,1766320761.5086412
3765,3765.0,1766320785.8033617
3951,3951.0,1766320817.634474
4018,4018.0,1766320830.0248132
4122,4122.0,1766320848.9906926
4393,4393.0,1766320893.3600729
4473,4473.0,1766320908.12961
4683,4683.0,1766320943.5325832
4788,4788.0,1766320961.6121414
4868,4868.0,1766320977.7083375
4945,4945.0,1766320991.9238722
5063,5063.0,1766321012.582798
5192,5192.0,1766321035.2433875
5333,5333.0,1766321058.9724705
5440,5440.0,1766321078.613326
5581,5581.0,1766321103.50524
5654,5654.0,1766321117.6586113
5730,5730.0,1766321133.185142
5887,5887.0,1766321159.4512603
6029,6029.0,1766321184.505372
6108,6108.0,1766321199.733348
6185,6185.0,1766321213.822285
6262,6262.0,1766321229.2203717
6341,6341.0,1766321243.4449158
6468,6468.0,1766321265.2934737
6701,6701.0,1766321303.958128
6776,6776.0,1766321317.9545496
6851,6851.0,1766321332.3544488
7077,7077.0,1766321369.1786265
7154,7154.0,1766321384.2988663
7410,7410.0,1766321426.9434402
7485,7485.0,1766321441.5642943
7646,7646.0,1766321469.4483993
7806,7806.0,1766321496.1671855
7951,7951.0,1766321521.073516
8030,8030.0,1766321536.6680512
8131,8131.0,1766321555.4187348
8210,8210.0,1766321570.584568
8392,8392.0,1766321600.7643461
8496,8496.0,1766321619.6959815
8597,8597.0,1766321638.9808517
8667,8667.0,1766321652.5704765
8807,8807.0,1766321677.086654
8972,8972.0,1766321704.5090957
9052,9052.0,1766321719.6802485
9126,9126.0,1766321734.10748
9269,9269.0,1766321759.05101
9411,9411.0,1766321784.0317714
9555,9555.0,1766321808.2936907
9634,9634.0,1766321824.098783
9752,9752.0,1766321845.3649206
9829,9829.0,1766321859.8626432
9949,9949.0,1766321881.9082193
10050,10050.0,1766321899.5615292
10254,10254.0,1766321934.2016423
10413,10413.0,1766321961.6660635
10628,10628.0,1766321997.0550933
10733,10733.0,1766322016.7941277
10875,10875.0,1766322040.7107098
10955,10955.0,1766322056.2936566
11029,11029.0,1766322069.9558165
11255,11255.0,1766322106.828109
11334,11334.0,1766322122.2124615
11452,11452.0,1766322142.4265037
11532,11532.0,1766322158.0642548
11674,11674.0,1766322183.217435
11749,11749.0,1766322198.3081703
11864,11864.0,1766322219.351287
12003,12003.0,1766322242.8082254
12077,12077.0,1766322257.0441973
12155,12155.0,1766322271.9464371
12282,12282.0,1766322294.3653738
12356,12356.0,1766322309.328405
12472,12472.0,1766322329.23885
12589,12589.0,1766322350.4358542
12707,12707.0,1766322372.0894775
12810,12810.0,1766322390.5721648
12955,12955.0,1766322416.5473163
13056,13056.0,1766322434.247357
13135,13135.0,1766322449.645969
13293,13293.0,1766322477.4163203
13397,13397.0,1766322496.9974365
13477,13477.0,1766322511.9528916
13596,13596.0,1766322532.3661776
13763,13763.0,1766322560.7290192
13882,13882.0,1766322582.476474
14068,14068.0,1766322614.3814218
14145,14145.0,1766322628.8355732
14264,14264.0,1766322649.1691394
14342,14342.0,1766322664.2030547
14419,14419.0,1766322679.6152048
14617,14617.0,1766322713.3298333
14733,14733.0,1766322734.758821
14809,14809.0,1766322748.5686202
14887,14887.0,1766322763.9772604
15052,15052.0,1766322793.2732475
15168,15168.0,1766322814.6658223
15311,15311.0,1766322840.2325683
15495,15495.0,1766322870.5859945
15570,15570.0,1766322886.0869243
15649,15649.0,1766322901.3492508
15725,15725.0,1766322915.7092013
15838,15838.0,1766322936.6570966
15915,15915.0,1766322950.5774896
15993,15993.0,1766322964.4857693
16222,16222.0,1766323002.8665185
16361,16361.0,1766323027.1589851
16476,16476.0,1766323048.3198571
16554,16554.0,1766323062.4333932
16630,16630.0,1766323077.4023054
16707,16707.0,1766323092.4486284
16867,16867.0,1766323120.2743611
16986,16986.0,1766323141.8124974
17125,17125.0,1766323165.3203292
17412,17412.0,1766323212.9834235
17512,17512.0,1766323230.792093
17670,17670.0,1766323257.7824807
17812,17812.0,1766323283.4784439
17952,17952.0,1766323307.1115863
18049,18049.0,1766323324.6529202
18152,18152.0,1766323344.281498
18269,18269.0,1766323365.3530834
18369,18369.0,1766323383.72762
18445,18445.0,1766323397.6005244
18547,18547.0,1766323416.7972808
18622,18622.0,1766323431.5898492
18725,18725.0,1766323451.3353508
18802,18802.0,1766323466.2266417
18962,18962.0,1766323492.845323
19131,19131.0,1766323521.8925917
19272,19272.0,1766323545.6964707
19351,19351.0,1766323561.4214368
19532,19532.0,1766323592.5195625
19608,19608.0,1766323606.3402913
19806,19806.0,1766323639.595509
19908,19908.0,1766323658.4130054
20062,20062.0,1766323685.1813648
20139,20139.0,1766323699.6454449
20217,20217.0,1766323713.7506871
20364,20364.0,1766323739.9751744
20441,20441.0,1766323754.7530868
20558,20558.0,1766323775.2163548
20661,20661.0,1766323793.8099947
20789,20789.0,1766323815.6257126
20866,20866.0,1766323830.7706962
20945,20945.0,1766323846.1027114
21104,21104.0,1766323873.134721
21247,21247.0,1766323898.9459822
21319,21319.0,1766323912.1627638
21397,21397.0,1766323927.377221
21538,21538.0,1766323951.9566426
21617,21617.0,1766323966.6786842
21694,21694.0,1766323981.6204574
21809,21809.0,1766324001.4223764
21884,21884.0,1766324016.705678
21957,21957.0,1766324031.2349484
22101,22101.0,1766324055.785475
22180,22180.0,1766324070.4592638
22284,22284.0,1766324088.5777647
22427,22427.0,1766324113.4840653
22609,22609.0,1766324144.8403707
22728,22728.0,1766324165.6138427
22911,22911.0,1766324196.872031
23030,23030.0,1766324217.349186
23103,23103.0,1766324230.9748178
23206,23206.0,1766324250.1245453
23283,23283.0,1766324264.0578604
23381,23381.0,1766324281.9441853
23461,23461.0,1766324296.381787
23540,23540.0,1766324310.9536715
23618,23618.0,1766324326.0399914
23692,23692.0,1766324341.209456
23936,23936.0,1766324381.8633864
24011,24011.0,1766324395.4710636
24088,24088.0,1766324411.103121
24231,24231.0,1766324436.4594405
24307,24307.0,1766324450.2874405
24386,24386.0,1766324465.6881905
24485,24485.0,1766324483.0724533
24560,24560.0,1766324497.8038864
24721,24721.0,1766324525.1109633
24799,24799.0,1766324540.8266969
24980,24980.0,1766324572.1142428
25181,25181.0,1766324605.046874
25296,25296.0,1766324625.7457252
25375,25375.0,1766324640.5057812
25477,25477.0,1766324658.8414104
25553,25553.0,1766324673.898106
25630,25630.0,1766324687.806023
25748,25748.0,1766324709.3940399
25930,25930.0,1766324740.7244732
26048,26048.0,1766324761.123761
