step,value,wall_time
140,0.0,1766320132.1780415
215,0.0,1766320145.8655977
294,0.0,1766320160.3566928
411,0.0,1766320181.9056118
485,0.0,1766320196.3155673
561,0.0,1766320210.1091702
634,0.0,1766320225.1813097
779,0.0,1766320250.6663861
909,0.0,1766320273.1385365
1013,0.0,1766320292.70698
1088,0.0,1766320306.430561
1208,0.0,1766320328.111336
1312,0.0,1766320347.1810875
1390,0.0,1766320363.1112201
1505,0.0,1766320383.9056947
1692,0.0,1766320414.754799
1795,0.0,1766320433.128333
1872,0.0,1766320447.4658084
1975,0.0,1766320467.0277808
2051,0.0,1766320481.5616555
2123,0.0,1766320494.7161922
2238,0.0,1766320515.6714666
2318,0.0,1766320531.377645
2479,0.0,1766320559.0545344
2581,0.0,1766320577.0439003
2657,0.0,1766320590.8343837
2765,0.0,1766320610.8563652
2988,0.0,1766320648.6631966
3108,0.0,1766320669.9133399
3269,0.0,1766320698.2144885
3429,0.0,1766320724.934595
3549,0.0,1766320746.6532862
3625,0.0,1766320761.508658
3765,0.0,1766320785.8033676
3951,0.0,1766320817.6344795
4018,0.0,1766320830.024819
4122,0.0,1766320848.9906986
4393,0.0,1766320893.3600898
4473,0.0,1766320908.1296277
4683,0.0,1766320943.5325892
4788,0.0,1766320961.6121564
4868,0.0,1766320977.708344
4945,0.0,1766320991.9238782
5063,0.0,1766321012.5828152
5192,0.0,1766321035.2435184
5333,0.0,1766321058.972485
5440,0.0,1766321078.6133401
5581,0.0,1766321103.505246
5654,0.0,1766321117.6586277
5730,0.0,1766321133.1851597
5887,0.0,1766321159.4512718
6029,0.0,1766321184.5053782
6108,0.0,1766321199.7333627
6185,0.0,1766321213.8223019
6262,0.0,1766321229.2203782
6341,0.0,1766321243.4449334
6468,0.0,1766321265.2934802
6701,0.0,1766321303.9581425
6776,0.0,1766321317.9545636
6851,0.0,1766321332.3544545
7077,0.0,1766321369.1786432
7154,0.0,1766321384.298872
7410,0.0,1766321426.9434454
7485,0.0,1766321441.564311
7646,0.0,1766321469.4484055
7806,0.0,1766321496.1671917
7951,0.0,1766321521.0735304
8030,0.0,1766321536.6680567
8131,0.0,1766321555.4187512
8210,0.0,1766321570.584585
8392,0.0,1766321600.7643516
8496,0.0,1766321619.695987
8597,0.0,1766321638.9808686
8667,0.0,1766321652.5704825
8807,0.0,1766321677.0866597
8972,0.0,1766321704.5091095
9052,0.0,1766321719.6802545
9126,0.0,1766321734.107486
9269,0.0,1766321759.0510154
9411,0.0,1766321784.0317774
9555,0.0,1766321808.2937064
9634,0.0,1766321824.0987995
9752,0.0,1766321845.364937
9829,0.0,1766321859.8626611
9949,0.0,1766321881.9082253
10050,0.0,1766321899.5615451
10254,0.0,1766321934.2016566
10413,0.0,1766321961.6660802
10628,0.0,1766321997.05511
10733,0.0,1766322016.7941334
10875,0.0,1766322040.7107265
10955,0.0,1766322056.293671
11029,0.0,1766322069.9558227
11255,0.0,1766322106.828115
11334,0.0,1766322122.2124777
11452,0.0,1766322142.4265094
11532,0.0,1766322158.0642602
11674,0.0,1766322183.2174406
11749,0.0,1766322198.3081756
11864,0.0,1766322219.3512933
12003,0.0,1766322242.808242
12077,0.0,1766322257.044203
12155,0.0,1766322271.9464514
12282,0.0,1766322294.36538
12356,0.0,1766322309.3284118
12472,0.0,1766322329.2388556
12589,0.0,1766322350.4358685
12707,0.0,1766322372.089483
12810,0.0,1766322390.5721798
12955,0.0,1766322416.5473218
13056,0.0,1766322434.2473674
13135,0.0,1766322449.6459854
13293,0.0,1766322477.4163258
13397,0.0,1766322496.9974413
13477,0.0,1766322511.9528975
13596,0.0,1766322532.3661947
13763,0.0,1766322560.7290254
13882,0.0,1766322582.4764788
14068,0.0,1766322614.3814363
14145,0.0,1766322628.835579
14264,0.0,1766322649.169145
14342,0.0,1766322664.2030606
14419,0.0,1766322679.6152225
14617,0.0,1766322713.329854
14733,0.0,1766322734.7588265
14809,0.0,1766322748.5686371
14887,0.0,1766322763.9772708
15052,0.0,1766322793.2732532
15168,0.0,1766322814.6658394
15311,0.0,1766322840.2325823
15495,0.0,1766322870.5860002
15570,0.0,1766322886.08693
15649,0.0,1766322901.3492563
15725,0.0,1766322915.7092183
15838,0.0,1766322936.6571019
15915,0.0,1766322950.5774949
15993,0.0,1766322964.4857855
16222,0.0,1766323002.8665245
16361,0.0,1766323027.1590018
16476,0.0,1766323048.3198628
16554,0.0,1766323062.4333987
16630,0.0,1766323077.4023192
16707,0.0,1766323092.4486425
16867,0.0,1766323120.2743778
16986,0.0,1766323141.8125029
17125,0.0,1766323165.320335
17412,0.0,1766323212.9834287
17512,0.0,1766323230.792109
17670,0.0,1766323257.7824976
17812,0.0,1766323283.4784598
17952,0.0,1766323307.1115923
18049,0.0,1766323324.652934
18152,0.0,1766323344.2815142
18269,0.0,1766323365.3531
18369,0.0,1766323383.7276363
18445,0.0,1766323397.6005304
18547,0.0,1766323416.7972865
18622,0.0,1766323431.5898545
18725,0.0,1766323451.3353589
18802,0.0,1766323466.226658
18962,0.0,1766323492.8453283
19131,0.0,1766323521.892597
19272,0.0,1766323545.6964867
19351,0.0,1766323561.421442
19532,0.0,1766323592.519568
19608,0.0,1766323606.3402965
19806,0.0,1766323639.5955253
19908,0.0,1766323658.413021
20062,0.0,1766323685.1813807
20139,0.0,1766323699.6454508
20217,0.0,1766323713.7506928
20364,0.0,1766323739.9751794
20441,0.0,1766323754.7531006
20558,0.0,1766323775.2163706
20661,0.0,1766323793.8100002
20789,0.0,1766323815.6257288
20866,0.0,1766323830.770702
20945,0.0,1766323846.1027172
21104,0.0,1766323873.1347353
21247,0.0,1766323898.9459877
21319,0.0,1766323912.1627798
21397,0.0,1766323927.3772376
21538,0.0,1766323951.9566593
21617,0.0,1766323966.6786892
21694,0.0,1766323981.6204712
21809,0.0,1766324001.4223819
21884,0.0,1766324016.7056837
21957,0.0,1766324031.2349536
22101,0.0,1766324055.7854805
22180,0.0,1766324070.4592862
22284,0.0,1766324088.5777786
22427,0.0,1766324113.4840703
22609,0.0,1766324144.840376
22728,0.0,1766324165.6138592
22911,0.0,1766324196.8720367
23030,0.0,1766324217.3492029
23103,0.0,1766324230.9748368
23206,0.0,1766324250.12455
23283,0.0,1766324264.0578742
23381,0.0,1766324281.9442012
23461,0.0,1766324296.3817937
23540,0.0,1766324310.9536877
23618,0.0,1766324326.0399966
23692,0.0,1766324341.2094615
23936,0.0,1766324381.8633924
24011,0.0,1766324395.4710777
24088,0.0,1766324411.1031265
24231,0.0,1766324436.4594455
24307,0.0,1766324450.287446
24386,0.0,1766324465.6882071
24485,0.0,1766324483.072459
24560,0.0,1766324497.8039036
24721,0.0,1766324525.1109688
24799,0.0,1766324540.826702
24980,0.0,1766324572.1142592
25181,0.0,1766324605.0468907
25296,0.0,1766324625.7457309
25375,0.0,1766324640.505798
25477,0.0,1766324658.841416
25553,0.0,1766324673.8981106
25630,0.0,1766324687.8060281
25748,0.0,1766324709.3940558
25930,0.0,1766324740.7244792
26048,0.0,1766324761.1237664
26128,0.0,1766324776.1983492
26267,0.0,1766324799.6725283
26429,0.0,1766324827.3588936
26503,0.0,1766324841.821448
26641,0.0,1766324866.7786548
26714,0.0,1766324882.1931586
26791,0.0,1766324896.1995316
26950,0.0,1766324923.5580564
27025,0.0,1766324938.058496
27248,0.0,1766324974.9463646
27362,0.0,1766324994.7727325
27510,0.0,1766325019.6684163
27589,0.0,1766325034.1964202
27689,0.0,1766325052.3206036
27766,0.0,1766325067.2289095
27845,0.0,1766325081.4347458
27989,0.0,1766325105.6144938
28068,0.0,1766325120.9707973
28295,0.0,1766325159.4665349
28368,0.0,1766325174.3475866
28510,0.0,1766325200.11715
28587,0.0,1766325214.1045923
28666,0.0,1766325229.972504
28805,0.0,1766325255.1475806
28965,0.0,1766325282.1892824
29041,0.0,1766325297.165815
29215,0.0,1766325325.9633799
29372,0.0,1766325353.3138602
29492,0.0,1766325375.1053956
29743,0.0,1766325416.9585521
29819,0.0,1766325432.1219068
29895,0.0,1766325445.976144
29970,0.0,1766325460.3917015
30087,0.0,1766325481.2581754
30221,0.0,1766325504.8056192
30334,0.0,1766325525.6786306
30436,0.0,1766325543.4123428
30513,0.0,1766325557.9643266
30591,0.0,1766325573.1308134
30730,0.0,1766325597.7838604
30842,0.0,1766325617.0830245
30957,0.0,1766325636.8682506
31073,0.0,1766325657.505172
31214,0.0,1766325681.735348
31358,0.0,1766325707.3625312
31476,0.0,1766325728.4325461
31544,0.0,1766325741.0296586
31713,0.0,1766325770.4224093
31792,0.0,1766325785.9062572
31894,0.0,1766325804.3775742
32009,0.0,1766325825.2465026
32086,0.0,1766325839.18487
32201,0.0,1766325860.3044422
32279,0.0,1766325874.7659056
32420,0.0,1766325898.8560872
32539,0.0,1766325920.787304
32679,0.0,1766325944.457875
32910,0.0,1766325983.703988
33031,0.0,1766326005.7278035
33190,0.0,1766326033.3686192
33266,0.0,1766326048.4571123
33342,0.0,1766326062.3724525
33471,0.0,1766326085.8988948
33543,0.0,1766326099.6439176
33661,0.0,1766326120.362994
33736,0.0,1766326134.7632105
33848,0.0,1766326154.0824041
34029,0.0,1766326185.018682
34147,0.0,1766326205.4057999
34265,0.0,1766326226.2181609
34393,0.0,1766326249.553703
34579,0.0,1766326280.273637
34736,0.0,1766326307.566124
34853,0.0,1766326328.756726
35013,0.0,1766326355.9428318
35112,0.0,1766326374.414963
35227,0.0,1766326394.2222588
35370,0.0,1766326418.9065995
35501,0.0,1766326441.787488
35574,0.0,1766326456.7059178
35841,0.0,1766326500.2288024
35942,0.0,1766326518.0861068
36017,0.0,1766326532.6632128
36134,0.0,1766326553.2460384
