Wall time,Step,Value
1780058840.6826577,353,3.0
1780058847.9800017,434,3.0
1780058855.2431786,515,2.0
1780058862.783947,593,1.5
1780058874.7131488,745,1.5
1780058884.3795483,852,1.600000023841858
1780058892.4524643,933,1.5
1780058903.4526134,1054,1.4285714626312256
1780058920.5358655,1273,1.75
1780058933.7535286,1443,1.75
1780058944.8182528,1566,1.7777777910232544
1780058952.7561986,1647,1.7000000476837158
1780058965.490406,1799,1.7272727489471436
1780058978.165426,1948,1.75
1780058988.2125614,2074,1.75
1780058995.6046977,2155,1.692307710647583
1780059004.0543401,2239,1.5714285373687744
1780059011.9064872,2320,1.4666666984558105
1780059024.4084768,2472,1.5
1780059038.1627412,2649,1.5
1780059045.7700994,2730,1.5882352590560913
1780059054.717396,2834,1.5555555820465088
1780059062.3619962,2918,1.4736841917037964
1780059072.26821,3030,1.4500000476837158
1780059082.1951058,3154,1.4500000476837158
1780059095.2109547,3303,1.4285714626312256
1780059109.391484,3478,1.5
1780059128.3340669,3721,1.6956521272659302
1780059139.0671823,3847,1.6666666269302368
1780059147.622166,3951,1.6666666269302368
1780059157.9237149,4071,1.6799999475479126
1780059170.3613176,4217,1.692307710647583
1780059184.4922726,4390,1.703703761100769
1780059192.081485,4472,1.6785714626312256
1780059199.1427712,4555,1.6785714626312256
1780059206.317004,4631,1.6206896305084229
1780059213.438232,4712,1.5666667222976685
1780059224.6929722,4838,1.548387050628662
1780059243.8876126,5080,1.625
1780059253.6735327,5202,1.625
1780059264.5835817,5330,1.6060606241226196
1780059276.536325,5479,1.6176470518112183
1780059283.9587922,5563,1.600000023841858
1780059293.3729186,5672,1.5833333730697632
1780059302.3084927,5781,1.5833333730697632
1780059320.1159039,5999,1.5675675868988037
1780059330.7706988,6124,1.6315789222717285
1780059345.9752548,6313,1.6666666269302368
1780059358.4017959,6458,1.7000000476837158
1780059368.5317717,6583,1.7000000476837158
1780059382.1619794,6746,1.6829267740249634
1780059399.6369257,6967,1.7380952835083008
1780059408.765551,7074,1.7441860437393188
1780059426.2841725,7293,1.795454502105713
1780059438.2318618,7445,1.795454502105713
1780059445.8758085,7526,1.7999999523162842
1780059457.6495762,7655,1.7608696222305298
1780059479.1884353,7939,1.829787254333496
1780059486.9604585,8017,1.8125
1780059498.6877074,8166,1.8125
1780059509.3265824,8289,1.8163264989852905
1780059525.0706131,8483,1.840000033378601
1780059532.649773,8558,1.8235293626785278
1780059539.4580746,8633,1.7884615659713745
1780059551.01826,8779,1.7884615659713745
1780059563.8934565,8928,1.7924528121948242
1780059574.2601745,9051,1.796296238899231
1780059589.018666,9229,1.7999999523162842
1780059599.0742633,9351,1.8214285373687744
1780059610.9823854,9503,1.8214285373687744
1780059622.2489643,9629,1.824561357498169
1780059629.9889328,9710,1.8103448152542114
1780059642.9464183,9864,1.8135592937469482
1780059649.8530204,9939,1.7833333015441895
1780059659.964862,10065,1.7833333015441895
1780059674.1083782,10238,1.7704918384552002
1780059681.549979,10322,1.774193525314331
1780059691.0264218,10426,1.7619047164916992
1780059704.858643,10596,1.765625
1780059711.7420971,10677,1.765625
1780059720.1324716,10758,1.7384614944458008
1780059728.3346303,10842,1.7121212482452393
1780059736.0494213,10926,1.6865671873092651
1780059746.8208141,11049,1.6764706373214722
1780059759.9903426,11217,1.6764706373214722
1780059773.771334,11383,1.6811593770980835
1780059784.4018834,11506,1.6857142448425293
1780059797.1331208,11660,1.7042253017425537
1780059810.2043483,11812,1.7083333730697632
1780059820.7880108,11945,1.7083333730697632
1780059831.7146668,12068,1.7260273694992065
1780059839.0284848,12149,1.7027027606964111
1780059850.3803859,12280,1.7066667079925537
1780059863.0415797,12426,1.7105263471603394
1780059874.975387,12578,1.7105263471603394
1780059887.049194,12726,1.7142857313156128
1780059897.3313613,12851,1.7307692766189575
1780059905.2864456,12929,1.7088607549667358
1780059912.2897868,13006,1.6875
1780059922.163829,13129,1.6875
1780059930.340528,13213,1.6790122985839844
1780059940.8371828,13339,1.6585365533828735
1780059948.6586363,13423,1.6506024599075317
1780059956.174801,13505,1.6309523582458496
1780059963.0612898,13586,1.6309523582458496
1780059972.5756905,13696,1.611764669418335
1780059980.6465642,13780,1.6046512126922607
1780059990.8681667,13903,1.5977011919021606
1780060003.427325,14054,1.6022727489471436
1780060013.3306906,14177,1.6022727489471436
1780060021.0228226,14261,1.5955055952072144
