Wall time,Step,Value
1780058826.2452652,175,4.0
1780058840.6827083,353,8.0
1780058847.980022,434,12.0
1780058855.243226,515,16.0
1780058862.7839963,593,20.0
1780058874.7131681,745,24.0
1780058884.3795946,852,28.0
1780058892.452485,933,32.0
1780058903.4526737,1054,36.0
1780058920.5359128,1273,40.0
1780058933.7535498,1443,44.0
1780058944.818272,1566,48.0
1780058952.7562475,1647,52.0
1780058965.490432,1799,56.0
1780058978.165478,1948,60.0
1780058988.2125826,2074,64.0
1780058995.6047456,2155,68.0
1780059004.0543604,2239,72.0
1780059011.9065351,2320,76.0
1780059024.4085262,2472,80.0
1780059038.1627614,2649,84.0
1780059045.770118,2730,88.0
1780059054.7174454,2834,92.0
1780059062.3620164,2918,96.0
1780059072.26823,3030,100.0
1780059082.1951544,3154,104.0
1780059095.211002,3303,108.0
1780059109.391504,3478,112.0
1780059128.3341203,3721,116.0
1780059139.0672297,3847,120.0
1780059147.6221855,3951,124.0
1780059157.9237344,4071,128.0
1780059170.3613648,4217,132.0
1780059184.4923208,4390,136.0
1780059192.0815341,4472,140.0
1780059199.1427915,4555,144.0
1780059206.3170516,4631,148.0
1780059213.438252,4712,152.0
1780059224.693032,4838,156.0
1780059243.887636,5080,160.0
1780059253.6735802,5202,164.0
1780059264.5836291,5330,168.0
1780059276.536345,5479,172.0
1780059283.9588425,5563,176.0
1780059293.3729675,5672,180.0
1780059302.3085396,5781,184.0
1780059320.1159246,5999,188.0
1780059330.7707214,6124,192.0
1780059345.9752753,6313,196.0
1780059358.401846,6458,200.0
1780059368.5317967,6583,204.0
1780059382.162036,6746,208.0
1780059399.6369462,6967,212.0
1780059408.7655988,7074,216.0
1780059426.284231,7293,220.0
1780059438.231909,7445,224.0
1780059445.8758285,7526,228.0
1780059457.6495965,7655,232.0
1780059479.1884558,7939,236.0
1780059486.96048,8017,240.0
1780059498.687765,8166,244.0
1780059509.3266416,8289,248.0
1780059525.0706418,8483,252.0
1780059532.649797,8558,256.0
1780059539.4581232,8633,260.0
1780059551.0182805,8779,264.0
1780059563.893505,8928,268.0
1780059574.2602232,9051,272.0
1780059589.0187154,9229,276.0
1780059599.074284,9351,280.0
1780059610.9824347,9503,284.0
1780059622.2489882,9629,288.0
1780059629.9889927,9710,292.0
1780059642.9464786,9864,296.0
1780059649.8530436,9939,300.0
1780059659.9648826,10065,304.0
1780059674.108399,10238,308.0
1780059681.5500267,10322,312.0
1780059691.0264425,10426,316.0
1780059704.8586683,10596,320.0
1780059711.7421186,10677,324.0
1780059720.1324928,10758,328.0
