Wall time,Step,Value
1780058826.245286,175,0.0
1780058840.6827514,353,0.0
1780058847.9800386,434,0.0
1780058855.243269,515,0.0
1780058862.7840395,593,0.0
1780058874.7131846,745,0.0
1780058884.3796365,852,0.0
1780058892.452502,933,0.0
1780058903.452717,1054,0.0
1780058920.5359557,1273,0.0
1780058933.753567,1443,0.0
1780058944.8182883,1566,0.0
1780058952.7562919,1647,0.0
1780058965.490454,1799,0.0
1780058978.1655254,1948,0.0
1780058988.212599,2074,0.0
1780058995.604789,2155,0.0
1780059004.0543764,2239,0.0
1780059011.9065778,2320,0.0
1780059024.4085696,2472,0.0
1780059038.1627781,2649,0.0
1780059045.7701337,2730,0.0
1780059054.717489,2834,0.0
1780059062.3620334,2918,0.0
1780059072.2682464,3030,0.0
1780059082.1951969,3154,0.0
1780059095.211045,3303,0.0
1780059109.3915205,3478,0.0
1780059128.3341672,3721,0.0
1780059139.0672734,3847,0.0
1780059147.6222024,3951,0.0
1780059157.9237509,4071,0.0
1780059170.3614078,4217,0.0
1780059184.492364,4390,0.0
1780059192.0815775,4472,0.0
1780059199.1428084,4555,0.0
1780059206.3170943,4631,0.0
1780059213.4382691,4712,0.0
1780059224.6930752,4838,0.0
1780059243.8876579,5080,0.0
1780059253.6736233,5202,0.0
1780059264.5836785,5330,0.0
1780059276.5363615,5479,0.0
1780059283.9588866,5563,0.0
1780059293.373011,5672,0.0
1780059302.3085833,5781,0.0
1780059320.1159422,5999,0.0
1780059330.7707415,6124,0.0
1780059345.9752922,6313,0.0
1780059358.401892,6458,0.0
1780059368.531818,6583,0.0
1780059382.1620874,6746,0.0
1780059399.6369638,6967,0.0
1780059408.7656426,7074,0.0
1780059426.284281,7293,0.0
1780059438.2319522,7445,0.0
1780059445.875844,7526,0.0
1780059457.6496139,7655,0.0
1780059479.188473,7939,0.0
1780059486.9604971,8017,0.0
1780059498.6878176,8166,0.0
1780059509.326705,8289,0.0
1780059525.0706697,8483,0.0
1780059532.6498156,8558,0.0
1780059539.4581673,8633,0.0
1780059551.0182977,8779,0.0
1780059563.8935483,8928,0.0
1780059574.2602675,9051,0.0
1780059589.01876,9229,0.0
1780059599.074301,9351,0.0
1780059610.9824793,9503,0.0
1780059622.2490077,9629,0.0
1780059629.9890456,9710,0.0
1780059642.9465332,9864,0.0
1780059649.853062,9939,0.0
1780059659.9648988,10065,0.0
1780059674.1084158,10238,0.0
1780059681.5500696,10322,0.0
1780059691.0264602,10426,0.0
1780059704.858684,10596,0.0
1780059711.7421355,10677,0.0
1780059720.13251,10758,0.0
1780059728.334728,10842,0.0
1780059736.0494587,10926,0.0
1780059746.8209329,11049,0.0
1780059759.9904535,11217,0.0
1780059773.7713747,11383,0.0
1780059784.4019759,11506,0.0
1780059797.1331582,11660,0.0
1780059810.2044406,11812,0.0
1780059820.788105,11945,0.0
1780059831.7147584,12068,0.0
1780059839.0285785,12149,0.0
1780059850.380423,12280,0.0
1780059863.0416765,12426,0.0
1780059874.9754963,12578,0.0
1780059887.049304,12726,0.0
1780059897.3314018,12851,0.0
1780059905.2864864,12929,0.0
1780059912.2898805,13006,0.0
1780059922.1638682,13129,0.0
1780059930.3406227,13213,0.0
1780059940.837221,13339,0.0
1780059948.6586807,13423,0.0
1780059956.174841,13505,0.0
1780059963.0613809,13586,0.0
1780059972.575783,13696,0.0
1780059980.6466608,13780,0.0
1780059990.8682766,13903,0.0
1780060003.4273674,14054,0.0
1780060013.3308005,14177,0.0
1780060021.0229342,14261,0.0
1780060030.7564528,14370,0.0
1780060043.375011,14519,0.0
1780060054.146327,14643,0.0
1780060065.8732803,14792,0.0
1780060073.7321093,14876,0.0
1780060086.61974,15028,0.0
1780060094.1448512,15109,0.0
1780060112.3512528,15332,0.0
1780060122.3290272,15455,0.0
1780060132.5957792,15578,0.0
1780060139.9329793,15659,0.0
1780060147.7037823,15740,0.0
1780060165.5591042,15962,0.0
1780060178.6738117,16131,0.0
1780060190.1297717,16262,0.0
1780060198.2572656,16346,0.0
1780060206.3712635,16427,0.0
1780060228.447886,16711,0.0
1780060238.5517097,16837,0.0
1780060251.3262205,16985,0.0
1780060262.5287373,17110,0.0
1780060271.5620356,17218,0.0
1780060280.7669127,17322,0.0
1780060287.830464,17406,0.0
1780060306.762694,17646,0.0
1780060320.148487,17798,0.0
1780060331.274337,17924,0.0
1780060344.4709663,18076,0.0
1780060351.1529768,18154,0.0
1780060365.0075433,18323,0.0
1780060372.5076725,18400,0.0
1780060383.0548077,18523,0.0
1780060394.5717642,18656,0.0
1780060411.0007722,18871,0.0
1780060425.1592574,19047,0.0
1780060432.5041,19131,0.0
1780060446.6634598,19301,0.0
1780060461.1194935,19471,0.0
1780060474.5066974,19644,0.0
1780060488.8814402,19817,0.0
1780060496.6637383,19901,0.0
1780060508.9098964,20049,0.0
1780060517.7035842,20150,0.0
1780060527.7962775,20276,0.0
1780060541.976714,20447,0.0
1780060549.763734,20531,0.0
1780060557.8386123,20612,0.0
1780060573.7557368,20812,0.0
1780060587.5855455,20991,0.0
1780060598.02564,21115,0.0
1780060615.309642,21328,0.0
1780060623.5056298,21412,0.0
1780060635.79767,21557,0.0
1780060642.932784,21641,0.0
1780060658.9898262,21836,0.0
1780060674.2067256,22029,0.0
1780060684.0395575,22138,0.0
1780060694.3865347,22263,0.0
1780060701.2626615,22344,0.0
1780060709.2318485,22428,0.0
1780060720.1654832,22554,0.0
1780060732.736415,22701,0.0
1780060740.535938,22779,0.0
1780060747.391968,22860,0.0
1780060755.3842292,22944,0.0
1780060762.8083887,23028,0.0
1780060774.2033737,23154,0.0
1780060783.4095244,23261,0.0
1780060795.146219,23410,0.0
1780060802.4862607,23491,0.0
1780060810.6703637,23575,0.0
1780060818.1970072,23656,0.0
1780060825.3642037,23730,0.0
1780060836.8945608,23876,0.0
1780060846.553367,23979,0.0
1780060856.1817846,24088,0.0
1780060868.3146744,24236,0.0
1780060880.422834,24382,0.0
1780060887.5268264,24466,0.0
1780060894.8968055,24550,0.0
1780060902.24802,24631,0.0
1780060918.2740722,24827,0.0
1780060925.943625,24906,0.0
1780060937.8638585,25057,0.0
1780060951.5105708,25227,0.0
1780060962.0939724,25350,0.0
1780060976.4898953,25516,0.0
1780060989.0614228,25662,0.0
1780061001.107789,25814,0.0
1780061025.5665648,26128,0.0
1780061033.154221,26209,0.0
1780061043.707084,26332,0.0
1780061051.7398102,26415,0.0
1780061066.4502213,26606,0.0
1780061082.0474768,26798,0.0
1780061096.7006042,26974,0.0
1780061106.450667,27085,0.0
1780061118.4572272,27228,0.0
1780061125.3638577,27309,0.0
1780061138.234817,27461,0.0
1780061148.410674,27581,0.0
1780061156.4356275,27665,0.0
1780061168.478363,27814,0.0
1780061181.5385776,27982,0.0
1780061193.5928712,28128,0.0
1780061206.1489582,28279,0.0
1780061219.8028688,28448,0.0
1780061227.326803,28529,0.0
1780061241.825394,28716,0.0
1780061249.181781,28795,0.0
1780061263.309945,28966,0.0
1780061270.8990195,29047,0.0
1780061285.901555,29237,0.0
1780061292.7868433,29318,0.0
1780061300.3654954,29398,0.0
1780061324.852782,29719,0.0
1780061332.241872,29797,0.0
1780061339.705231,29878,0.0
1780061356.7251,30101,0.0
1780061369.342496,30253,0.0
1780061379.9660368,30380,0.0
1780061387.9682465,30461,0.0
1780061399.6199944,30604,0.0
1780061411.328384,30753,0.0
1780061419.23976,30834,0.0
1780061434.190217,31020,0.0
1780061445.215928,31147,0.0
1780061456.216303,31277,0.0
1780061470.3146305,31458,0.0
1780061478.8154445,31542,0.0
1780061486.8931673,31626,0.0
1780061497.1506767,31750,0.0
1780061507.4410872,31873,0.0
1780061514.3060305,31954,0.0
1780061531.3082697,32166,0.0
1780061542.4480422,32291,0.0
1780061559.9271991,32510,0.0
1780061570.5447738,32633,0.0
1780061583.5771232,32800,0.0
1780061600.846595,33015,0.0
1780061614.5863345,33186,0.0
1780061627.5877738,33335,0.0
1780061640.108373,33484,0.0
1780061653.0413916,33650,0.0
1780061663.2568338,33759,0.0
1780061673.6628041,33882,0.0
1780061680.7521536,33960,0.0
1780061693.1159658,34106,0.0
1780061702.0564053,34216,0.0
1780061709.7489758,34297,0.0
1780061718.9055295,34401,0.0
1780061730.757072,34547,0.0
