step,tag,value,wall_time
353,rollout/ep_len_mean,855.0,1780058840.682619
434,rollout/ep_len_mean,859.0,1780058847.979978
515,rollout/ep_len_mean,736.3333129882812,1780058855.2431424
593,rollout/ep_len_mean,671.5,1780058862.7839124
745,rollout/ep_len_mean,671.5,1780058874.713126
852,rollout/ep_len_mean,691.4000244140625,1780058884.3795137
933,rollout/ep_len_mean,674.5,1780058892.452438
1054,rollout/ep_len_mean,672.0,1780058903.452574
1273,rollout/ep_len_mean,720.0,1780058920.5358303
1443,rollout/ep_len_mean,720.0,1780058933.7535021
1566,rollout/ep_len_mean,733.7777709960938,1780058944.8182292
1647,rollout/ep_len_mean,725.7999877929688,1780058952.7561638
1799,rollout/ep_len_mean,731.8181762695312,1780058965.4903758
1948,rollout/ep_len_mean,735.75,1780058978.1653504
2074,rollout/ep_len_mean,735.75,1780058988.2125347
2155,rollout/ep_len_mean,729.7692260742188,1780058995.6046617
2239,rollout/ep_len_mean,714.0,1780059004.054314
2320,rollout/ep_len_mean,699.4666748046875,1780059011.9064546
2472,rollout/ep_len_mean,704.875,1780059024.408442
2649,rollout/ep_len_mean,704.875,1780059038.162719
2730,rollout/ep_len_mean,714.8235473632812,1780059045.7700763
2834,rollout/ep_len_mean,707.388916015625,1780059054.7173557
2918,rollout/ep_len_mean,695.4210815429688,1780059062.3619697
3030,rollout/ep_len_mean,691.7999877929688,1780059072.2681851
3154,rollout/ep_len_mean,691.7999877929688,1780059082.195072
3303,rollout/ep_len_mean,689.3809814453125,1780059095.2109158
3478,rollout/ep_len_mean,698.0908813476562,1780059109.391462
3721,rollout/ep_len_mean,729.1304321289062,1780059128.3340006
3847,rollout/ep_len_mean,727.0416870117188,1780059139.0671496
3951,rollout/ep_len_mean,727.0416870117188,1780059147.6221435
4071,rollout/ep_len_mean,727.52001953125,1780059157.923692
4217,rollout/ep_len_mean,728.6153564453125,1780059170.3612823
4390,rollout/ep_len_mean,729.4815063476562,1780059184.4922395
4472,rollout/ep_len_mean,725.1785888671875,1780059192.081451
4555,rollout/ep_len_mean,725.1785888671875,1780059199.1427472
4631,rollout/ep_len_mean,716.9310302734375,1780059206.316974
4712,rollout/ep_len_mean,709.433349609375,1780059213.4382083
4838,rollout/ep_len_mean,707.5806274414062,1780059224.6929383
5080,rollout/ep_len_mean,721.1875,1780059243.8875859
5202,rollout/ep_len_mean,721.1875,1780059253.6735003
5330,rollout/ep_len_mean,719.4545288085938,1780059264.583547
5479,rollout/ep_len_mean,723.5294189453125,1780059276.536299
5563,rollout/ep_len_mean,719.6857299804688,1780059283.9587467
5672,rollout/ep_len_mean,716.25,1780059293.3728848
5781,rollout/ep_len_mean,716.25,1780059302.3084598
5999,rollout/ep_len_mean,713.1351318359375,1780059320.1158798
6124,rollout/ep_len_mean,721.9210815429688,1780059330.7706707
6313,rollout/ep_len_mean,726.6410522460938,1780059345.9752295
6458,rollout/ep_len_mean,731.4749755859375,1780059358.4017591
6583,rollout/ep_len_mean,731.4749755859375,1780059368.5317416
6746,rollout/ep_len_mean,729.8536376953125,1780059382.161939
6967,rollout/ep_len_mean,739.1190185546875,1780059399.6369023
7074,rollout/ep_len_mean,739.81396484375,1780059408.7655168
7293,rollout/ep_len_mean,749.0454711914062,1780059426.2841215
7445,rollout/ep_len_mean,749.0454711914062,1780059438.2318277
7526,rollout/ep_len_mean,749.6889038085938,1780059445.8757837
7655,rollout/ep_len_mean,744.1304321289062,1780059457.6495528
7939,rollout/ep_len_mean,756.1063842773438,1780059479.1884096
8017,rollout/ep_len_mean,754.0416870117188,1780059486.9604244
8166,rollout/ep_len_mean,754.0416870117188,1780059498.6876688
8289,rollout/ep_len_mean,754.3673706054688,1780059509.3265424
8483,rollout/ep_len_mean,758.239990234375,1780059525.0705853
8558,rollout/ep_len_mean,755.7843017578125,1780059532.6497388
8633,rollout/ep_len_mean,750.576904296875,1780059539.4580414
8779,rollout/ep_len_mean,750.576904296875,1780059551.0182302
8928,rollout/ep_len_mean,750.3207397460938,1780059563.89342
9051,rollout/ep_len_mean,750.388916015625,1780059574.2601395
9229,rollout/ep_len_mean,750.8909301757812,1780059589.0186286
9351,rollout/ep_len_mean,753.875,1780059599.074239
9503,rollout/ep_len_mean,753.875,1780059610.9823525
9629,rollout/ep_len_mean,754.0877075195312,1780059622.2489398
9710,rollout/ep_len_mean,752.5172119140625,1780059629.9888947
9864,rollout/ep_len_mean,753.322021484375,1780059642.9463768
9939,rollout/ep_len_mean,748.3833618164062,1780059649.8529954
10065,rollout/ep_len_mean,748.3833618164062,1780059659.964838
10238,rollout/ep_len_mean,746.9180297851562,1780059674.108354
10322,rollout/ep_len_mean,748.8386840820312,1780059681.549946
10426,rollout/ep_len_mean,746.0634765625,1780059691.0263948
10596,rollout/ep_len_mean,747.5,1780059704.8586175
10677,rollout/ep_len_mean,747.5,1780059711.742073
10758,rollout/ep_len_mean,743.6153564453125,1780059720.1324475
10842,rollout/ep_len_mean,740.0302734375,1780059728.334598
10926,rollout/ep_len_mean,736.4776000976562,1780059736.0493946
11049,rollout/ep_len_mean,735.558837890625,1780059746.8207734
11217,rollout/ep_len_mean,735.558837890625,1780059759.9902995
11383,rollout/ep_len_mean,737.115966796875,1780059773.7713075
11506,rollout/ep_len_mean,738.6714477539062,1780059784.401851
11660,rollout/ep_len_mean,741.859130859375,1780059797.1330965
11812,rollout/ep_len_mean,742.1944580078125,1780059810.2043135
11945,rollout/ep_len_mean,742.1944580078125,1780059820.7879767
12068,rollout/ep_len_mean,744.123291015625,1780059831.714628
12149,rollout/ep_len_mean,740.6216430664062,1780059839.028451
12280,rollout/ep_len_mean,739.8533325195312,1780059850.3803618
12426,rollout/ep_len_mean,740.131591796875,1780059863.0415454
