Wall time,Step,Value
1780058826.2452555,175,0.0
1780058840.6826913,353,3.0
1780058847.9800155,434,3.0
1780058855.243211,515,3.0
1780058862.783981,593,3.0
1780058874.7131622,745,3.0
1780058884.37958,852,3.0
1780058892.4524786,933,3.0
1780058903.4526494,1054,3.0
1780058920.5358973,1273,4.0
1780058933.7535431,1443,4.0
1780058944.818266,1566,4.0
1780058952.756232,1647,4.0
1780058965.490424,1799,4.0
1780058978.1654613,1948,4.0
1780058988.2125757,2074,4.0
1780058995.6047301,2155,4.0
1780059004.054354,2239,4.0
1780059011.9065201,2320,4.0
1780059024.4085104,2472,4.0
1780059038.1627548,2649,4.0
1780059045.770112,2730,4.0
1780059054.7174292,2834,4.0
1780059062.36201,2918,4.0
1780059072.2682235,3030,4.0
1780059082.1951385,3154,4.0
1780059095.2109869,3303,4.0
1780059109.3914974,3478,4.0
1780059128.3341036,3721,6.0
1780059139.0672145,3847,6.0
1780059147.622179,3951,6.0
1780059157.9237282,4071,6.0
1780059170.36135,4217,6.0
1780059184.492305,4390,6.0
1780059192.0815187,4472,6.0
1780059199.1427853,4555,6.0
1780059206.3170366,4631,6.0
1780059213.4382458,4712,6.0
1780059224.693017,4838,6.0
1780059243.8876295,5080,6.0
1780059253.673565,5202,6.0
1780059264.5836139,5330,6.0
1780059276.5363388,5479,6.0
1780059283.9588268,5563,6.0
1780059293.372952,5672,6.0
1780059302.3085241,5781,6.0
1780059320.115918,5999,6.0
1780059330.770714,6124,6.0
1780059345.9752686,6313,6.0
1780059358.4018302,6458,6.0
1780059368.531789,6583,6.0
1780059382.162018,6746,6.0
1780059399.6369398,6967,6.0
1780059408.7655835,7074,6.0
1780059426.284212,7293,6.0
1780059438.231894,7445,6.0
1780059445.8758223,7526,6.0
1780059457.64959,7655,6.0
1780059479.1884494,7939,6.0
1780059486.960473,8017,6.0
1780059498.6877465,8166,6.0
1780059509.3266225,8289,6.0
1780059525.0706327,8483,6.0
1780059532.6497889,8558,6.0
1780059539.4581075,8633,6.0
1780059551.018274,8779,6.0
1780059563.8934891,8928,6.0
1780059574.2602077,9051,6.0
1780059589.0186994,9229,6.0
1780059599.0742774,9351,6.0
1780059610.982419,9503,6.0
1780059622.2489805,9629,6.0
1780059629.9889731,9710,6.0
1780059642.946459,9864,6.0
1780059649.8530364,9939,6.0
1780059659.9648762,10065,6.0
1780059674.1083922,10238,6.0
1780059681.5500112,10322,6.0
1780059691.0264359,10426,6.0
1780059704.8586617,10596,6.0
1780059711.742112,10677,6.0
1780059720.1324859,10758,6.0
1780059728.334668,10842,6.0
1780059736.0494351,10926,6.0
1780059746.8208628,11049,6.0
1780059759.9903812,11217,6.0
1780059773.7713492,11383,6.0
1780059784.4019156,11506,6.0
1780059797.1331346,11660,6.0
1780059810.2043808,11812,6.0
1780059820.7880447,11945,6.0
1780059831.7146997,12068,6.0
1780059839.0285184,12149,6.0
1780059850.3804004,12280,6.0
1780059863.0416129,12426,6.0
1780059874.9754267,12578,6.0
1780059887.049234,12726,6.0
1780059897.3313768,12851,6.0
1780059905.2864609,12929,6.0
1780059912.2898207,13006,6.0
1780059922.1638443,13129,6.0
1780059930.3405623,13213,6.0
1780059940.8371975,13339,6.0
1780059948.6586502,13423,6.0
1780059956.1748166,13505,6.0
1780059963.0613225,13586,6.0
1780059972.5757241,13696,6.0
1780059980.646597,13780,6.0
1780059990.868206,13903,6.0
1780060003.4273407,14054,6.0
1780060013.3307295,14177,6.0
1780060021.0228622,14261,6.0
1780060030.7563927,14370,6.0
1780060043.3749878,14519,6.0
1780060054.1462686,14643,6.0
1780060065.8732588,14792,6.0
1780060073.732087,14876,6.0
1780060086.6196804,15028,6.0
1780060094.1448152,15109,6.0
1780060112.351184,15332,6.0
1780060122.3289566,15455,6.0
1780060132.5957074,15578,6.0
1780060139.932953,15659,6.0
1780060147.703711,15740,6.0
1780060165.5590453,15962,6.0
1780060178.6737447,16131,6.0
1780060190.1297123,16262,6.0
1780060198.2572067,16346,6.0
1780060206.3712406,16427,6.0
1780060228.4478166,16711,6.0
1780060238.5516043,16837,6.0
1780060251.3261507,16985,6.0
1780060262.5286207,17110,6.0
1780060271.561966,17218,6.0
1780060280.7668533,17322,6.0
1780060287.830406,17406,6.0
1780060306.7626305,17646,6.0
1780060320.1484656,17798,6.0
1780060331.274279,17924,6.0
1780060344.4709082,18076,6.0
1780060351.1529033,18154,6.0
1780060365.0074756,18323,6.0
1780060372.507642,18400,6.0
1780060383.0547826,18523,6.0
1780060394.5716946,18656,6.0
1780060411.0007143,18871,6.0
1780060425.1592348,19047,6.0
1780060432.5040421,19131,6.0
1780060446.6634378,19301,6.0
1780060461.1194632,19471,6.0
1780060474.506633,19644,6.0
1780060488.881368,19817,6.0
1780060496.6637135,19901,6.0
1780060508.9098704,20049,6.0
1780060517.7035587,20150,6.0
1780060527.796207,20276,6.0
1780060541.9766483,20447,6.0
1780060549.763638,20531,6.0
1780060557.8385534,20612,6.0
1780060573.7556794,20812,6.0
1780060587.5854876,20991,6.0
1780060598.0255814,21115,6.0
1780060615.3095727,21328,6.0
1780060623.505597,21412,6.0
1780060635.7975926,21557,6.0
1780060642.9327595,21641,6.0
1780060658.9897683,21836,6.0
1780060674.2066658,22029,6.0
1780060684.0395002,22138,6.0
1780060694.386513,22263,6.0
1780060701.2625945,22344,6.0
1780060709.2317815,22428,6.0
1780060720.16546,22554,6.0
1780060732.736342,22701,6.0
1780060740.5358696,22779,6.0
1780060747.3918993,22860,6.0
1780060755.3841586,22944,6.0
1780060762.8083193,23028,6.0
1780060774.203316,23154,6.0
1780060783.409467,23261,6.0
1780060795.146189,23410,6.0
1780060802.486204,23491,6.0
1780060810.670341,23575,6.0
1780060818.1969502,23656,6.0
1780060825.364182,23730,6.0
1780060836.8945377,23876,6.0
1780060846.5532908,23979,6.0
1780060856.1817603,24088,6.0
1780060868.3146403,24236,6.0
1780060880.4227643,24382,6.0
1780060887.526756,24466,6.0
1780060894.8967798,24550,6.0
1780060902.2479625,24631,6.0
1780060918.27405,24827,6.0
1780060925.9435682,24906,6.0
1780060937.863801,25057,6.0
1780060951.5105128,25227,6.0
1780060962.0939436,25350,6.0
1780060976.489871,25516,6.0
1780060989.061353,25662,6.0
1780061001.1077633,25814,6.0
1780061025.5665064,26128,6.0
1780061033.1541986,26209,6.0
