Wall time,Step,Value
1780058826.24528,175,175.0
1780058840.6827374,353,353.0
1780058847.9800334,434,434.0
1780058855.2432551,515,515.0
1780058862.7840254,593,593.0
1780058874.7131793,745,745.0
1780058884.3796227,852,852.0
1780058892.4524965,933,933.0
1780058903.4527032,1054,1054.0
1780058920.5359416,1273,1273.0
1780058933.7535615,1443,1443.0
1780058944.8182833,1566,1566.0
1780058952.7562773,1647,1647.0
1780058965.4904468,1799,1799.0
1780058978.1655102,1948,1948.0
1780058988.2125936,2074,2074.0
1780058995.6047752,2155,2155.0
1780059004.054371,2239,2239.0
1780059011.9065638,2320,2320.0
1780059024.408555,2472,2472.0
1780059038.1627727,2649,2649.0
1780059045.7701285,2730,2730.0
1780059054.7174747,2834,2834.0
1780059062.3620281,2918,2918.0
1780059072.2682414,3030,3030.0
1780059082.1951828,3154,3154.0
1780059095.2110312,3303,3303.0
1780059109.3915155,3478,3478.0
1780059128.3341522,3721,3721.0
1780059139.0672588,3847,3847.0
1780059147.622197,3951,3951.0
1780059157.9237456,4071,4071.0
1780059170.3613937,4217,4217.0
1780059184.4923499,4390,4390.0
1780059192.0815632,4472,4472.0
1780059199.142803,4555,4555.0
1780059206.3170805,4631,4631.0
1780059213.438264,4712,4712.0
1780059224.693061,4838,4838.0
1780059243.8876474,5080,5080.0
1780059253.6736093,5202,5202.0
1780059264.583664,5330,5330.0
1780059276.5363557,5479,5479.0
1780059283.9588726,5563,5563.0
1780059293.3729968,5672,5672.0
1780059302.3085694,5781,5781.0
1780059320.1159368,5999,5999.0
1780059330.770735,6124,6124.0
1780059345.9752867,6313,6313.0
1780059358.401877,6458,6458.0
1780059368.531811,6583,6583.0
1780059382.1620708,6746,6746.0
1780059399.6369584,6967,6967.0
1780059408.7656279,7074,7074.0
1780059426.284265,7293,7293.0
1780059438.2319384,7445,7445.0
1780059445.875839,7526,7526.0
1780059457.6496081,7655,7655.0
1780059479.1884677,7939,7939.0
1780059486.9604921,8017,8017.0
1780059498.6878002,8166,8166.0
1780059509.3266878,8289,8289.0
1780059525.0706615,8483,8483.0
1780059532.6498096,8558,8558.0
1780059539.4581528,8633,8633.0
