Wall time,Step,Value
1777035539.7253392,126,0.0
1777035554.3066788,301,0.0
1777035565.2399223,423,0.0
1777035573.211281,507,0.0
1777035585.2242367,656,0.0
1777035591.925122,733,0.0
1777035602.0927284,856,0.0
1777035615.0568995,1005,0.0
1777035622.881813,1089,0.0
1777035637.4725535,1262,0.0
1777035644.6259158,1346,0.0
1777035652.2287374,1424,0.0
1777035661.8177018,1528,0.0
1777035669.2432237,1606,0.0
1777035678.5667667,1713,0.0
1777035685.715938,1796,0.0
1777035694.7211368,1899,0.0
1777035707.32906,2051,0.0
1777035718.0470777,2173,0.0
1777035729.012502,2299,0.0
1777035746.0937672,2521,0.0
1777035755.7857866,2631,0.0
1777035771.0086606,2818,0.0
1777035778.6131165,2899,0.0
1777035788.8418698,3020,0.0
1777035795.7396934,3100,0.0
1777035806.9752219,3225,0.0
1777035819.397834,3375,0.0
1777035826.628329,3452,0.0
1777035838.6691728,3596,0.0
1777035845.4057887,3674,0.0
1777035856.0910866,3797,0.0
1777035872.0640996,3987,0.0
1777035882.7907057,4111,0.0
1777035889.8431356,4189,0.0
1777035904.6956053,4380,0.0
1777035921.0602674,4577,0.0
1777035928.9342098,4657,0.0
1777035936.3690314,4737,0.0
1777035953.0012388,4944,0.0
1777035961.3958874,5045,0.0
1777035981.5885932,5291,0.0
1777035996.9599268,5481,0.0
1777036011.2531602,5654,0.0
1777036022.2574043,5780,0.0
1777036032.1712801,5902,0.0
1777036049.4880564,6113,0.0
1777036063.0366313,6283,0.0
1777036073.3043065,6405,0.0
1777036085.8355181,6554,0.0
1777036097.3881505,6699,0.0
1777036105.1162388,6780,0.0
1777036113.4058688,6864,0.0
1777036125.5673695,7012,0.0
1777036133.8010423,7093,0.0
1777036140.9811835,7177,0.0
1777036154.0595748,7328,0.0
1777036167.0076458,7478,0.0
1777036179.0825946,7626,0.0
1777036186.6751497,7707,0.0
1777036195.5795002,7815,0.0
1777036206.9545503,7941,0.0
1777036216.2788,8050,0.0
1777036228.7087376,8196,0.0
1777036235.7324076,8273,0.0
1777036242.6703687,8354,0.0
1777036249.862443,8431,0.0
1777036258.7597082,8537,0.0
1777036275.5484254,8752,0.0
1777036290.9618626,8946,0.0
1777036302.8692966,9097,0.0
1777036314.0277615,9222,0.0
1777036322.5494516,9306,0.0
1777036337.9182785,9496,0.0
1777036345.2255394,9578,0.0
1777036355.4146786,9704,0.0
1777036363.5715284,9788,0.0
1777036374.0403266,9912,0.0
1777036389.6356797,10105,0.0
1777036400.400662,10233,0.0
1777036407.5028458,10316,0.0
1777036415.286759,10397,0.0
1777036427.2261136,10543,0.0
1777036436.9322374,10646,0.0
1777036444.24834,10724,0.0
1777036454.2050388,10847,0.0
1777036464.8589232,10966,0.0
1777036472.5558534,11046,0.0
1777036480.1477194,11130,0.0
1777036491.0432246,11255,0.0
1777036497.9582984,11336,0.0
1777036508.5736296,11457,0.0
1777036519.7622669,11579,0.0
1777036527.973209,11663,0.0
1777036539.8587258,11806,0.0
1777036549.8001766,11929,0.0
1777036557.2651637,12012,0.0
1777036569.5542567,12160,0.0
1777036581.7133787,12307,0.0
1777036591.8617022,12427,0.0
1777036598.58051,12505,0.0
1777036606.035522,12582,0.0
1777036618.3608491,12729,0.0
1777036637.03158,12965,0.0
1777036644.7654786,13045,0.0
1777036654.8958857,13171,0.0
1777036670.5879664,13367,0.0
1777036678.1039195,13448,0.0
1777036689.1106648,13579,0.0
1777036698.8150969,13686,0.0
1777036710.395894,13831,0.0
1777036722.3056645,13979,0.0
1777036729.9285252,14057,0.0
1777036737.448264,14141,0.0
1777036745.01356,14224,0.0
1777036751.923993,14305,0.0
1777036764.4794123,14453,0.0
1777036772.489798,14534,0.0
1777036787.8368886,14723,0.0
1777036800.6034207,14870,0.0
1777036818.7328222,15106,0.0
1777036826.1624248,15186,0.0
1777036843.3504765,15401,0.0
1777036851.064815,15485,0.0
1777036861.8387122,15605,0.0
1777036870.3873267,15709,0.0
1777036880.9477932,15834,0.0
1777036892.394145,15966,0.0
1777036902.8470886,16088,0.0
1777036910.499411,16172,0.0
1777036922.0587313,16316,0.0
1777036932.9557855,16442,0.0
1777036946.4762425,16609,0.0
1777036956.5284014,16729,0.0
1777036966.4330983,16835,0.0
1777036978.1860383,16983,0.0
1777036990.6120799,17128,0.0
1777036998.2913122,17212,0.0
1777037008.9535131,17335,0.0
1777037019.7971652,17460,0.0
1777037026.6700091,17540,0.0
1777037041.1324477,17714,0.0
1777037054.847946,17881,0.0
1777037067.6867337,18033,0.0
1777037075.4891326,18114,0.0
1777037082.180355,18192,0.0
1777037092.8342233,18315,0.0
1777037105.8271267,18477,0.0
1777037113.105728,18558,0.0
1777037120.5125468,18636,0.0
1777037127.4375715,18716,0.0
1777037139.5249608,18861,0.0
1777037147.4993148,18942,0.0
1777037155.1854036,19025,0.0
1777037167.5841827,19177,0.0
1777037174.457222,19257,0.0
1777037194.143643,19499,0.0
1777037204.4540894,19623,0.0
1777037215.3982863,19747,0.0
1777037226.19338,19870,0.0
1777037232.884664,19948,0.0
1777037241.9988582,20051,0.0
1777037262.3187594,20311,0.0
1777037282.472202,20562,0.0
1777037293.1647816,20681,0.0
1777037303.303471,20807,0.0
1777037311.070702,20888,0.0
1777037319.012049,20965,0.0
1777037326.3008125,21045,0.0
1777037335.4061463,21151,0.0
1777037342.136905,21229,0.0
1777037352.8049219,21352,0.0
1777037365.412917,21500,0.0
1777037376.1966915,21623,0.0
1777037391.1416833,21802,0.0
1777037399.6362836,21905,0.0
1777037407.5797112,21986,0.0
1777037419.3952706,22131,0.0
1777037432.6689374,22283,0.0
1777037446.5670018,22455,0.0
1777037453.5134592,22536,0.0
1777037461.3603692,22616,0.0
1777037475.5982974,22783,0.0
1777037483.0389159,22867,0.0
1777037490.4068675,22944,0.0
1777037497.553976,23028,0.0
1777037511.7150872,23196,0.0
1777037522.4389217,23319,0.0
1777037529.6126206,23397,0.0
1777037542.3709476,23551,0.0
1777037554.136487,23699,0.0
1777037561.3450978,23780,0.0
1777037568.7466319,23858,0.0
1777037579.3362925,23979,0.0
1777037589.5190847,24087,0.0
1777037607.7420673,24325,0.0
1777037615.013231,24406,0.0
1777037623.2718546,24487,0.0
1777037636.998834,24655,0.0
1777037649.6126292,24809,0.0
1777037661.350153,24957,0.0
1777037671.0113742,25066,0.0
1777037678.5112133,25140,0.0
1777037686.089494,25224,0.0
1777037695.34096,25330,0.0
1777037707.1190295,25478,0.0
1777037717.7553182,25603,0.0
1777037731.391155,25768,0.0
1777037739.4201024,25849,0.0
1777037750.3540483,25972,0.0
1777037763.9587617,26145,0.0
1777037777.6877244,26308,0.0
1777037785.2277951,26389,0.0
1777037792.606808,26469,0.0
1777037799.6657481,26543,0.0
1777037814.6238017,26736,0.0
1777037822.2545276,26817,0.0
1777037834.957465,26968,0.0
1777037850.7995286,27164,0.0
1777037861.4701238,27284,0.0
1777037868.6121044,27368,0.0
1777037876.3107061,27452,0.0
1777037893.5746903,27666,0.0
1777037905.6330507,27809,0.0
1777037915.8603568,27916,0.0
1777037926.0036,28042,0.0
1777037935.5987616,28146,0.0
1777037942.7884612,28224,0.0
1777037950.4022803,28308,0.0
1777037964.3457234,28480,0.0
1777037974.2686753,28602,0.0
1777037986.5509958,28751,0.0
1777037996.9594262,28875,0.0
1777038015.0618587,29101,0.0
1777038030.4347646,29293,0.0
1777038037.332714,29374,0.0
1777038052.8165534,29561,0.0
1777038066.030668,29721,0.0
1777038078.4673653,29872,0.0
1777038090.9445753,30022,0.0
1777038097.8159468,30102,0.0
1777038107.4833755,30211,0.0
1777038115.5783858,30295,0.0
1777038125.7968438,30417,0.0
1777038142.3053463,30622,0.0
1777038155.9072294,30796,0.0
1777038169.5588744,30961,0.0
1777038180.5257494,31089,0.0
1777038196.216263,31278,0.0
1777038211.6384606,31469,0.0
1777038223.4432309,31618,0.0
1777038231.172482,31696,0.0
1777038246.124323,31875,0.0
1777038254.0744483,31956,0.0
1777038268.3598387,32129,0.0
1777038275.2607753,32209,0.0
1777038283.6966405,32293,0.0
1777038300.2128212,32501,0.0
1777038311.3183537,32626,0.0
1777038323.8880458,32775,0.0
1777038330.8245609,32856,0.0
1777038339.3684318,32940,0.0
1777038351.673311,33086,0.0
1777038364.4211996,33234,0.0
1777038375.6439145,33362,0.0
1777038387.6168468,33513,0.0
1777038401.9587646,33685,0.0
1777038419.113641,33894,0.0
1777038427.0432036,33975,0.0
1777038441.3822932,34147,0.0
1777038448.2871318,34228,0.0
1777038461.144472,34380,0.0
1777038478.6333773,34591,0.0
1777038486.4848073,34675,0.0
1777038493.7002106,34752,0.0
1777038503.6286457,34874,0.0
1777038517.4587743,35038,0.0
1777038526.7652884,35147,0.0
1777038537.5160697,35269,0.0
1777038545.5367746,35352,0.0
1777038555.738164,35479,0.0
1777038567.743766,35622,0.0
1777038578.3561025,35745,0.0
1777038585.7445471,35829,0.0
1777038598.9270508,35991,0.0
1777038610.7375765,36139,0.0
1777038618.2053406,36217,0.0
1777038626.7109823,36301,0.0
1777038639.810807,36449,0.0
1777038647.788141,36527,0.0
1777038660.7000582,36691,0.0
1777038679.2864752,36927,0.0
1777038687.4199946,37008,0.0
1777038697.7572577,37131,0.0
1777038713.1491723,37323,0.0
1777038721.8536177,37429,0.0
1777038729.717296,37513,0.0
1777038742.3964317,37666,0.0
1777038753.1352332,37782,0.0
1777038760.9481235,37866,0.0
1777038770.8329113,37988,0.0
1777038782.1107872,38112,0.0
1777038799.6656315,38328,0.0
1777038809.8215017,38448,0.0
1777038825.0457904,38634,0.0
1777038832.2147744,38718,0.0
1777038843.0301564,38837,0.0
1777038853.372307,38962,0.0
1777038872.1942582,39198,0.0
1777038880.1412876,39282,0.0
1777038890.0719821,39405,0.0
1777038899.978143,39524,0.0
