step,tag,value,wall_time
301,rollout/ep_len_mean,660.0,1777035554.306542
423,rollout/ep_len_mean,843.0,1777035565.2397795
507,rollout/ep_len_mean,725.6666870117188,1777035573.2111325
656,rollout/ep_len_mean,734.75,1777035585.2240894
733,rollout/ep_len_mean,734.75,1777035591.925056
856,rollout/ep_len_mean,715.2000122070312,1777035602.0925717
1005,rollout/ep_len_mean,720.0,1777035615.0568337
1089,rollout/ep_len_mean,691.2857055664062,1777035622.8817315
1262,rollout/ep_len_mean,714.0,1777035637.472428
1346,rollout/ep_len_mean,714.0,1777035644.6257648
1424,rollout/ep_len_mean,689.0,1777035652.2286067
1528,rollout/ep_len_mean,668.7999877929688,1777035661.8175726
1606,rollout/ep_len_mean,661.5454711914062,1777035669.243055
1713,rollout/ep_len_mean,657.3333129882812,1777035678.5665874
1796,rollout/ep_len_mean,657.3333129882812,1777035685.7157784
1899,rollout/ep_len_mean,644.0,1777035694.7209897
2051,rollout/ep_len_mean,640.6428833007812,1777035707.3289618
2173,rollout/ep_len_mean,660.066650390625,1777035718.0470095
2299,rollout/ep_len_mean,661.4375,1777035729.0123768
2521,rollout/ep_len_mean,661.4375,1777035746.0936317
2631,rollout/ep_len_mean,684.5882568359375,1777035755.7857263
2818,rollout/ep_len_mean,688.6666870117188,1777035771.0085862
2899,rollout/ep_len_mean,691.368408203125,1777035778.612994
3020,rollout/ep_len_mean,689.8499755859375,1777035788.841713
3100,rollout/ep_len_mean,689.8499755859375,1777035795.739493
3225,rollout/ep_len_mean,687.4285888671875,1777035806.9750729
3375,rollout/ep_len_mean,691.727294921875,1777035819.3977664
3452,rollout/ep_len_mean,682.521728515625,1777035826.6281257
3596,rollout/ep_len_mean,685.125,1777035838.6690264
3674,rollout/ep_len_mean,685.125,1777035845.4056613
3797,rollout/ep_len_mean,676.4000244140625,1777035856.0909934
3987,rollout/ep_len_mean,679.8076782226562,1777035872.0640366
4111,rollout/ep_len_mean,692.0,1777035882.790568
4189,rollout/ep_len_mean,684.6785888671875,1777035889.843003
4380,rollout/ep_len_mean,684.6785888671875,1777035904.6954334
4577,rollout/ep_len_mean,693.0,1777035921.0601158
4657,rollout/ep_len_mean,701.566650390625,1777035928.934064
4737,rollout/ep_len_mean,694.4193725585938,1777035936.3688788
4944,rollout/ep_len_mean,704.0625,1777035953.001094
5045,rollout/ep_len_mean,704.0625,1777035961.3958259
5291,rollout/ep_len_mean,711.3333129882812,1777035981.5884664
5481,rollout/ep_len_mean,718.441162109375,1777035996.9598057
5654,rollout/ep_len_mean,729.914306640625,1777036011.2530086
5780,rollout/ep_len_mean,728.0555419921875,1777036022.2572596
5902,rollout/ep_len_mean,728.0555419921875,1777036032.171136
6113,rollout/ep_len_mean,735.270263671875,1777036049.4879024
6283,rollout/ep_len_mean,742.7105102539062,1777036063.0365596
6405,rollout/ep_len_mean,740.2307739257812,1777036073.3041792
6554,rollout/ep_len_mean,740.7999877929688,1777036085.8353891
6699,rollout/ep_len_mean,740.7999877929688,1777036097.388087
6780,rollout/ep_len_mean,740.9268188476562,1777036105.116101
6864,rollout/ep_len_mean,735.4285888671875,1777036113.4057136
7012,rollout/ep_len_mean,736.18603515625,1777036125.567204
7093,rollout/ep_len_mean,730.6136474609375,1777036133.8009698
7177,rollout/ep_len_mean,730.6136474609375,1777036140.9810207
7328,rollout/ep_len_mean,731.5555419921875,1777036154.0595088
7478,rollout/ep_len_mean,726.3695678710938,1777036167.0075805
7626,rollout/ep_len_mean,733.0638427734375,1777036179.0824664
7707,rollout/ep_len_mean,728.0,1777036186.67501
7815,rollout/ep_len_mean,728.0,1777036195.5793703
7941,rollout/ep_len_mean,725.5101928710938,1777036206.9544218
8050,rollout/ep_len_mean,724.7000122070312,1777036216.278596
8196,rollout/ep_len_mean,727.11767578125,1777036228.7085836
8273,rollout/ep_len_mean,722.6346435546875,1777036235.7322583
8354,rollout/ep_len_mean,722.6346435546875,1777036242.6702242
8431,rollout/ep_len_mean,717.9622802734375,1777036249.8622937
8537,rollout/ep_len_mean,715.629638671875,1777036258.75954
8752,rollout/ep_len_mean,715.963623046875,1777036275.548366
8946,rollout/ep_len_mean,724.625,1777036290.9618034
9097,rollout/ep_len_mean,724.625,1777036302.8691695
9222,rollout/ep_len_mean,728.4035034179688,1777036314.027595
9306,rollout/ep_len_mean,724.3793334960938,1777036322.5492983
9496,rollout/ep_len_mean,725.2542114257812,1777036337.918071
9578,rollout/ep_len_mean,724.0833129882812,1777036345.2254684
9704,rollout/ep_len_mean,724.0833129882812,1777036355.414521
9788,rollout/ep_len_mean,723.0,1777036363.571458
9912,rollout/ep_len_mean,719.48388671875,1777036374.040204
10105,rollout/ep_len_mean,722.7460327148438,1777036389.6355462
10233,rollout/ep_len_mean,724.546875,1777036400.400525
10316,rollout/ep_len_mean,724.546875,1777036407.5027542
10397,rollout/ep_len_mean,720.96923828125,1777036415.286624
10543,rollout/ep_len_mean,717.5606079101562,1777036427.2260509
10646,rollout/ep_len_mean,719.5223999023438,1777036436.9320803
10724,rollout/ep_len_mean,716.2352905273438,1777036444.2481902
10847,rollout/ep_len_mean,716.2352905273438,1777036454.204886
10966,rollout/ep_len_mean,715.4492797851562,1777036464.8587704
11046,rollout/ep_len_mean,714.6142578125,1777036472.5556934
11130,rollout/ep_len_mean,711.7605590820312,1777036480.147542
11255,rollout/ep_len_mean,710.9722290039062,1777036491.043101
11336,rollout/ep_len_mean,710.9722290039062,1777036497.9581735
11457,rollout/ep_len_mean,708.0,1777036508.573505
11579,rollout/ep_len_mean,709.4189453125,1777036519.762203
11663,rollout/ep_len_mean,706.6266479492188,1777036527.9730823
11806,rollout/ep_len_mean,707.1710815429688,1777036539.8585954
11929,rollout/ep_len_mean,707.1710815429688,1777036549.7999942
12012,rollout/ep_len_mean,706.662353515625,1777036557.2650816
12160,rollout/ep_len_mean,707.2820434570312,1777036569.5541036
12307,rollout/ep_len_mean,706.49365234375,1777036581.7132132
12427,rollout/ep_len_mean,707.0625,1777036591.8615425
12505,rollout/ep_len_mean,707.0625,1777036598.5803595
12582,rollout/ep_len_mean,704.0740966796875,1777036606.0353725
12729,rollout/ep_len_mean,704.4512329101562,1777036618.360725
12965,rollout/ep_len_mean,709.4337158203125,1777036637.0314584
13045,rollout/ep_len_mean,706.8095092773438,1777036644.7653537
13171,rollout/ep_len_mean,706.8095092773438,1777036654.895749
13367,rollout/ep_len_mean,706.494140625,1777036670.5878963
13448,rollout/ep_len_mean,709.2092895507812,1777036678.1037648
13579,rollout/ep_len_mean,706.4597778320312,1777036689.110504
13686,rollout/ep_len_mean,707.4886474609375,1777036698.8148782
13831,rollout/ep_len_mean,707.4886474609375,1777036710.395823
13979,rollout/ep_len_mean,707.8089599609375,1777036722.305531
14057,rollout/ep_len_mean,708.2888793945312,1777036729.9284394
14141,rollout/ep_len_mean,706.06591796875,1777036737.4481344
14224,rollout/ep_len_mean,703.9021606445312,1777036745.0134325
14305,rollout/ep_len_mean,703.9021606445312,1777036751.9238677
14453,rollout/ep_len_mean,701.49462890625,1777036764.4792602
14534,rollout/ep_len_mean,702.1595458984375,1777036772.489634
14723,rollout/ep_len_mean,701.6737060546875,1777036787.83674
14870,rollout/ep_len_mean,704.9270629882812,1777036800.6033406
15106,rollout/ep_len_mean,704.9270629882812,1777036818.732726
15186,rollout/ep_len_mean,709.1649780273438,1777036826.162274
15401,rollout/ep_len_mean,709.4693603515625,1777036843.350351
15485,rollout/ep_len_mean,710.1514892578125,1777036851.0646803
15605,rollout/ep_len_mean,709.5499877929688,1777036861.8385708
15709,rollout/ep_len_mean,709.5499877929688,1777036870.387263
15834,rollout/ep_len_mean,708.8200073242188,1777036880.9476488
15966,rollout/ep_len_mean,706.1199951171875,1777036892.3939915
16088,rollout/ep_len_mean,708.8900146484375,1777036902.8470058
16172,rollout/ep_len_mean,706.4000244140625,1777036910.499202
16316,rollout/ep_len_mean,706.4000244140625,1777036922.058657
16442,rollout/ep_len_mean,707.3699951171875,1777036932.955716
16609,rollout/ep_len_mean,708.52001953125,1777036946.476119
