Wall time,Step,Value
1777035539.7252738,126,0.0
1777035554.306615,301,1.0
1777035565.2398548,423,4.0
1777035573.2112107,507,4.0
1777035585.2241662,656,4.0
1777035591.9250963,733,4.0
1777035602.0926497,856,4.0
1777035615.0568728,1005,4.0
1777035622.881787,1089,4.0
1777035637.4724946,1262,4.0
1777035644.6258547,1346,4.0
1777035652.228678,1424,4.0
1777035661.817638,1528,4.0
1777035669.2431493,1606,4.0
1777035678.5667279,1713,4.0
1777035685.7158625,1796,4.0
1777035694.7210658,1899,4.0
1777035707.3290157,2051,4.0
1777035718.0470524,2173,4.0
1777035729.012444,2299,4.0
1777035746.0937054,2521,4.0
1777035755.7857645,2631,4.0
1777035771.0086303,2818,4.0
1777035778.6130586,2899,4.0
1777035788.841797,3020,4.0
1777035795.739591,3100,4.0
1777035806.9751484,3225,4.0
1777035819.3978086,3375,4.0
1777035826.6282353,3452,4.0
1777035838.669103,3596,4.0
1777035845.4057293,3674,4.0
1777035856.091051,3797,4.0
1777035872.0640767,3987,4.0
1777035882.7906394,4111,4.0
1777035889.8430758,4189,4.0
1777035904.6955307,4380,4.0
1777035921.060195,4577,4.0
1777035928.9341388,4657,4.0
1777035936.3689601,4737,4.0
1777035953.0011692,4944,4.0
1777035961.3958642,5045,4.0
1777035981.588535,5291,4.0
1777035996.959869,5481,4.0
1777036011.25309,5654,4.0
1777036022.2573345,5780,4.0
1777036032.1712105,5902,4.0
1777036049.4879842,6113,4.0
1777036063.0366054,6283,4.0
1777036073.3042474,6405,4.0
1777036085.8354573,6554,4.0
1777036097.3881276,6699,4.0
1777036105.1161764,6780,4.0
1777036113.4057934,6864,4.0
1777036125.5672977,7012,4.0
1777036133.801017,7093,4.0
1777036140.9811108,7177,4.0
1777036154.059549,7328,4.0
1777036167.0076232,7478,4.0
1777036179.0825336,7626,4.0
1777036186.6750867,7707,4.0
1777036195.5794384,7815,4.0
1777036206.9544883,7941,4.0
1777036216.2787056,8050,4.0
1777036228.7086663,8196,4.0
1777036235.732336,8273,4.0
1777036242.6702983,8354,4.0
1777036249.8623724,8431,4.0
1777036258.7596052,8537,4.0
1777036275.5484025,8752,4.0
1777036290.9618397,8946,5.0
1777036302.8692377,9097,5.0
1777036314.0277297,9222,5.0
1777036322.5493789,9306,5.0
1777036337.9181798,9496,5.0
1777036345.2255137,9578,5.0
1777036355.4145987,9704,5.0
1777036363.571504,9788,5.0
1777036374.0402687,9912,5.0
1777036389.6356115,10105,5.0
1777036400.4005919,10233,5.0
1777036407.5028226,10316,5.0
1777036415.286698,10397,5.0
1777036427.2260907,10543,5.0
1777036436.9321642,10646,5.0
1777036444.2482667,10724,5.0
1777036454.2049656,10847,5.0
1777036464.8588488,10966,5.0
1777036472.555781,11046,5.0
1777036480.1476383,11130,5.0
1777036491.043166,11255,5.0
1777036497.9582381,11336,5.0
1777036508.5735714,11457,5.0
1777036519.7622452,11579,5.0
1777036527.9731505,11663,5.0
1777036539.8586662,11806,5.0
1777036549.8001013,11929,5.0
1777036557.2651367,12012,5.0
1777036569.554184,12160,5.0
1777036581.7132993,12307,5.0
1777036591.8616211,12427,5.0
1777036598.5804389,12505,5.0
1777036606.0354495,12582,5.0
1777036618.3607903,12729,5.0
1777036637.0315216,12965,5.0
1777036644.7654202,13045,5.0
1777036654.8958242,13171,5.0
1777036670.5879405,13367,5.0
1777036678.1038458,13448,5.0
1777036689.110584,13579,5.0
1777036698.8149967,13686,5.0
1777036710.3958678,13831,5.0
1777036722.3055995,13979,5.0
1777036729.9284918,14057,5.0
1777036737.4482038,14141,5.0
