Wall time,Step,Value
1777035539.7253244,126,126.0
1777035554.3066645,301,301.0
1777035565.239906,423,423.0
1777035573.2112646,507,507.0
1777035585.2242196,656,656.0
1777035591.925116,733,733.0
1777035602.0927112,856,856.0
1777035615.0568943,1005,1005.0
1777035622.8818076,1089,1089.0
1777035637.4725397,1262,1262.0
1777035644.625901,1346,1346.0
1777035652.228723,1424,1424.0
1777035661.8176877,1528,1528.0
1777035669.2432055,1606,1606.0
1777035678.5667603,1713,1713.0
1777035685.71592,1796,1796.0
1777035694.7211194,1899,1899.0
1777035707.329038,2051,2051.0
1777035718.0470717,2173,2173.0
1777035729.012488,2299,2299.0
1777035746.0937526,2521,2521.0
1777035755.7857819,2631,2631.0
1777035771.0086498,2818,2818.0
1777035778.6131027,2899,2899.0
1777035788.841852,3020,3020.0
1777035795.739669,3100,3100.0
1777035806.9752045,3225,3225.0
1777035819.397828,3375,3375.0
1777035826.6283064,3452,3452.0
1777035838.6691558,3596,3596.0
1777035845.4057744,3674,3674.0
1777035856.0910783,3797,3797.0
1777035872.0640945,3987,3987.0
1777035882.7906916,4111,4111.0
1777035889.843121,4189,4189.0
1777035904.6955876,4380,4380.0
1777035921.06025,4577,4577.0
1777035928.9341927,4657,4657.0
1777035936.3690145,4737,4737.0
1777035953.0012221,4944,4944.0
1777035961.395882,5045,5045.0
1777035981.5885794,5291,5291.0
1777035996.959913,5481,5481.0
1777036011.253143,5654,5654.0
1777036022.2573879,5780,5780.0
1777036032.1712635,5902,5902.0
1777036049.4880383,6113,6113.0
1777036063.0366254,6283,6283.0
1777036073.3042924,6405,6405.0
1777036085.8355036,6554,6554.0
1777036097.3881452,6699,6699.0
1777036105.1162236,6780,6780.0
1777036113.4058506,6864,6864.0
1777036125.5673518,7012,7012.0
1777036133.8010364,7093,7093.0
1777036140.9811654,7177,7177.0
1777036154.059569,7328,7328.0
1777036167.0076406,7478,7478.0
1777036179.0825799,7626,7626.0
1777036186.6751347,7707,7707.0
1777036195.5794854,7815,7815.0
1777036206.9545352,7941,7941.0
1777036216.2787778,8050,8050.0
1777036228.7087204,8196,8196.0
1777036235.7323904,8273,8273.0
1777036242.670352,8354,8354.0
1777036249.8624258,8431,8431.0
1777036258.7596495,8537,8537.0
1777036275.5484202,8752,8752.0
1777036290.961857,8946,8946.0
1777036302.8692825,9097,9097.0
1777036314.0277553,9222,9222.0
1777036322.549434,9306,9306.0
1777036337.9182556,9496,9496.0
1777036345.2255335,9578,9578.0
1777036355.414659,9704,9704.0
1777036363.5715227,9788,9788.0
1777036374.0403125,9912,9912.0
1777036389.6356642,10105,10105.0
1777036400.4006388,10233,10233.0
1777036407.5028403,10316,10316.0
1777036415.2867444,10397,10397.0
1777036427.226108,10543,10543.0
1777036436.9322202,10646,10646.0
1777036444.2483218,10724,10724.0
1777036454.2050211,10847,10847.0
1777036464.8589058,10966,10966.0
1777036472.5558362,11046,11046.0
1777036480.1477017,11130,11130.0
1777036491.0432105,11255,11255.0
1777036497.9582841,11336,11336.0
1777036508.5736156,11457,11457.0
1777036519.7622623,11579,11579.0
1777036527.9731948,11663,11663.0
1777036539.8587115,11806,11806.0
1777036549.8001585,11929,11929.0
